Trailer,NAcc_GLM_long,AIns_GLM_long,vmPFC_GLM_long,NAcc_GLM_short,AIns_GLM_short,vmPFC_GLM_short,Participant
rh6,0.22524536208033322,0.10432650894952347,0.07978653992381655,-0.1619570980116005,0.0166573326187934,-0.11494798077379002,sub-17
rc3,-0.20534826019026123,0.06074003699976352,-0.2918982342538818,-0.210770451288709,0.010940368476099143,-0.14263156484371678,sub-17
uh1,0.031243234400889205,-0.1820416481929687,0.02795630660801438,-0.11512965992018041,-0.38300428076259885,-0.14958451061714698,sub-17
rh12,0.00805559612381816,0.0029464541711918036,-0.2213350630627068,-0.06998763161437728,-0.2311627673883722,-0.15792643618221833,sub-17
rc2,0.027505515024338203,-0.19827019338335233,-0.05002763343013979,0.06964790698824554,-0.3131210966544646,-0.023384068593358686,sub-17
rc1,-0.12427281115371856,-0.08556202879791341,-0.31687907455980835,-0.11459097926068106,-0.2141781627551047,-0.1853084849514724,sub-17
rh2,0.04331952759650177,-0.2709568398190296,-0.1522806597471984,0.10226245745480383,-0.21152232389321482,0.12014283355008479,sub-17
rh7,0.008438484465293385,-0.1226358728093844,-0.30158224260479455,-0.13553552853169853,-0.1825514564450476,-0.32630471743883344,sub-17
rh1,0.0982474929542526,-0.09163538543902311,0.13961803506157533,-0.1476959294278274,-0.06495801207327842,0.10509586375866264,sub-17
rc8,-0.03719746658932528,0.00784199575616039,-0.15231485427607275,-0.24246675442095397,0.034740704961996445,0.07990880619590564,sub-17
rc9,0.16588174517869836,-0.2235788491672443,0.16508786821798466,0.12782679495205468,-0.2168443892587062,0.10615171051287087,sub-17
uc3,-0.034131318073540654,-0.20857069299983277,-0.25909142489685855,0.06713115750898525,-0.2522360832697499,-0.21532517891922323,sub-17
uc4,-0.0362149435331594,-0.21328925694118758,-0.020277946684848218,-0.14626639157519014,-0.2628828100724592,-0.23739793303400425,sub-17
rh10,0.0775348528264741,-0.06508048484905406,-0.2082093852462715,0.01383647860234758,-0.07872469763318864,-0.2847550452776363,sub-17
rh9,-0.0676887813020117,-0.3790301532777736,0.0658594858640688,-0.40562148296991135,-0.14278784299836392,-0.3159242770227212,sub-17
rc4,-0.05290730267614789,-0.12766291306677638,-0.2949219515819611,-0.2643450699381415,0.07438457543927854,-0.4644558206586971,sub-17
uh2,0.1866789190593785,-0.18737597169023076,0.4212799308610836,-0.34894218098227436,-0.17473982739182878,-0.2151636355133164,sub-17
rh4,0.009177575796020923,-0.051394508610281504,0.01833708394196988,-0.23518227289130014,-0.07530871593082851,-0.06810166726817095,sub-17
rc6,0.37174756998901404,0.05074472012652957,0.6481717049505554,0.04069058329282897,0.10045072448372236,-0.030946927077934776,sub-17
uc2,-0.035953122172122605,0.1697828318484214,-0.03659585791310358,0.15979806174534394,0.04327479870588827,-0.16013534243204836,sub-17
rh3,0.045552959909590254,-0.2559013115211722,0.36107024893441164,-0.06101500942334042,-0.05482161614619784,0.09421258658638608,sub-17
rh5,-0.09304203739176288,-0.06758292407286294,-0.1316666455951118,-0.044789499825917664,-0.20761222862797113,-0.05410396796316172,sub-17
rc11,-0.00515143789619699,-0.11781671183703814,0.10494366877939536,-0.5476357688446748,-0.32876519024949064,-0.5210110614901314,sub-17
rh8,0.16127920526137174,0.053430483392315674,-0.19183227502263864,-0.021688114145294608,-0.15861406553243046,-0.5437417419154297,sub-17
uc1,0.2199478470213541,-0.0800250989737196,0.4665348103774361,-0.3806714660500917,-0.168262892284958,-0.2402230006282754,sub-17
rc10,0.22056155247926948,0.11558360444108336,0.03545609339014939,0.036834090377778024,-0.12096448380281836,-0.20348948677884576,sub-17
rh11,-0.06557948222208831,-0.2123870371652368,-0.00652758315359976,-0.8644911314816828,-0.229195213729108,-0.5341415753041515,sub-17
uh3,0.14953791140473127,0.019478554259359314,-0.19163275811441013,-0.1310200659275694,-0.15256722426313402,-0.3637624162903802,sub-17
rc12,0.08828288754410063,-0.20653328677167307,0.27320586314175904,-0.10623581857395271,-0.2501021412048616,0.02362642413301986,sub-17
rc7,0.03502560590501271,0.026300023711320918,-0.06502515620400409,-0.11662756632684222,-0.011482313117334091,-0.13541214933033846,sub-17
rc5,0.5077146528326613,0.03053292310501605,0.45150184809450794,-0.18439272255575076,0.08256640422055622,-0.6869362951885725,sub-17
uh4,0.23789055926597216,0.01021882109187575,0.17059901313424103,0.03620167691211954,-0.017125781270482834,-0.3399679264876614,sub-17
