Trailer,NAcc_ISC,AIns_ISC,MPFC_ISC,NAcc_LH_ISC,AIns_LH_ISC,MPFC_LH_ISC,NAcc_DH_ISC,AIns_DH_ISC,MPFC_DH_ISC,NAcc_LC_ISC,AIns_LC_ISC,MPFC_LC_ISC,NAcc_DC_ISC,AIns_DC_ISC,MPFC_DC_ISC,NAcc_MPFC_FC,AIns_MPFC_FC,NAcc_AIns_FC,NAcc_MPFC_ISFC,AIns_MPFC_ISFC,NAcc_AIns_ISFC,AIns_NAcc_ISFC,MPFC_NAcc_ISFC,MPFC_AIns_ISFC
rh6,0.3386415754155151,-0.08169425478684682,0.5907113093473866,0.1578900870971816,0.13979908284346115,1.0801112535893218,0.33372659668199506,-0.20589900467873132,0.08916065912966545,0.2868165601185985,-0.24468486050067773,0.05308723790180754,0.21577067804232797,0.22630025683865312,0.9519725529974191,0.29458804002662076,0.8350829179509702,-0.03835862292613657,0.41730493411168906,0.11106585317138842,0.35930406750998134,-0.2904733418724357,-0.12497995487785929,0.38933254193430405
uh1,0.5247651745318059,0.07287535669275703,0.36967556456586326,0.2530082906641132,-0.024982203078581185,0.10134625012529437,0.5848795869112617,0.09150285773379586,0.4780146068479956,0.5592483287519469,0.16334402668006584,0.47054281131545167,0.2839809631679721,-0.1456915139711889,0.07374139722251638,0.2856469507174069,0.08950200587093245,0.26317697791665917,-0.28069177696184344,0.2053152724220837,-0.5236460763209206,0.16266517503896438,0.021987829479588772,0.07889076439728895
rc2,0.20785144135854725,0.2159798739649166,0.26459248406362634,0.4969362000334489,0.5534044260804795,0.4479737634216015,-0.225388685072402,-0.4458513081519325,0.013332354193570567,-0.09196993734668907,-0.3584374804157366,0.011082658719802336,0.3571564937429933,0.497037112974755,0.44512242384467304,0.0762831027466724,0.5227407509974072,-0.21379680170548176,0.34266702275000566,0.12555252487972496,0.1388902279390016,0.09347763909520329,0.31181268439743837,0.33091561002731706
rh2,-0.5474935416548938,0.488554255766942,0.28097301806942077,-0.0198695150481561,0.4262422176191965,0.20930372254633473,-0.5105823933773105,0.2049805181281402,0.19128599712096941,-0.551648847477077,0.3314350752070302,0.2005957552761136,0.11449741189931129,0.3142384210686622,0.28302311508782785,0.016076330900142176,0.42223921929195346,-0.05401202069138963,-0.12718898232562179,0.3868349708546768,0.12331705627821657,0.3283129475493457,0.02512431205095435,-0.2554864342364558
rh1,-0.21444361889933364,-0.07863131212617393,0.3742900635569774,-0.18098742541094595,-0.010051351411636517,0.30431530513941507,-0.35166213861397405,-0.3951127357098699,0.1874710122461104,-0.3140423640373182,-0.4301312445268198,0.2080847947204383,-0.18278361227728718,0.13406151166930724,0.29012831055590577,-0.3180645714316072,0.39976314551099484,0.16517323949802382,-0.07430127921228606,-0.10914467121166188,0.5650105010370685,-0.22844763337089607,0.20261214541093084,0.10101566182040667
rc9,0.06878695827965291,-0.2916185075153744,0.1962223576231762,0.026522467220347765,-0.04468231243836924,0.038877931556361364,-0.00999887109213707,-0.49805618567894383,0.26518688322530126,-0.017855134802949816,-0.5351099633939989,0.1977594923718105,0.04746805346541932,-0.015571041693819777,0.0770151651561751,0.23846413062634558,0.8635383858896605,0.4201424921777143,-0.11212452289463914,0.08356864035125908,0.12455754745888807,-0.08157684786420952,-0.050702635147513345,-0.17225338729720074
uc4,-0.4034977562641109,0.33508553648639383,-0.02808985025848878,0.16576774012184334,0.28314945886075166,0.12921246419128984,-0.5650324125448015,0.3075231080521051,-0.0039653067121316835,-0.49841166852614094,0.3033137713184164,0.11216501380975161,0.13226827202055802,0.25719469263412575,-0.016006814588826985,0.1886298636468139,0.1104264714679337,0.17526778722980044,-0.17217510151560161,0.22372308098225394,0.15917347568388945,0.02994329591353203,0.47168629422345454,-0.06953528154710585
rh9,0.27219511751733855,0.5770125973521899,-0.08588454500253105,0.093427748727939,0.19068899560785876,0.01817027019617496,0.2968838387075476,0.5596294855973778,-0.15763011312975905,0.29730440406153,0.4719244723210255,-0.04023667781963668,0.08970454559306332,0.26952345463554045,-0.12525616979286816,0.06685024097674867,0.414488975199726,0.23711244760628378,-0.14125513970275166,0.19230788777821123,-0.18586272106926385,-0.027145452158784538,-0.13316375045087003,0.4342589041252246
uh2,0.12662237258800177,0.01862345553343517,0.308554392070098,0.217890258380164,-0.10075811113749142,0.4084673589152865,-0.16588203705689022,0.11761120909516766,0.08615816607117427,-0.2937518593920551,0.010673533152103785,0.1001198497984924,0.34659030429922894,0.021648841457755894,0.4607625600142491,0.44796191221116727,0.7902604795000652,0.32561997098453704,0.751084409281854,0.20196140345537356,0.422180253912614,-0.025083466904534585,-0.1582134886200874,-0.237432756525622
rc6,0.4506725656401946,-0.27018056501629556,-0.0794070815868472,0.045234768208869895,0.2149315219448038,-0.04238350063365767,0.5262778748986872,-0.5363258173408719,0.0063858541256408,0.4733550044655184,-0.5481640488925889,-0.042023795830632406,0.07538402138761528,0.1963483290667967,0.01705588052955037,0.15920742213076103,0.565592975755087,-0.025248691612778193,0.3315420285420732,-0.05055315979632099,0.028230761937191637,0.01698346794956972,-0.1437362002660066,-0.2727064170831328
