Participant,Trailer,W_score,F_score,A_score,Pos_arousal,Neg_arousal,W_score_scaled,F_score_scaled,A_score_scaled,Pos_arousal_scaled,Neg_arousal_scaled,NAcc_TR1,NAcc_TR2,NAcc_TR3,NAcc_TR4,NAcc_TR5,NAcc_TR6,NAcc_TR7,NAcc_TR8,NAcc_TR9,NAcc_TR10,NAcc_TR11,NAcc_TR12,NAcc_TR13,NAcc_TR14,NAcc_TR15,AIns_TR1,AIns_TR2,AIns_TR3,AIns_TR4,AIns_TR5,AIns_TR6,AIns_TR7,AIns_TR8,AIns_TR9,AIns_TR10,AIns_TR11,AIns_TR12,AIns_TR13,AIns_TR14,AIns_TR15,Amyg_TR1,Amyg_TR2,Amyg_TR3,Amyg_TR4,Amyg_TR5,Amyg_TR6,Amyg_TR7,Amyg_TR8,Amyg_TR9,Amyg_TR10,Amyg_TR11,Amyg_TR12,Amyg_TR13,Amyg_TR14,Amyg_TR15,MPFC_TR1,MPFC_TR2,MPFC_TR3,MPFC_TR4,MPFC_TR5,MPFC_TR6,MPFC_TR7,MPFC_TR8,MPFC_TR9,MPFC_TR10,MPFC_TR11,MPFC_TR12,MPFC_TR13,MPFC_TR14,MPFC_TR15,Onset
sub-14,rh6,1.0,2.0,2.0,2.82842712474619,0.0,-1.1875,-0.375,-0.1875,-0.397747564417433,0.132582521472478,0.766921,0.67956,0.430277,0.633874,0.323217,0.0378106,0.203611,0.432117,-0.156725,-0.117449,0.232169,0.284882,-0.08631,-0.107702,-0.802709,0.640836,0.590589,0.297172,0.647049,0.516634,0.281723,-0.172093,-0.173414,0.173469,0.349403,-0.527624,0.0208223,0.0805225,0.35153,-0.760653,0.353531,,0.6155,0.529874,-0.143305,0.62368,0.469168,0.19359,-0.166551,0.155539,0.106646,0.175121,0.0795949,0.276743,-0.0480995,1.16201,0.963346,0.821142,0.764861,0.942217,-0.0318402,-0.0314845,-0.151242,-0.203766,0.714447,0.644706,0.166024,-1.53892,-0.74443,-0.137216,704
sub-14,uh1,3.0,1.0,2.0,2.12132034355964,0.707106781186547,0.8125,-1.375,-0.1875,-1.10485434560398,0.839689302659025,0.1382,-0.158572,-0.449957,-0.402108,-0.172804,-0.198931,0.0147211,-0.034119,0.700577,0.173607,0.766053,0.276237,-0.167394,-0.28217,-0.406325,0.300097,-0.206378,0.162688,0.0926211,-0.220469,-0.502553,-0.265155,-0.119984,0.0948656,-0.0985175,0.258752,0.251299,-0.451192,-0.286931,-0.502205,-0.25291,-0.0371099,0.0114044,-0.136557,0.147598,0.410622,-0.0623018,-0.306341,0.314137,0.206303,0.581374,0.523811,0.408662,0.476522,0.304547,0.333483,-0.51366,-0.202937,0.541563,0.0765846,-0.132077,0.433004,0.956948,0.633945,0.206363,0.030458,-0.92532,-1.10164,-1.11242,-0.715658,704
sub-14,rc2,2.0,3.0,2.0,3.53553390593274,-0.707106781186547,-0.1875,0.625,-0.1875,0.309359216769115,-0.57452425971407,-0.247196,0.0605125,0.0249712,-0.207973,-0.641158,-0.345819,-0.535663,-0.19089,-0.425412,-0.339435,-0.0855093,0.417632,0.137077,-0.183739,0.251775,-0.0691106,0.210168,0.0377205,-0.481134,-0.642436,-0.543685,-0.425614,-0.0184469,-0.444556,-0.214874,-0.501057,0.0587802,0.625078,0.208963,-0.0044421,-0.427005,0.144748,0.275018,-0.0648283,0.284926,0.0703992,-0.0651757,-0.3112,-0.0788741,0.258432,-0.318772,-0.0206758,0.328863,-0.212624,0.300582,-0.159144,0.33772,0.424121,0.648692,-0.0135051,-0.0810668,-0.361652,0.0144764,-0.132254,0.107575,-0.57881,0.013086,-0.0397999,0.0636183,0.406659,704
sub-14,rh2,4.0,2.0,2.0,2.82842712474619,0.0,1.8125,-0.375,-0.1875,-0.397747564417433,0.132582521472478,0.395392,0.170977,-0.364136,-0.217802,-0.365198,-0.708858,-0.537625,-0.903213,-0.281625,-0.130639,-0.114426,-0.408527,-0.366412,,,0.896208,0.249638,-0.00145617,-0.239618,-0.257883,-0.584296,-0.982282,-0.647532,-1.09018,-0.656056,-0.271387,-0.809977,-0.625262,,,-0.357408,,0.809988,0.478622,0.610415,0.334722,0.118495,-0.407605,-0.0545733,-0.0842456,-0.166062,0.381714,-0.108924,,,0.430097,0.11779,-0.389212,-0.77018,-0.308881,-0.431565,-0.797791,-0.373216,-0.780411,-1.21246,-0.593126,-0.788666,-1.35263,,,704
sub-14,rh1,2.0,2.0,3.0,3.53553390593274,0.707106781186547,-0.1875,-0.375,0.8125,0.309359216769115,0.839689302659025,0.941847,0.285614,0.251545,0.344792,-0.00658485,-0.553384,-0.324689,-0.481969,-0.340891,-0.170621,-0.442498,-0.31411,-0.327178,,,1.09958,0.545418,0.122827,0.0248458,0.0262422,-0.471476,-0.387967,-0.796546,-0.225317,0.118598,0.144929,-0.147549,-0.184995,,,-0.111521,0.288166,0.00872307,0.2605,0.558583,0.0953396,0.161732,-0.326427,0.083447,-0.221135,-0.159459,-0.0600111,-0.316219,,,0.923806,0.227193,0.297511,-0.0120801,-0.619755,-0.58798,-0.602806,-0.567899,0.105675,0.0695862,0.456585,-0.342878,-0.720626,,,704
sub-14,rc9,4.0,4.0,3.0,4.94974746830583,-0.707106781186547,1.8125,1.625,0.8125,1.72357277914221,-0.57452425971407,0.367157,-0.154916,-0.235962,-0.442114,-0.198356,-0.174762,0.0442734,0.0360705,-0.258098,-0.599502,-0.0678508,-0.00679393,-0.310711,-0.121658,-0.1078,0.346786,0.204656,-0.352502,-0.925582,-0.857197,-0.515992,-0.17963,-0.472152,-0.153106,-0.498981,-0.457745,-0.00341332,-0.459955,-0.224543,0.151772,-0.106989,0.308663,0.282423,0.320575,0.801314,0.195448,0.158068,0.431194,-0.116908,0.0295141,-0.0054003,0.128649,0.0275431,-0.545161,-0.0978867,0.523868,0.769218,0.0597284,-0.461158,-0.0453278,-0.354323,-0.299644,-0.191634,0.142189,-0.733821,-0.901194,-0.0376866,-0.0354627,-0.296624,0.441695,704
sub-14,uc4,1.0,4.0,3.0,4.94974746830583,-0.707106781186547,-1.1875,1.625,0.8125,1.72357277914221,-0.57452425971407,-0.062426,0.37057,-0.182051,-0.642348,-0.324642,-0.346979,-0.317159,0.0560526,-0.384763,0.0136736,-0.476252,-0.0811354,-0.3213,-0.106155,-0.119921,0.517195,0.520495,-0.333347,-0.674804,-0.197782,-0.709097,-0.787757,-0.436139,-0.567685,-0.398836,-0.522739,-0.547645,-0.515824,-0.172301,0.0023922,0.00923962,,0.558974,0.129693,-0.712414,-0.092119,-0.174436,-0.281375,-0.581775,-0.251964,-0.0285883,0.142967,0.116984,0.0779627,0.0455867,0.271717,-0.175523,0.357305,-0.137917,0.392622,-0.120537,-0.19882,0.120221,0.214414,0.0249765,-0.343119,-0.51856,-0.590103,-0.393853,-0.725108,704
sub-14,rh9,1.0,1.0,1.0,1.4142135623731,0.0,-1.1875,-1.375,-1.1875,-1.81196112679053,0.132582521472478,0.50871,-0.143159,0.051257,-0.186293,-0.262824,0.0253743,-0.26581,-0.139464,0.56857,0.0457768,0.212001,-0.0190706,-0.147148,-0.314783,0.0562013,0.976003,0.276617,0.415997,0.209088,-0.239455,-0.599697,-0.78147,-0.750962,-0.118929,-0.465239,-0.0432669,-0.483847,0.167969,0.0739008,-0.0372123,-0.00126326,0.3628,0.224177,0.231038,-0.210881,-0.124552,0.0895026,-0.497129,0.298718,0.28432,0.101658,-0.146257,-0.204173,0.627643,0.394749,0.63456,-0.434442,0.15393,-0.446096,-0.200698,-0.369234,-0.525071,-0.163372,-0.0600818,0.150952,0.951892,0.808656,0.193411,-0.191548,-0.490312,704
sub-14,uh2,4.0,4.0,4.0,5.65685424949238,0.0,1.8125,1.625,1.8125,2.43067956032876,0.132582521472478,-0.370415,0.383218,0.569681,-0.249115,-0.696329,-0.814261,-1.06922,-0.514764,-0.477535,-0.312594,-0.470962,0.045394,-0.039734,0.0922064,0.140961,-0.759521,0.689715,0.134398,-0.386454,-0.404643,-0.151331,-0.324695,-0.988343,-1.00827,-0.239585,0.0756256,-0.241078,-0.109247,0.174243,-0.150606,-0.0345645,0.270992,0.325805,0.726197,-0.106031,-0.492894,-0.803647,-0.531254,-0.709413,-0.119134,-0.223907,0.081081,0.183724,0.265522,0.222607,-0.240972,1.52415,-1.11056,-0.267866,-0.516621,-0.443156,-0.941525,-1.42296,-1.19068,-0.820277,-0.493558,-0.807614,-0.243803,0.636373,0.723596,704
sub-14,rc6,1.0,3.0,1.0,2.82842712474619,-1.4142135623731,-1.1875,0.625,-1.1875,-0.397747564417433,-1.28163104090062,0.658047,-0.23768,-0.543344,-0.674913,0.370349,0.207854,-0.296275,-0.808687,-0.676996,-0.466939,-0.49553,-0.495715,0.00608383,0.426213,0.287589,0.175586,-0.267116,0.332862,0.760302,0.10263,-0.017483,-0.148967,-0.35203,-1.05483,-0.727845,-0.732242,-0.640844,-0.0243226,-0.25974,-0.512517,0.0296911,-0.216705,-0.304496,-0.00681067,0.457084,0.00491996,-0.727463,-0.175802,0.120265,0.773874,0.316087,-0.00808072,0.150278,0.760774,0.973933,,-0.0593256,-0.160997,0.254913,-0.190263,-0.205822,0.0391391,0.0799077,-1.48983,,,-1.08166,-0.351501,-0.0241872,0.163246,704
