Trailer,NAcc_ISC,AIns_ISC,MPFC_ISC,NAcc_LH_ISC,AIns_LH_ISC,MPFC_LH_ISC,NAcc_DH_ISC,AIns_DH_ISC,MPFC_DH_ISC,NAcc_LC_ISC,AIns_LC_ISC,MPFC_LC_ISC,NAcc_DC_ISC,AIns_DC_ISC,MPFC_DC_ISC,NAcc_MPFC_FC,AIns_MPFC_FC,NAcc_AIns_FC,NAcc_MPFC_ISFC,AIns_MPFC_ISFC,NAcc_AIns_ISFC,AIns_NAcc_ISFC,MPFC_NAcc_ISFC,MPFC_AIns_ISFC
rh6,0.25029740741989354,-0.05144217479114486,-0.3651903196989605,0.24860805597746558,-0.18731132329795566,-0.7673955028117511,0.20035194126562272,0.05084673085735337,-0.064727220186322,0.23335286426221036,0.007916254940253274,-0.10895460707786575,0.20561498611634962,-0.11876104111919679,-0.5481990316743582,-0.17003585905343765,0.25699466418419536,0.25812671225687983,0.12608406897130484,-0.3415140571249983,0.15979546023730895,0.05502130674728638,-0.44742629413775437,-0.07305455266882177
uh1,0.0614490302154759,-0.13325121307447013,-0.07145151176142864,0.09701985010822949,-0.058872469307442596,-0.4049696505777406,-0.029335587640041707,-0.1607612618305362,0.16605431628757938,-0.019321164616138222,-0.22533789766882378,0.11482646970870664,0.0987627615520954,0.09082630494492198,-0.3517434030713154,-0.3710424499059744,-0.0305003280024862,0.47083621646320717,-0.06154278737837832,0.08691174372677592,0.22485120908367265,-0.5490288080271457,0.22443439720031133,-0.24272456346733365
rc2,0.40482723802689097,0.5634016013629579,0.483042856687459,0.1860821195430059,0.7749613285558556,0.26506535163186884,0.38653371009826454,0.2936802870944936,0.5357836373789936,0.42594389234755636,0.40934339141212867,0.5804761770358783,0.08685270644779897,0.6445656650948488,0.19753138349670224,0.27704143069304116,0.22667001409113452,0.3224793361476894,1.1180805362772464,0.36834411124807304,0.5709787670835227,0.8104307454046137,0.33523369679738413,0.4059853553163455
rh2,-0.09724554166298348,-0.012283603344897252,0.7272548138932021,-0.33571950657334226,-0.05306240475988734,0.24477658719494624,0.04575104675167996,0.012113409170138591,0.8810600016383471,-0.02076693871076676,0.03214106395140862,0.8436865036315455,-0.27223361579857025,-0.11073860192145414,0.3176985297731508,0.292940136281485,-0.23312067180973706,-0.009919509372087965,0.08549817527773794,0.049619035071582614,0.4947557370318595,0.3105495930832519,0.38698101714476046,0.23414441610041753
rh1,0.0028342439361246493,0.3010469961835143,0.10075839829488296,-0.017291284678060966,0.1487645445956864,0.1395124407875877,0.018123757466394174,0.2606400397666402,0.0634045985267361,0.04663750086356829,0.2483829206959595,0.07787047786669124,-0.04604204535899037,0.18658473347076013,0.11908916085546689,-0.2148534163691509,-0.39920117372645614,0.19283268189555916,-0.390285498495756,0.1741747819643868,0.04104984023787889,-0.36278135294595154,0.42703473584468743,0.23555376046657606
rc9,0.3670571030010861,0.1569166878018713,-0.3718639876016744,0.5463460000381685,0.1266829498150138,-0.18502826669236316,0.1861089138135916,0.15636119548981625,-0.40669057419632554,0.14969006880742194,0.22623377637553768,-0.38907741813153557,0.5887679240847249,0.021647770445318834,-0.1743116522875098,0.15948895569131902,-0.19405531477321866,0.2248748671275576,-0.03100518205324343,0.2723108990304477,-0.2563550240376878,0.11449542298059658,0.27948402737484285,-0.5143552764864529
uc4,0.26485905241505453,0.21165525824846407,0.10583318845192523,0.32194082123247797,0.15905873618361435,0.15400937295953587,0.0970511207521941,0.17197924993630426,0.019654525532195488,0.15022821369515796,0.22650654344684934,0.12550182759518477,0.2069992085808512,0.07796468218316724,0.04973975024032594,0.39911293834706657,0.19259771623138244,0.7975876121499641,0.13942040727630747,0.15715518052622632,0.09324796571281808,0.3354348840548638,0.18704850031597983,-0.12835788844299395
rh9,0.5317027428719673,-0.12077956024984826,-0.08413080460709728,0.5530862636173272,-0.0870826887224716,-0.07489312784445415,0.35940787685129205,-0.12182872760913044,-0.038723209454699245,0.38293034954360705,-0.148837145299506,-0.17224475914709672,0.49709673927933273,-0.040533527139084015,0.04195045341013496,0.5152611629253617,0.21659617552136592,0.48910506441429064,-0.03936095753691286,0.16577915122896622,-0.2720584777513523,0.19376432408268038,0.3476891187962545,-0.6826634295637369
uh2,0.33175348912939956,-0.5002485741525687,0.4133636676572425,-0.123921382740652,0.053918498205008346,0.6393982224116368,0.5564548066461906,-0.706255652956324,0.15890665892109956,0.5506768436860638,-0.6992476960435718,0.07261363954351312,-0.2100047721694811,0.07035081663115267,0.7824373406698534,0.3366693671220487,-0.42324028429437,0.01821868611037003,0.2774325761321271,-0.2983979320695852,0.41897325636574473,0.3736198157759276,0.1351383608139739,0.7541135683724005
rc6,0.05667024701580231,0.8071049049245111,0.35798806123725174,-0.1340042982296627,0.6107009068697683,0.04185024688560495,0.24488105773458446,0.6793773462821125,0.48117890063230845,0.2334509045140149,0.7014429367561061,0.49098873492273687,-0.15238286229057282,0.5660715235441709,0.01686831213066173,0.3881392638002409,-0.048076164470540625,-0.006858797182942925,0.17538260811337433,0.2536746133811793,0.0034930137809183154,-0.7421104228058151,-0.05237075957434918,-0.11523127487514569
rh3,0.36856801829313035,0.32367421430257287,0.774379806973235,0.5016716550665662,0.6839582109387352,0.6374854241658533,0.02898135929734825,0.10348621835011161,0.6445011457514768,0.06758038048603385,0.11646219325488186,0.761553632203371,0.5134695274977256,0.7749326727854894,0.49039061477812296,-0.19496813652919825,0.4114808393018656,0.15498563384839828,-0.2137828563189397,0.14553717674306255,0.1371481120920722,0.454188658522887,-0.2209684761665231,0.2963119078741288
rc11,-0.6453356624363401,0.5388682388257597,-0.2048596908261722,-0.5602432142208965,0.31317031981671667,-0.11449657324945872,-0.2852085254455778,0.5252767702020287,-0.20502570996982028,-0.4605440965522854,0.47822318416138493,-0.1786384887590381,-0.3406503577041902,0.3478588410381026,-0.14014838387729256,0.19205271433422488,-0.607922999075694,0.21808777410511798,-0.27782645717019483,0.06417867549984706,-0.14504949068653947,0.26784950379760897,-0.5919075746178949,-0.5284663314828161
uc1,0.25333650015843406,-0.49769085347325653,0.6080611215696671,0.43478949407653217,-0.2180285461095796,0.36795945358932564,-0.05621581411527814,-0.5662160852771212,0.7001057651918142,-0.10057123990575324,-0.6220520624209327,0.6694909555117552,0.5258342947630578,-0.12888796042132492,0.40736226034989215,0.30314135881188586,-0.5330189371240055,-0.14546656371719055,0.3070104221043095,-0.23419980929252843,0.5255337106049405,0.046395811089312386,0.17430320191240667,0.9788422715704722
rh11,0.11440292883077277,0.23353069875386,0.2848799857298094,0.05984517364705345,0.07875517020705336,0.18938454883869452,0.10548550848221913,0.27204875671946244,0.3539743698458459,0.0908856420359231,0.31023251969170373,0.3189865494651824,0.07167511965619912,-0.003328760943878773,0.22120311405851734,0.29303694893493404,0.6483352092298221,-0.023055815628714546,0.20742804754571806,-0.09687051567237666,0.16947839329196368,-0.13464144497100833,0.1646686142765263,0.0057178684191836054
rc12,-0.05528785327182842,0.06529197590244437,0.4127404325652486,0.16827204690711836,-0.15628415323457964,0.4348816070396239,-0.21758751525576064,0.17547187731530822,0.2797330014496341,-0.21801606895608838,0.09613680133649635,0.3761479242616459,0.21301129355308496,-0.03518237024779854,0.35246982656977827,0.3272410821959936,0.05127702310345572,0.40543909298490755,0.3332202982024001,0.4240064629425063,-0.39902297021549843,-0.23625395907412627,0.14078011015163863,-0.5461016422372992
rc5,0.01609012130126166,-0.4321168044967365,0.44537693366163855,0.09572430300211955,-0.32501644794266726,0.4453522618572586,-0.052597514837575104,-0.4534028476462086,0.3938915981110466,-0.0493833877622837,-0.4343790089443451,0.44530287043127526,0.09152864927861946,-0.3492923002047586,0.40599973719210725,0.15820320971125323,-0.2713117265286165,0.21386582482465574,0.052657686766073956,-0.2565780382794402,-0.1359177310528617,-0.4852754861711057,0.39988988385875435,0.15811234559448767
rc3,-0.43387786687808455,0.33910407719983865,0.09599323291343986,-0.40815406070718224,0.21337093634989573,0.28854594654953436,-0.1964887445341636,0.35970156952448046,-0.04996864762394948,-0.15593723217479274,0.3155551369702602,-0.07589543938558803,-0.49112436168405815,0.2810647784650789,0.35000764271538054,0.2926722588325293,-0.2159004314482893,-0.2433454483474535,0.13211510008655916,0.5069125455086864,-0.5069403578975381,0.6645913785799649,-0.11285890906753929,0.02013534704849134
rh12,0.39837705599846857,0.5495005543008247,0.39611348232503124,0.1980962611306196,0.20443616146900084,0.4659573028509714,0.47650372195477964,0.6750204713147143,0.24776725074061326,0.4199657822299835,0.7803694504201283,0.3208920041064687,0.23490182436327428,0.07472227772495188,0.4246932450705728,0.4541091657192154,0.5547642023266638,0.6822129295229981,0.2502169432180244,0.5450889962337945,0.306518513453787,0.04561946734956425,0.1344731338126392,0.6857723238158449
rc1,-0.15686306950872883,0.5300860510845969,0.30486293432770095,-0.05558602157527392,0.3417209521138846,0.1488293048830589,-0.19499865929872462,0.6018226792630961,0.31163168363975474,-0.2112335009579977,0.7479205330951181,0.266881549119186,-0.01424333686934644,0.23822063227585805,0.2818892654328922,0.17856986241257,0.003537386442887356,0.22493558568554617,0.15766602214057682,-0.1263366559323224,-0.2258018201588166,-0.10473785422522074,0.3780941042230309,0.29551331329216685
rh7,0.1984831071399529,0.19775821159921972,0.3780981696844884,-0.12644294965642602,0.3872922213896602,0.5039254330308647,0.4294780019074892,0.016003176138479385,0.2449466685430812,0.4353005547015659,0.13471544154757475,0.2242563937842706,-0.1588035996528188,0.18542136608331594,0.5222110062171046,0.4549925754081516,-0.012449940727346441,-0.13439270917610557,0.6757416107174087,-0.2286408679509892,0.43698458150135744,0.1625723162199968,0.5666492760572537,0.2622755159810676
rc8,0.24934928384854893,-0.22512648835900495,-0.24372133102963658,0.19661441143148076,-0.4302696176496023,-0.027018126945641017,0.22802416986558166,0.1090374447460893,-0.36789113423976877,0.23212292051035446,0.13560546607106605,-0.32962965807724587,0.1697780974694565,-0.5288318632978092,-0.058668031740406454,-0.15878616943079463,-0.38880427357541786,0.11198033058178748,0.6155901408994087,-0.22091431977353662,-0.2967095189074117,-0.3376751057358618,0.20712385659995447,0.3367242086919211
uc3,0.13031755312645874,0.24939634869747646,0.205062608294139,0.40525905719252353,0.2227053888136014,0.05212528434790447,-0.16153632426432699,0.22673043453674258,0.33372597678606036,-0.06269758039699808,0.19254676679871824,0.2825420977860134,0.3422152610297783,0.28240500146349073,0.09617036077016095,0.04221098813133484,0.07833590680653035,1.042907727224929,-0.12762589168326754,-0.4151572951519582,0.520048315509515,-0.010603032287673538,0.29922111433089904,0.15248923075727985
rh10,0.5653069885931997,0.34296593083983573,-0.11532672398409745,0.1391175994821109,0.47717302163659514,-0.2831241404786077,0.5794262175599056,0.2408723383084833,0.02018866564475188,0.5642830556241349,0.2261716061710092,0.025174240836145247,0.059082246710345176,0.5122132511038061,-0.3291085081170323,0.09677166853450031,-0.31054498482213533,0.35534804980208984,0.2645822634566158,0.39904302657772683,0.4211302021835116,0.27616667260631605,-0.21686049531482315,0.2757734452212459
