Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled
rh6,Horror,12,42,30,1,2,2,1.120044556629192,0.3397887980785189,-0.2941690057439035,0.3397887980785189,-0.8125
uh1,Horror,60.0,90.0,30,1,4,1,1.8499612339830476,1.0697054754323743,0.4357476716099522,1.0697054754323743,-0.8125
rc2,Comedy,108.0,138.0,30,1,1,3,0.7550862179522643,-0.025169540598408813,-0.6591273444208311,-0.025169540598408785,-0.8125
rh2,Horror,152.0,182.0,30,1,2,2,1.120044556629192,0.3397887980785189,-0.2941690057439035,0.3397887980785189,-0.8125
rh1,Horror,196.0,226.0,30,1,4,1,1.8499612339830476,1.0697054754323743,0.4357476716099522,1.0697054754323743,-0.8125
rc9,Comedy,244.0,274.0,30,2,2,3,1.5101724359045285,-0.050339081196817625,0.09595887353143318,-0.0503390811968176,0.1875
uc4,Comedy,288.0,318.0,30,3,2,4,1.900300315179865,-0.44046696047215417,0.4860867528067696,-0.44046696047215417,1.1875
rh9,Horror,332.0,362.0,30,2,1,2,1.1452140972276008,-0.41529741987374535,-0.26899946514549455,-0.41529741987374535,0.1875
uh2,Horror,376.0,406.0,30,1,2,2,1.120044556629192,0.3397887980785189,-0.2941690057439035,0.3397887980785189,-0.8125
rc6,Comedy,420.0,450.0,30,2,1,2,1.1452140972276008,-0.41529741987374535,-0.26899946514549455,-0.41529741987374535,0.1875
rh3,Horror,468.0,498.0,30,1,2,2,1.120044556629192,0.3397887980785189,-0.2941690057439035,0.3397887980785189,-0.8125
rc11,Comedy,512.0,542.0,30,2,1,3,1.1452140972276008,-0.41529741987374535,-0.26899946514549455,-0.41529741987374535,0.1875
uc1,Comedy,560.0,590.0,30,3,1,3,1.5353419765029375,-0.8054252991490819,0.1211284141298421,-0.8054252991490819,1.1875
rh11,Horror,608.0,638.0,30,2,3,2,1.8751307745814563,0.3146192574801101,0.4609172122083609,0.3146192574801101,0.1875
rc12,Comedy,656.0,686.0,30,3,1,3,1.5353419765029375,-0.8054252991490819,0.1211284141298421,-0.8054252991490819,1.1875
rc5,Comedy,700.0,730.0,30,3,2,4,1.900300315179865,-0.44046696047215417,0.4860867528067696,-0.44046696047215417,1.1875
rc3,Comedy,12,42,30,2,2,3,1.5237317843750517,-0.1523731784375051,0.10951822200195682,-0.15237317843750517,0.3125
rh12,Horror,60.0,90.0,30,1,4,1,1.790384846640686,0.9523323652344075,0.37617128426759106,0.9523323652344073,-0.6875
rc1,Comedy,108.0,138.0,30,3,1,4,1.5999183735938043,-0.914239070625031,0.18570481122070936,-0.9142390706250311,1.3125
rh7,Horror,152.0,182.0,30,1,4,1,1.790384846640686,0.9523323652344075,0.37617128426759106,0.9523323652344073,-0.6875
rc8,Comedy,200.0,230.0,30,1,2,2,1.1047055436719126,0.2666530622656341,-0.3095080187011823,0.26665306226563407,-0.6875
uc3,Comedy,244.0,274.0,30,4,1,4,2.0189446142969434,-1.3332653113281703,0.6047310519238485,-1.3332653113281703,2.3125
rh10,Horror,288.0,318.0,30,1,3,2,1.4475451951562992,0.6094927137500208,0.03333163278320428,0.6094927137500207,-0.6875
rc4,Comedy,332.0,362.0,30,2,1,3,1.1808921328906652,-0.4952128299218918,-0.23332142948242973,-0.49521282992189186,0.3125
rh4,Horror,380.0,410.0,30,1,1,2,0.7618658921875259,-0.07618658921875256,-0.652347670185569,-0.07618658921875261,-0.6875
uc2,Comedy,428.0,458.0,30,3,1,2,1.5999183735938043,-0.914239070625031,0.18570481122070936,-0.9142390706250311,1.3125
rh5,Horror,476.0,506.0,30,1,3,2,1.4475451951562992,0.6094927137500208,0.03333163278320428,0.6094927137500207,-0.6875
rh8,Horror,520.0,550.0,30,1,4,1,1.790384846640686,0.9523323652344075,0.37617128426759106,0.9523323652344073,-0.6875
rc10,Comedy,568.0,598.0,30,2,1,3,1.1808921328906652,-0.4952128299218918,-0.23332142948242973,-0.49521282992189186,0.3125
uh3,Horror,616.0,646.0,30,1,2,2,1.1047055436719126,0.2666530622656341,-0.3095080187011823,0.26665306226563407,-0.6875
rc7,Comedy,660.0,690.0,30,1,1,3,0.7618658921875259,-0.07618658921875256,-0.652347670185569,-0.07618658921875261,-0.6875
uh4,Horror,704.0,734.0,30,2,2,2,1.5237317843750517,-0.1523731784375051,0.10951822200195682,-0.15237317843750517,0.3125
