Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled
rh6,Horror,700,42.0,30,2,2,2,1.3764143058672702,0.0834190488404406,-0.0377992565058249,0.0834190488404406,0.25
uh1,Horror,700,90.0,30,0,2,2,1.3764143058672702,0.0834190488404406,-0.0377992565058249,0.0834190488404406,-1.75
rc2,Comedy,700,138.0,30,2,1,2,1.0114559671903425,-0.281539289836487,-0.4027575951827526,-0.2815392898364871,0.25
rh2,Horror,700,182.0,30,2,2,1,1.0531654916105628,0.4066678630971481,-0.3610480707625323,0.406667863097148,0.25
rh1,Horror,700,226.0,30,4,4,2,2.1063309832211257,0.8133357261942962,0.6921174208480305,0.8133357261942962,2.25
rc9,Comedy,700,274.0,30,1,1,3,1.33470478144705,-0.6047881040931945,-0.079508780926045,-0.6047881040931945,-0.75
uc4,Comedy,700,318.0,30,1,1,3,1.33470478144705,-0.6047881040931945,-0.079508780926045,-0.6047881040931945,-0.75
rh9,Horror,700,362.0,30,3,3,1,1.4181238302874908,0.7716262017740758,0.0039102679143956,0.7716262017740758,1.25
uh2,Horror,700,406.0,30,0,2,4,2.022911934380685,-0.5630785796729741,0.6086983720075898,-0.5630785796729741,-1.75
rc6,Comedy,700,450.0,30,2,2,2,1.3764143058672702,0.0834190488404406,-0.0377992565058249,0.0834190488404406,0.25
rh3,Horror,700,498.0,30,1,2,2,1.3764143058672702,0.0834190488404406,-0.0377992565058249,0.0834190488404406,-0.75
rc11,Comedy,700,542.0,30,2,2,4,2.022911934380685,-0.5630785796729741,0.6086983720075898,-0.5630785796729741,0.25
uc1,Comedy,700,590.0,30,3,1,3,1.33470478144705,-0.6047881040931945,-0.079508780926045,-0.6047881040931945,1.25
rh11,Horror,700,638.0,30,3,3,1,1.4181238302874908,0.7716262017740758,0.0039102679143956,0.7716262017740758,1.25
rc12,Comedy,700,686.0,30,1,2,0,0.7299166773538555,0.7299166773538555,-0.6842968850192397,0.7299166773538555,-0.75
rc5,Comedy,700,730.0,30,1,1,3,1.33470478144705,-0.6047881040931945,-0.079508780926045,-0.6047881040931945,-0.75
rc3,Comedy,704,42.0,30,4,4,4,2.7528286117345404,-0.1668380976808812,1.3386150493614457,-0.1668380976808812,2.0625
rh12,Horror,704,90.0,30,3,3,1,1.33470478144705,0.6047881040931945,-0.0795087809260448,0.6047881040931945,1.0625
rc1,Comedy,704,138.0,30,2,2,3,1.741372644544198,-0.4483773875173683,0.327159082171103,-0.4483773875173683,0.0625
rh7,Horror,704,182.0,30,1,3,1,1.33470478144705,0.6047881040931945,-0.0795087809260448,0.6047881040931945,-0.9375
rc8,Comedy,704,230.0,30,1,1,1,0.6882071529336351,-0.0417095244202203,-0.7260064094394598,-0.0417095244202203,-0.9375
uc3,Comedy,704,274.0,30,3,3,3,2.064621458800905,-0.1251285732606609,0.6504078964278106,-0.1251285732606609,1.0625
rh10,Horror,704,318.0,30,1,3,1,1.33470478144705,0.6047881040931945,-0.0795087809260448,0.6047881040931945,-0.9375
rc4,Comedy,704,362.0,30,4,4,4,2.7528286117345404,-0.1668380976808812,1.3386150493614457,-0.1668380976808812,2.0625
rh4,Horror,704,410.0,30,1,3,1,1.33470478144705,0.6047881040931945,-0.0795087809260448,0.6047881040931945,-0.9375
uc2,Comedy,704,458.0,30,0,1,3,1.4181238302874908,-0.7716262017740758,0.0039102679143958,-0.7716262017740758,-1.9375
rh5,Horror,704,506.0,30,1,1,1,0.6882071529336351,-0.0417095244202203,-0.7260064094394598,-0.0417095244202203,-0.9375
rh8,Horror,704,550.0,30,1,0,1,0.3649583386769277,-0.3649583386769277,-1.0492552236961672,-0.3649583386769277,-0.9375
rc10,Comedy,704,598.0,30,1,1,0,0.3232488142567074,0.3232488142567074,-1.0909647481163876,0.3232488142567074,-0.9375
uh3,Horror,704,646.0,30,4,4,2,2.022911934380685,0.5630785796729741,0.60869837200759,0.5630785796729741,2.0625
rc7,Comedy,704,690.0,30,3,1,3,1.4181238302874908,-0.7716262017740758,0.0039102679143958,-0.7716262017740758,1.0625
uh4,Horror,704,734.0,30,1,1,2,1.0531654916105628,-0.4066678630971481,-0.3610480707625321,-0.4066678630971481,-0.9375
