Trailer,NAcc_GLM_long,AIns_GLM_long,vmPFC_GLM_long,NAcc_GLM_short,AIns_GLM_short,vmPFC_GLM_short,Participant
rh6,-0.15847705902846354,-0.16779585840427003,0.11034708954198796,-0.24951305062518736,-0.07859558084922032,0.2115531803772124,sub-37
rc3,-0.13752129820539946,-0.3220632915289629,0.2765914906148264,-0.2851278307607927,-0.020644932077888603,0.25164138326727553,sub-37
uh1,-0.1414157770362398,0.1959746360473385,-0.10522269349221844,-0.11335583122783133,-0.06422681871865914,-0.22687122120850986,sub-37
rh12,-0.13039733936910444,-0.03495369543604244,-0.33894612694955545,-0.12237611688164933,-0.10901304500378617,-0.39874759487858685,sub-37
rc2,-0.05794295726767236,0.15219076356665767,-0.023217663652500845,-0.2893711498429036,0.028227088523193975,-0.2628683337311843,sub-37
rc1,0.08947906690564746,0.010519939828463361,0.031207116942934605,-0.15573745707941333,-0.09029152834000867,-0.17482172341766564,sub-37
rh2,-0.02371675670529254,0.32448300812212694,-0.057685418873046644,-0.3243239693527481,0.1185352332651325,0.027441110736924998,sub-37
rh7,0.05889403498511629,0.16607168707644057,-0.048285043337783454,-0.2704537555583524,0.022024946828344973,-0.17982017532754246,sub-37
rh1,-0.19533467112751113,-0.1808265951089488,-0.05388353970009152,-0.5033419024832598,-0.3378584555505416,-0.2185853295323268,sub-37
rc8,-0.03791858059455543,-0.10652422655453882,0.11650395505623717,-0.1507177340155695,-0.23074304190100314,0.12826716675032449,sub-37
rc9,-0.027651826923928646,0.10409551449580501,0.2932258542001314,-0.03794940629717927,0.1520508657215651,-0.05381158016252031,sub-37
uc3,0.02764740309548649,-0.03866859089095973,0.3096936185910854,-0.13944123180371015,-0.02518800663458798,-0.251129031853511,sub-37
uc4,-0.10125683908068538,0.2506118417419639,-0.059957259326716535,-0.174359574446531,0.18773411406704266,0.018292972997933185,sub-37
rh10,0.0218353380527629,0.15102517005939517,-0.02552154148096121,-0.10323493278316134,0.015577541977427518,-0.08184705901649629,sub-37
rh9,-0.23117268966050802,-0.11396532061530609,-0.017247685691062147,-0.2600903176517136,-0.15552773959810556,-0.13819829164633854,sub-37
rc4,-0.14152357513066832,-0.2214363560749295,0.05189194298693445,-0.2196054670118299,-0.27179652779580354,-0.09328115054417474,sub-37
uh2,-0.15684003877815192,0.10293478781453928,-0.259449347676537,-0.13893871007201863,0.07701470052973708,-0.09928991742394458,sub-37
rh4,-0.08315580505846214,-0.012664900863507073,-0.20306537794541502,-0.09752909673527914,0.015726379415432347,-0.08328124029502375,sub-37
rc6,-0.27742922383925317,-0.14268180197781363,-0.007669512478944899,-0.11753842926955937,0.07469056556907452,-0.33587086968852037,sub-37
uc2,-0.24688059679626473,-0.20116864711942098,0.022360315867790973,-0.23997480471350044,-0.19066632931308156,-0.18829510361260293,sub-37
rh3,-0.13151092886309163,0.04844272813842854,-0.04144024199490851,0.00957212046251185,0.0277911574417863,0.11190859003845043,sub-37
rh5,-0.22497307406676678,0.06441745054021743,-0.06326045043811289,0.0489128949462019,0.11323735694692051,0.0656302355581137,sub-37
rc11,0.046813488768781664,0.01502572694289833,0.10336195927700925,0.021605821186126164,-0.08961048088444783,0.012149104830167448,sub-37
rh8,-0.05022038167981499,-0.05632731077190003,0.06831151726101994,-0.10116925126982744,-0.003088885101568412,-0.2886492149108834,sub-37
uc1,-0.1787182876676243,-0.08467018590835784,0.08738991281694312,-0.2683195167383761,-0.02310804466084953,0.06372041419963034,sub-37
rc10,-0.15257410333551477,-0.15570643415405555,0.08427602946344186,-0.0697142625450534,-0.2620418747672158,0.15689952667487514,sub-37
rh11,-0.1857663395314949,0.12584022687301114,-0.055349235034114215,-0.15560357287446222,0.28522486323768814,0.1072241002259926,sub-37
uh3,-0.15325428248314352,-0.0775402913857257,-0.2934361057734068,-0.3647382979054807,-0.010473198346558936,-0.18870775375153712,sub-37
rc12,-0.1541480596816016,-0.18702826326110905,0.19486557600971083,-0.18015706274636092,0.02877787213125361,-0.1837591592525665,sub-37
rc7,-0.08013305952734545,-0.29443117241513583,0.1859367129025314,-0.21566485948907,-0.15831882885971862,-0.33041537615845895,sub-37
rc5,-0.1651884768742723,0.03470199921672615,-0.4293316019977418,-0.25065690110844707,-0.10812350318143393,-0.10850418809739196,sub-37
uh4,-0.07549775909304228,-0.07904499532316059,-0.3009699390256902,-0.20219964155789008,-0.2046423980683853,-0.6335103406536208,sub-37
