Trailer,NAcc_ISC,AIns_ISC,MPFC_ISC,NAcc_MPFC_FC,AIns_MPFC_FC,NAcc_AIns_FC,NAcc_MPFC_ISFC,AIns_MPFC_ISFC,NAcc_AIns_ISFC,AIns_NAcc_ISFC,MPFC_NAcc_ISFC,MPFC_AIns_ISFC
rh6,-0.3408166944363648,-0.7475544248544973,0.26663035138960905,0.8158215228869793,0.7354932583357974,1.3846055022749697,0.027212647728372716,-0.006511678390022931,-0.5460481885461036,-0.39901099692430597,-0.2939084565884462,-0.28741524662904033
uh1,-0.37254925999202265,-0.392143081003556,0.08769485291330129,-0.10305014604854841,-0.08547148310675648,0.8971697343956129,-0.45878035657414057,-0.45976432821306673,-0.4901658938900589,-0.5188385213284962,0.27016141418310957,0.13961414156044802
rc2,0.27836059222705656,0.6211900273768414,0.6473600487716404,0.3589559875425575,0.5391998955541505,0.8485736365666675,-0.03191786622879707,0.4203082158003624,0.37109896125176606,0.23125808889860563,0.0036854948589764834,0.2951705425104775
rh2,-0.6324576814991032,0.45354195238342576,0.3768727874632287,0.0013149275491765454,0.27785474555023515,-0.12111722813220843,-0.7093320661555644,0.2108444065121156,-0.8972402823828723,0.32577285676667245,0.10692302566850664,0.09246279522571102
rh1,-0.004873946522228481,0.14122106801482304,0.29633642799868776,0.24942371725911305,0.3559367808971873,0.8574887961179173,-0.345650325362622,0.016313462133607588,-0.08144767191058987,-0.00929913589331959,0.12370153656034744,0.29471927959232364
rc9,-0.13462220831619193,-0.011021272210088043,-0.4061898988041641,0.45935871066260886,0.17512499573825302,1.0688728835469101,-0.18437240248783804,0.05562325363926398,-0.2958977443857429,0.14007045517140754,-0.039322148248667727,-0.3820049335554597
uc4,-0.4502837143454558,-0.1529571840302823,0.05256653009542088,0.4618836804012074,-0.5635462108909586,0.2183241536025033,-0.021160239617773437,-0.2392584125797336,0.07737198585296352,-0.32437576968522647,-0.054529567789305566,0.021129277118285092
rh9,-0.33579266940831853,-0.2188012367205137,0.16686468203731514,0.3302924865663096,0.2517598839896432,0.5732641450769577,-0.08482963170588806,0.228447806492892,-0.3524696614956457,-0.38478254968141296,0.007915096177682808,-0.1132826920475611
uh2,0.20542531486868004,-0.159236830118599,0.7362605540113439,-0.029257540920353462,0.014391838148395324,1.0643577794255414,-0.15678670633288694,-0.1064665644612462,-0.1994768802954634,0.20082064982013095,0.21978816003562218,0.4187710805185974
rc6,-0.04332308323559537,-0.07969392511599473,0.4877871348531819,0.545991330707711,0.15802984887230984,0.725555558405179,-0.07302849533494278,-0.30657863404223,0.13157098343766632,-0.43244099635158717,0.48414313774525236,0.8632847047265433
rh3,-0.531212811306099,0.3278277177601338,0.022877739636796107,0.668206178813447,-0.09172090174314315,0.28127290080047385,-0.11403591151128667,0.18058333562144843,-0.048362821899892175,-0.2008756816468515,-0.10740758073811903,0.1432654650353876
rc11,0.13268596772058125,0.2690839541775054,-0.13533155734922583,0.6299943949789173,-0.1406343113691729,-0.2277302611279343,0.11347249916026052,0.4001124317031812,0.17216898572617265,0.7221530773500445,-0.1178755336193047,-0.2446601191815158
uc1,-0.2843176333744241,0.02288734039709686,0.02245976756033234,0.7568776314850086,0.7068859896607467,1.1103956902813652,-0.35393638467843364,-0.1006389383354883,-0.20542117051462327,-0.34323942553383213,0.1705231842683219,-0.0256480066208501
rh11,0.022228712602745008,0.00538816659652893,0.697085928735857,0.5582407994947665,0.461362598847474,0.5248173331958355,0.4323736639572906,0.28566193682427155,0.20299558196278827,0.30729353716451563,0.015489415927462358,0.4778231679276653
rc12,-0.3147992273040931,-0.2340121523196041,-0.007288643745832612,0.7888577454136813,0.3099666168890985,0.4319195680483333,0.04445642581285871,-0.12409829664752701,-0.762622493698027,-0.3555060934291668,-0.07175456433796694,-0.20265020061520875
rc5,0.9217865511713661,0.7909631193164554,0.8346349225257209,0.6533671490999227,0.8730561545495552,0.8662499077738266,0.7227546316676711,1.1124892709382783,0.7484966326851066,0.6643002879099275,0.3658401986208535,0.8070940583791323
rc3,0.19772702202923162,-0.06456690632503914,0.7449470630570336,0.7636459108727677,0.3914584306836044,0.6118996896436467,0.5094687867654369,0.11095897709805201,0.35443389296887007,-0.22920144626719505,0.2703193391811047,0.19631923550945693
rh12,0.8266835517489505,0.150245574399894,0.6807045349973807,0.09753459910233367,0.44588754627533,-0.06193142527064644,0.05390125252228063,0.36274570034154735,0.02918953554766013,-0.13883061280241155,0.07978668356148783,0.3350729676503656
rc1,0.8227477547749587,0.5804029212139379,0.31188484981445314,1.3031452211109102,0.9793542112912984,0.9168534546969976,0.1562979246812297,0.16869826223845458,0.33914738492212615,0.514219094060902,0.7151857396251817,0.2514373563135404
rh7,-0.02703299336357621,0.9735524843294732,0.7397206808757227,0.48200614072663917,1.418745401379662,0.6200949286898774,0.09491062392041032,0.4662482256811252,0.0897117175210686,0.5839744661491529,0.8689037263763342,0.8345638729028363
rc8,-0.032450158335976434,-0.01743445237544577,0.19097170694703322,0.0807694389491812,0.003307946322570648,0.9471935902818176,-0.035778060434579304,-0.1368954417183303,-0.2521738046311241,0.05513997998203994,0.12761410313020838,-0.05392194731028045
uc3,0.6134687319152723,0.5160909770071628,0.024590977393757804,0.0930784618062917,0.4725191933682137,0.42881761878955915,0.6601261837039589,0.35220594052996457,0.6571562232143384,0.47568897215146877,0.12379122207183683,-0.07252227640621292
rh10,0.6136128726989667,0.46195031376458284,0.4962213631335598,0.4645582449392228,0.7596927331474959,1.0636011600088577,0.42119696682149177,0.4989655327378823,0.45096141670922263,0.7081223737696927,0.8301935477292567,0.31452520873778567
rc4,0.08309607475074918,0.5529848940187901,0.6032104320950226,0.4832237879910623,0.6558307143550658,0.2973922345938475,-0.07098521352911598,0.41396743481044956,-0.004894829672440451,0.16931912005245753,0.22377408527472614,0.2965509375220911
rh4,-0.1948079321721149,0.18943725624005667,-0.17607522162701267,0.5595642892301301,0.44325249384641546,0.5708163125503782,-0.04244679658134818,0.2215621756500335,-0.20387710033892265,-0.012287800159768377,-0.6120667393010697,-0.5467324489479811
uc2,-0.197886881709697,0.1647806854848486,0.40164114524281386,-0.042756492636683976,0.09774338020622947,0.8646990818357804,0.1324491651975033,-0.05435534905217283,0.5854794920158155,-0.15958570109053608,0.1731076847809926,-0.07231818022463637
rh5,-0.1731032791776014,-0.44003137444890833,0.042525880436252605,1.0443723246502914,0.3506987826104318,0.9613954896135342,-0.23420068965719942,-0.29932146952928773,-0.12123155266755767,-0.23056232265265741,-0.2597238293379173,0.07253807243574235
rh8,-0.37895751868547384,0.6051660329561601,-0.14531509418046423,0.7161072965453654,-0.033303622987496936,0.02235625966018938,-0.40267315733149844,0.3200305299755107,-0.44752751762154475,0.560528795025153,-0.31030283259471864,-0.2747741289801065
rc10,-0.025911363505403764,-0.3991621225312538,0.32607754869706246,1.1502956707727372,0.7297146211912725,0.8218588487232537,0.07797402080151924,0.28978262633578566,-0.3910272656645922,0.05891331751253107,-0.04262161599841283,-0.41218511610487313
uh3,-0.21008784141117487,-0.363550891771194,0.6392212707447228,0.8292176147186276,0.7635845066639501,0.9709494269888999,0.28128097437401356,0.07164044786802845,-0.2622962139074635,-0.1477088761359514,0.03766068714233891,-0.1470024972294043
rc7,0.5876454391076992,0.646133195278208,0.4669523852459725,0.34491624041573715,0.4430008943201695,0.3699453780650643,0.32565979768107295,0.8051092594450899,0.43900858494191713,0.4923131517768256,0.5963379687426293,0.8705215604337758
uh4,-0.21555941817962287,-0.15413265202959853,0.17037663025567024,0.6271908287644699,0.8734021458117001,0.6848022586982119,-0.04827238661541305,-0.1381798363086445,-0.08103192114325714,0.17391037077382232,0.24111731371548384,0.020066301211330576
