Participant,Trailer,Type,NAcc_ISC,AIns_ISC,MPFC_ISC,NAcc_LH_ISC,AIns_LH_ISC,MPFC_LH_ISC,NAcc_DH_ISC,AIns_DH_ISC,MPFC_DH_ISC,NAcc_LC_ISC,AIns_LC_ISC,MPFC_LC_ISC,NAcc_DC_ISC,AIns_DC_ISC,MPFC_DC_ISC,NAcc_MPFC,AIns_MPFC,NAcc_AIns,NAcc_MPFC_ISFC,AIns_MPFC_ISFC,NAcc_AIns_ISFC,AIns_NAcc_ISFC,MPFC_NAcc_ISFC,MPFC_AIns_ISFC
sub-33,rh11,Horror,0.2614104776406284,0.6268561848699695,-0.1297772794865031,0.42881459803572664,0.4180533136093651,-0.10548218317074204,0.13980430442838915,0.4501598040585745,-0.01923759617733056,0.18266486603718624,0.55959481373514,0.050768830893403054,0.4077617780679398,0.3104673066088864,-0.18181279300317638,0.8247411854779931,0.7991070069385565,0.6819855592695232,-0.2287196603596884,-0.007448722726525071,0.07007434524755073,0.1811627736786409,0.17681247753920018,0.5002139632020283
sub-33,rc12,Comedy,0.4090918233410226,0.24665842125745885,0.02775603649955728,0.25969800758707445,0.15599735624841665,0.08488383392509462,0.44368123575772284,0.1893382357254636,-0.01005363771421187,0.4588217572953942,0.24050091375287283,0.021846475525566615,0.215183337237102,0.09636217545196779,0.06656112894921068,0.7845576226912605,0.8636003856306314,0.7037608769605883,0.18805054153693035,0.01818400831884038,0.294461639079128,0.23154732804598338,0.0814441361278167,0.27498948714321453
sub-33,rc5,Comedy,0.4979862991684818,0.06446824150543846,-0.21365678216678208,0.46853397099087246,-0.19413961691923018,-0.23007116335401812,0.28028102428767226,0.01676236152796454,0.015275354624755566,0.32232591777131975,-0.11306816807005629,-0.035831904568265086,0.41051927185429976,0.013452998394878428,-0.16692369028241583,0.8572620722436067,0.6215709704826552,0.03366724047709106,-0.15102528162882828,0.31767706321823236,0.4320992494386232,0.312905786456453,0.42377766647968096,0.2707383218622065
sub-33,rc3,Comedy,-0.23446987559914964,-0.13792282901802752,-0.2789895703205858,-0.35919841022230914,-0.3372021388833642,-0.2021634243274252,-0.07036189388941412,0.12353356102065248,-0.1313334043677853,-0.1753883708654043,0.09201475567134683,-0.2134874403929663,-0.285752971329649,-0.3261619128432505,-0.10587531135661055,0.06312063804938908,0.2205646332873624,0.07080186440056967,-0.38675724660896926,0.30731725776454416,-0.5602886627622191,0.19309996888160674,0.03292874036326392,-0.11724742375641546
sub-33,rh12,Horror,-0.011823007017549741,-0.14640378352230762,0.41454592591692324,0.13465235581570342,-0.0846606343275117,0.43817781489533353,-0.26671283366475057,-0.027255668672398658,0.25748294583335013,-0.3292269092784128,0.0073963418024652105,0.19697257067670507,0.201171011510809,-0.1171781757463338,0.5095817464508976,0.27506070852401654,0.5140445873458437,0.04933484453351121,0.17308965583347516,0.05943900431024213,-0.05441732371744076,0.13731632760173906,0.2581590179297026,0.26524040448772884
sub-33,rc1,Comedy,-0.12466595262746621,-0.07232353080097124,-0.08057353189243757,0.21127835851128035,0.1287620142034909,0.255586269746877,-0.3882023674924329,-0.29474157916779453,-0.2638156450854836,-0.3739442273345014,-0.2689876198325294,-0.2640260736433664,0.18489053464111546,0.12485777193789646,0.3131686669906663,0.6460831955639231,0.7848388555342324,0.4387793140785872,-0.10852997166648015,0.0799558680691276,-0.3953032839032236,-0.4880834922001164,-0.415007200615479,-0.13355748391460703
sub-33,rh7,Horror,-0.09767125525736456,-0.01704317764151782,0.04676175425357138,0.4139226924144594,-0.25380040143248483,-0.16623272358068514,-0.3185680867438818,0.23555720970059643,0.37312798440568873,-0.31449610831705177,0.19815915484720137,0.4022775223088178,0.3952902510455313,-0.3088770730148695,-0.29104697370342436,0.0782514952491715,0.5720172387415244,-0.3561800144457093,0.3223678247449698,0.2144049250777874,0.2190875236042081,0.32813107548738507,0.20343250565321094,-0.04285926474209595
sub-33,rc8,Comedy,0.005351956141248575,-0.1569333360679226,-0.2228012716347143,0.039713750905425296,-0.12624289751618362,-0.050625206816065846,-0.10833493647411781,-0.11302079247135362,-0.240933970230565,-0.11069318876597908,-0.12611830508049643,-0.366190194715207,0.04828921966106356,-0.10576076625413813,0.022782272749912305,0.006729211702937319,0.9032549941575337,-0.2506796843708095,-0.05626599807131009,-0.2390279658262259,-0.047574731821235484,-0.17526388930191367,-0.013420688446947994,-0.07026195122984678
sub-33,uc3,Comedy,0.3986766753999509,0.005707782758671414,0.12341586206741888,-0.16814235129534136,0.08968123831400765,-0.37206946101159877,0.611735908535116,-0.13206245420800192,0.47214045459126847,0.5423370922535883,-0.24377417187492062,0.3431754474008946,-0.07079615830796104,0.24781625125984377,-0.21990506233206208,0.4758424046412869,0.8134117741108923,0.19797454345732232,0.32334172763958846,0.10215850118043843,0.2871798739279257,0.2697009774615529,0.5335249925926577,0.18288879331595018
sub-33,rh10,Horror,-0.22560019357913638,-0.29335333987813644,-0.22118198484877882,-0.17598122087299664,-0.08021697388804346,-0.32117175735956943,-0.14590781924750992,-0.37873678382676856,-0.13635730731400697,-0.08141737307604213,-0.30560224660899526,-0.1015753599721093,-0.25779807891548817,-0.14522342675102326,-0.34734803349585786,0.37113675261428825,0.8380227155519712,0.014632639575598653,-0.22860181210886807,-0.36227966357696256,-0.3460022505491218,0.06653631688852009,0.3854653477716502,-0.13345018858795513
sub-33,rc4,Comedy,0.8540317564098614,0.06442586111624894,0.10765795323703772,0.5602314168023643,0.16469224485704095,0.09462117609768828,0.7600141940049616,-0.05341092068584237,0.16139989896377657,0.7906547794828789,-0.0017707182692693162,0.14534823928937302,0.5592367917053243,0.11885588416196023,0.09249665265119383,0.4016737417882158,0.6841789571468563,0.6067346302535305,0.4469669197261493,0.33062239726010556,0.470864083814525,0.5290953929003994,0.44154145349967133,-0.07294602724047707
sub-33,rh4,Horror,0.8954577194701611,0.16761425095489924,0.16874157099130999,0.7795742956210512,0.26001353503757035,0.146132228299041,0.5114834677401287,0.0045210094149882255,0.11942214287986994,0.5507255932278512,-0.061824540301649494,0.11398375519996781,0.6206394926253903,0.3857803625851414,0.14886399958832722,0.44343976902617743,0.3602531390450148,-0.057349384282786096,-0.21563304365702296,0.023725480322411518,-0.38615298215507615,0.03892326006901552,0.18151131957356487,-0.24215046412388935
