,Trailer,Type,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_ISC,AIns_ISC,MPFC_ISC,index,number,title,Domestic Gross,Worldwide Gross,Domestic Openning,Theaters Num,Avg Domestic Opening,Openning_US_C_IMDb,Gross_US_C_IMDb,Gross_W_IMDb,Gross_US_W1_num,Theaters_US_W1_num,Gross_US_W2_num,Theaters_US_W2_num,Gross_US_W3_num,Theaters_US_W3_num,Gross_US_W4_num,Theaters_US_W4_num,Gross_Total_US,Total_Theaters_US,Total_weeks,Weeks_avg_per_theater,Gross_World_num,Released_Month,Budget,IMDb_rating,IMDb_vote,Gross_US_M1,Theaters_US_M1
0,rh1,horror,1.3704319434155325,0.3411787783520523,-0.04378161895756237,0.3411787783520523,2.642857142857143,0.34375,-0.038289318844035476,0.06669299531152183,0.10234747044848959,-0.006369945976555159,-0.06120624603905054,-0.09980110981718011,-0.04611588676898372,-0.02718199072561967,0.001416830751193749,-0.31262005646372765,0.08137412054646972,0.21074646872131536,0.14678646295514422,-0.0763600509102487,-0.1991767048414244,-0.046125951975169,0.036638206682406575,0.12059852749577352,-0.030258383863191445,-0.007231747151049459,0.0013210637941677343,-0.07065318182791748,0.013884092106209198,0.044056097125221495,0.09366795653399558,0.08845593285196061,0.11441687821941697,30,31,The Exorcist: Believer,54300915.0,107689915,11826255.0,3663.0,3229,26497600.0,65537395.0,136265132.0,33926950.0,3663.0,48601950.0,3684.0,56265830.0,3323.0,61004670.0,2717.0,65537395.0,17512.0,8.0,5.0,136966457.0,10.0,30000000.0,5.0,12000.0,61004670.0,13387.0
1,rh10,horror,1.3149448025431216,0.3111993418684081,-0.09926875982997312,0.3111993418684081,1.7666666666666666,-0.46875,-0.03190769928886935,0.03368520011566083,-0.05885255380862633,0.0001193841060269804,-0.014592750088936537,0.12411836183460542,-0.024520016259623214,-0.09401024250108883,-0.022279848221312404,0.013513152563329502,0.22285987752366157,-0.1338028468497554,0.004857616195426352,-0.025759389842379323,0.31965437880792713,0.24267272883336688,0.06522913356211862,0.1309604635660012,-0.018769443814155195,-0.024972597491454845,0.01432865326822222,0.08701449919737425,0.0874432070811336,0.10560399850805764,-0.0707837288978624,0.24873068733306433,0.16652688460290221,49,50,The Pope’s Exorcist,20009380.0,72913467,3465715.0,3178.0,1091,9006368.0,20009380.0,76987621.0,11623718.0,3178.0,16251707.0,3178.0,18575816.0,1950.0,19164828.0,606.0,20009380.0,9715.0,11.0,3.0,72913467.0,4.0,18000000.0,6.0,20000.0,19164828.0,8912.0
2,rh11,horror,1.4226862069089883,0.618607109881561,0.008472644535893366,0.618607109881561,2.033333333333333,-0.25625,0.014116285215199495,-0.048913849930132154,0.04406929157051696,0.01863519646056811,0.018459231991885636,0.0021240461775964836,0.02694985585256817,0.08972896499629529,-0.005105089805487311,0.10856416294773615,-0.1550711603231542,0.14903773686079166,0.19226090864221979,0.21196448881189983,0.13579073984166432,-0.18182687914794793,0.04669638848572286,-0.24297446092770972,0.019900445842778555,0.01975811568601626,0.013696082647542044,0.039666064147336005,0.034529905658156154,0.013951338591582077,-0.012925943853354745,0.05826897079410932,0.25124758744109615,50,51,Men,7587853.0,10287063,1419333.0,2212.0,642,3293030.0,7587853.0,11152071.0,4743092.0,2212.0,6767294.0,2196.0,7424100.0,991.0,7552329.0,216.0,7587853.0,5683.0,5.0,3.0,10287063.0,5.0,7600000.0,6.0,18000.0,7552329.0,5615.0
3,rh12,horror,1.406061064558783,0.4689976003880428,-0.008152497814311889,0.4689976003880428,2.1333333333333333,-0.10208333333333333,0.053760440344942755,-0.008020534863492336,0.057401647055268144,-0.012406993119694643,0.059708238034870784,-0.10397870805251341,0.035972153074199,0.15626228941064715,0.07980526372296595,0.12000801787372803,-0.052733192690707684,0.093740846597561,-0.09021996577709837,0.12891145938317436,-0.38119198757046985,-0.28286777487651693,0.14106066053697558,-0.07980810148841953,0.025775200099815702,0.06931666419400852,0.01107606757524022,-0.08435990759329574,0.07241297574314741,-0.12241974748710943,0.054713807584833234,0.08082339385323685,0.17620674374020953,54,55,Scream,81641405.0,138874789,13383642.0,3664.0,3653,30018805.0,81641405.0,137743924.0,38947929.0,3664.0,54788780.0,3666.0,64209744.0,3518.0,70341632.0,3227.0,81641405.0,22305.0,11.0,6.0,138874789.0,1.0,24000000.0,7.0,51000.0,70341632.0,14075.0
4,rh2,horror,1.3604628269862264,0.18254446373883385,-0.05375073538686844,0.18254446373883385,2.3333333333333335,0.04375,0.056643373664322226,0.019457024749772917,0.2338787907711962,-0.021683361071807124,-0.02303111170181409,-0.039394941854578376,-0.03537387918624816,-0.11489396142078508,0.037692841658692626,-0.005526992784858502,-0.15516667701060502,0.5098397385634276,-0.08868735490560299,-0.1170794400336684,-0.17824921358339477,0.07425893086887152,-0.14137264815342745,0.31458776042947,-0.0001379555312443498,-0.03948934945760873,0.07739223019177013,-0.006651805607196657,-0.13787292173256693,0.21539276180316763,0.10529679050895951,0.22464187533435412,0.18542434201447094,31,32,Saw X,47254428.0,74852798,7965110.0,3262.0,2442,18309301.0,53607898.0,111822387.0,24404793.0,3262.0,35729120.0,3262.0,43649877.0,3058.0,48611927.0,2756.0,53607898.0,16729.0,7.0,5.0,109238490.0,9.0,13000000.0,7.0,16000.0,48611927.0,12338.0
5,rh3,horror,1.2976050621074737,0.3021809954870635,-0.11660850026562118,0.3021809954870635,2.1724137931034484,-0.12284482758620689,0.014514457322137145,0.06346696012496414,0.11759525439884143,-0.019567998769593423,-0.10176745503988648,-0.04704387465540467,-0.020940696849633303,-0.060552863618081425,-0.004720410813437512,-0.14208753777078348,0.10078022479202618,0.17693802369498118,0.12478162137006589,-0.1605628400945921,-0.0026481215871734646,0.14487292910333982,-0.007538919567332295,0.25334449348372645,-0.008664746099029846,-0.032951119511001256,0.02194365630999975,0.04252233756754076,-0.022440511623299405,0.14254479853051139,0.01160543806413945,0.18912888482287846,0.018072915663667432,33,34,Resident Evil: Welcome to Raccoon City,17000612.0,41909091,2505531.0,2803.0,894,5319280.0,17000612.0,41914915.0,3531339.0,2803.0,10518747.0,2803.0,14201944.0,2803.0,16452990.0,2572.0,17000612.0,11149.0,6.0,3.0,41909091.0,11.0,25000000.0,5.0,15000.0,16452990.0,10981.0
6,rh4,horror,1.1429518254115687,0.3230481694112308,-0.27126173696152617,0.3230481694112308,1.8333333333333333,-0.40208333333333335,-0.047727695018760424,-0.014641277116456377,-0.07812400783520607,0.006700082421483374,-0.060099245495804435,-0.06932137743566452,0.019146274215155693,0.10664149523549286,-0.09347301902512892,-0.0700773689147242,0.10863475343383365,-0.1567119090166452,0.005443239614525186,-0.19157932908633113,-0.138804124284391,0.002527263380374797,0.327591079546984,-0.3447116025015865,-0.007293779460707113,0.010633657541077346,-0.08030613476533315,-0.020702288639941398,0.0815488346314955,-0.21340921193420753,-0.01230997566071108,0.227149889860711,0.16992753847977765,34,35,Insidious: The Red Door ,85301636.0,263401636,15203849.0,3188.0,4769,33013036.0,82156962.0,189086877.0,45085554.0,3188.0,64501673.0,3188.0,74906584.0,2554.0,79530087.0,1914.0,82156962.0,12465.0,10.0,4.0,186258928.0,7.0,16000000.0,6.0,13000.0,79530087.0,10844.0
7,rh5,horror,1.2191043960210282,0.15312627033655943,-0.1951091663520666,0.15312627033655943,1.8333333333333333,-0.40208333333333335,-0.0021609771630892727,0.027428217155840286,0.03853507617849132,0.010176483489328031,0.0320079716257756,-0.09760297609887021,-0.06793550482591,-0.010835453182954402,-0.16678358044318387,-0.013421104741874653,0.12281302244143458,0.09768024319103301,0.257382289702683,0.3377189309079038,-0.10229880828089895,-0.04725213707154944,0.19219729419420556,-0.3156709028943384,-0.019973332833223743,0.01620024519955381,-0.07528382678785425,0.06556968262975298,0.21757641584784798,-0.10676315599473477,0.01868633552729125,-0.0580519152407812,0.025049582331645382,36,37,Talk to Me ,82156962.0,186258928,4197960.0,2340.0,1794,10431720.0,48299436.0,92039206.0,15862780.0,2340.0,26204909.0,2370.0,34208710.0,2379.0,38977888.0,2379.0,48299436.0,14166.0,13.0,6.0,92181818.0,7.0,4500000.0,7.0,34000.0,38977888.0,9468.0
8,rh6,horror,1.2667410067340774,0.09686472010206905,-0.14747255563901754,0.09686472010206904,1.9642857142857142,-0.32589285714285715,0.028235206720299937,-0.0022139587085904973,0.010630406250071603,-0.034398036976262876,-0.02920317692559601,-0.07367569415423113,-0.06901259271642261,-0.054627086597268115,-0.003602126550894151,-0.038112287497181464,-0.10410969099410869,-0.06404975438669994,0.08708874543590116,0.08773195280824732,-0.13028526938886617,0.07624426642501417,0.12368213165096613,0.2544527011058289,-0.02505847432412851,-0.02868140741048488,-0.022215804818351215,0.04174024145457794,0.03576813115503492,0.02003922577675425,0.07145224860571293,-0.12761721076268426,0.07442640082753815,38,39,M3gan,95043350.0,181013217,11726555.0,3509.0,3342,30429860.0,95159005.0,180089109.0,38533510.0,3509.0,63487510.0,3605.0,75903725.0,3628.0,83797375.0,3416.0,95159005.0,22218.0,10.0,6.0,181134416.0,1.0,12000000.0,7.0,47000.0,83797375.0,14158.0
9,rh7,horror,1.256051129288083,0.457177980148384,-0.15816243308501216,0.457177980148384,1.8148148148148149,-0.4074074074074074,0.01588295022982565,-0.0007570106196678719,0.03788685340368491,-0.04148321097998338,0.021489004957250143,-0.10098273823367171,0.006822250334905982,-0.015604938557037717,0.017082201337544255,0.010449809828609278,0.012865970733884834,0.13154683074085946,0.1389019146805988,0.39805517289899345,-0.017403448529459742,0.0852565455352117,-0.053469825023703024,0.09147555459406477,-0.006259336805083922,0.001709018593514859,-0.015337894497480855,0.07820275668147326,0.11915043953639176,0.06853964560182149,0.11047025275492,0.12885057260565339,0.1371366181143502,39,40,Evil Dead Rise,67233054.0,146017671,10348229.0,3402.0,3042,24504315.0,67233054.0,147033054.0,32216195.0,3402.0,48363822.0,3417.0,56460357.0,3036.0,61730752.0,2821.0,67356372.0,16204.0,8.0,5.0,146140989.0,4.0,12000000.0,7.0,39000.0,61730752.0,12676.0
10,rh8,horror,1.3163940226212403,0.5761292829134251,-0.09781953975185481,0.5761292829134251,1.6896551724137931,-0.5560344827586207,-0.008792210190032375,-0.02717104404164554,0.011134140252473803,-0.0009272651638506609,-0.09809906589929952,0.06441539969990809,0.0030598412335247167,-0.0688005683409592,-0.006558226151006279,-0.2295124992564258,-0.2777620658699672,-0.08712277140878098,0.2013980605025572,-0.13891113980314784,0.2831449595594833,0.4255564143180636,0.13018792422231382,0.3321528331305031,-0.0022198780401194375,-0.06469022609396807,0.022997104600458534,0.13248065852139834,-0.09549509381693375,0.17605834042706847,0.08824450977785521,0.13732984861761283,0.1708443522236557,44,45,Prey for the Devil,19802293.0,44013745,2831066.0,2980.0,950,7185126.0,19802293.0,44658929.0,9768710.0,2980.0,14951244.0,2980.0,17433378.0,2164.0,18715426.0,550.0,19802293.0,10014.0,8.0,4.0,44013745.0,10.0,,6.0,4500.0,18715426.0,8674.0
11,rh9,horror,1.3236387615284333,0.010918453683362675,-0.09057480084466148,0.010918453683362679,2.566666666666667,0.27708333333333335,0.025497796624332845,0.09504356936312118,0.04021467397143264,-0.04858898442932116,-0.0680122906694233,-0.017227096595123184,0.007054580092017643,-0.14426349594971186,-0.04842020282675722,-0.20274954820576632,-0.010823491523147663,-0.1941129741610111,-0.023956114767385288,-0.10096164140779787,0.1021793614622139,0.23306884358349259,-0.3327389439623917,0.05500577173348136,-0.00534553590432356,-0.03907740575200466,-0.008477541816815926,0.0021210602034469877,-0.14817469229777908,-0.012309280321771967,-0.00829673767990909,0.03413734861289777,0.09807997744036981,45,46,The Invitation,25100080.0,33689288,2681924.0,3114.0,861,6805468.0,25100080.0,38036130.0,9044963.0,3114.0,16225563.0,3114.0,19768901.0,3117.0,22083944.0,2425.0,25100080.0,16043.0,8.0,5.0,33689288.0,8.0,10000000.0,6.0,12000.0,22083944.0,11770.0
12,uh1,horror,1.3940412465383816,0.34817778998523385,-0.020172315834713288,0.34817778998523385,1.9655172413793103,-0.3426724137931034,0.0040476906917064235,-0.027039083748917163,0.017723618359304947,-0.028167229802753765,-0.06644923648793076,-0.002345317352336124,0.04547573833546607,0.0284767429245373,-0.04550825582015843,0.0016932190071839493,-0.10131839094317288,0.13493558722523466,-0.26119726804514065,-0.36596364782236035,-0.041981334879400235,0.3000834957266085,0.2072905906339037,-0.07269190607796967,0.007118733074806239,-0.021670525770770215,-0.010043318271063206,0.013526482229550567,-0.08666381604387649,0.006754115422621557,-0.018636146724060755,-0.07828419619232092,0.10227173678925208,60,61,Thanksgiving,,,,,,10306272.0,31908884.0,46507976.0,16929532.0,3204.0,25747633.0,3204.0,29271669.0,2506.0,30922009.0,2025.0,31945385.0,12746.0,11.0,4.0,46045385.0,11.0,15000000.0,7.0,17000.0,30922009.0,10939.0
13,uh2,horror,1.3622164770212402,0.1621154492372053,-0.05199708535185495,0.16211544923720528,2.5357142857142856,0.22991071428571427,-0.030033315838674,0.032946262472312915,0.100223264319334,-0.03591614597309991,-0.06380836975809581,-0.005885484008235076,-0.006694306665917968,-0.0953537979172353,0.003129488136963219,-0.1359937873226254,0.11805366955333006,0.20207701827596422,0.0323818472754482,-0.03718227511060874,0.15540902111435587,0.23145558484580506,-0.0690692479885181,0.16155113381031166,-0.024214589492563943,-0.04207196840100606,0.032489089482687375,0.04261454826620927,0.003934048818067728,0.17301239106687724,0.10013694905721905,0.1344522633608123,0.23040341933462857,61,62,Five Nights at Freddy's,,,,,,80001720.0,137275620.0,291493620.0,94204360.0,3675.0,118205300.0,3789.0,129111720.0,3694.0,134455125.0,1882.0,137275620.0,15894.0,8.0,4.0,295804363.0,10.0,20000000.0,6.0,34000.0,134455125.0,13040.0
