,Trailer,Type,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_whole,AIns_whole,MPFC_whole,NAcc_ind_peaks_pos,AIns_ind_peaks_pos,MPFC_ind_peaks_pos,NAcc_ind_peaks_neg,AIns_ind_peaks_neg,MPFC_ind_peaks_neg,NAcc_trailer_peak_pos,AIns_trailer_peak_pos,MPFC_trailer_peak_pos,NAcc_trailer_peak_pos_yes,AIns_trailer_peak_pos_yes,MPFC_trailer_peak_pos_yes,NAcc_pos_peak,AIns_pos_peak,MPFC_pos_peak,NAcc_w,AIns_w,MPFC_w,NAcc_f,AIns_f,MPFC_f,NAcc_a,AIns_a,MPFC_a,NAcc_dem_peak_pos,AIns_dem_peak_pos,MPFC_dem_peak_pos,NAcc_dem_peak_neg,AIns_dem_peak_neg,MPFC_dem_peak_neg,NAcc_dem_peak_pos_yes,AIns_dem_peak_pos_yes,MPFC_dem_peak_pos_yes,NAcc_dem_peak_pos_no,AIns_dem_peak_pos_no,MPFC_dem_peak_pos_no,NAcc_avg_peak_pos,AIns_avg_peak_pos,MPFC_avg_peak_pos,NAcc_avg_peak_yes_pos,AIns_avg_peak_yes_pos,MPFC_avg_peak_yes_pos,NAcc_avg_peak_pos2,AIns_avg_peak_pos2,MPFC_avg_peak_pos2,NAcc_avg_peak_yes_pos2,AIns_avg_peak_yes_pos2,MPFC_avg_peak_yes_pos2,NAcc_ISC,AIns_ISC,MPFC_ISC,index,number,title,Domestic Gross,Worldwide Gross,Domestic Openning,Theaters Num,Avg Domestic Opening,Openning_US_C_IMDb,Gross_US_C_IMDb,Gross_W_IMDb,Gross_US_W1_num,Theaters_US_W1_num,Gross_US_W2_num,Theaters_US_W2_num,Gross_US_W3_num,Theaters_US_W3_num,Gross_US_W4_num,Theaters_US_W4_num,Gross_Total_US,Total_Theaters_US,Total_weeks,Weeks_avg_per_theater,Gross_World_num,Released_Month,Budget,IMDb_rating,IMDb_vote,Gross_US_M1,Theaters_US_M1
5,rc3,comedy,1.460701619429067,-0.3244929951094623,0.046488057055972185,-0.3244929951094623,2.5384615384615383,0.28365384615384615,0.04701891689118216,0.0809544667391197,0.06139484728237891,-0.022126211204086692,-0.08200949872195916,-0.02217969258689497,-0.03577988905588137,-0.04603580394797594,-0.11862873906326403,-0.00362906112292863,-0.015696945310271788,-0.026471194789260043,0.3679067414540078,0.3703946732244646,0.5762086731777392,-0.36523476934389065,-0.44303068529111117,-0.651595949890808,0.07673645925221909,0.13455658314379845,0.15729684170402752,0.13507072151769153,0.1268784149201349,0.10443057911462339,0.3679067414540078,0.3703946732244646,0.5762086731777392,-0.014121198743257311,0.09112549252325199,0.03234026500996367,-0.06610175740811403,0.06416150676062572,-0.07550654123298048,-0.03762482563661072,-0.026837163063775756,-0.08719078795516443,-0.018765788751445255,0.13455658314379845,0.06728741500782763,-0.042788214392304395,-0.05489887587018102,-0.21839854881655144,0.024952044965673572,0.05549240110838939,0.06728741500782763,-0.012827008423063651,0.13455658314379845,0.07187939594589057,0.081521430041631,0.11529182597820001,0.2427142874621645,0.081521430041631,0.11529182597820001,0.06728741500782763,0.07673645925221907,0.06744796811408972,0.15729684170402752,0.07673645925221907,0.06744796811408972,-0.012594259624785487,0.0699652393150842,0.11923618787624626,0.2310513918026743,2,3,A Man Called Otto,64267657.0,108641148,1555761.0,637.0,2442,56257.0,64267657.0,113190218.0,85480.0,4.0,6223126.0,637.0,26346249.0,3802.0,39302864.0,3802.0,64267657.0,24008.0,15.0,6.0,108641148.0,1.0,50000000.0,8.0,43000.0,39302864.0,8245.0
6,rc4,comedy,1.8552149780715874,-0.37069514523142105,0.44100141569849266,-0.37069514523142105,3.217391304347826,0.9836956521739131,0.012898716803560292,0.018367851064641717,0.06484320926213111,-0.0393917405091171,-0.05669264920456131,-0.02360604106527431,-0.0148998815219655,-0.05872440088177573,-0.13185117681879588,-0.01379763507584076,-0.03234973300723175,-0.030204669540646375,0.36961957472247425,0.3302657298908397,0.5085258599116486,-0.35702611104547444,-0.4491527506787643,-0.6410582548638327,0.0745932041708539,0.06709059018413178,0.15513719452597946,0.01314310192460233,0.060253363377265,0.15713110310140999,0.36961957472247425,0.3302657298908397,0.5085258599116486,-0.011278741567053248,0.0867434639642751,-0.07201814708604308,0.001374302929249604,-0.04042598851792447,0.002596464146011515,-0.020860333979391316,-0.021815724190815566,-0.15447193126387032,0.048544685624655866,-0.013800658013951295,0.0547532151938638,-0.07059967021168466,-0.09752602215850938,-0.19534780403121046,0.048544685624655866,-0.013800658013951295,0.0547532151938638,0.048544685624655866,0.06709059018413178,0.15513719452597946,0.0745932041708539,0.06709059018413178,0.15513719452597946,0.0745932041708539,0.06709059018413178,0.15513719452597946,0.0745932041708539,0.06709059018413178,0.15513719452597946,0.0745932041708539,0.06709059018413178,0.15513719452597946,0.07140316834983843,0.002364301688651883,0.1302478109710974,3,4,Puss in Boots: The Last Wish,185535345.0,484643149,3200250.0,4099.0,781,12429515.0,186090535.0,481696020.0,6102855.0,4093.0,44407330.0,4099.0,74585835.0,4121.0,92969975.0,3919.0,186090535.0,47972.0,18.0,11.0,485252376.0,12.0,90000000.0,8.0,46000.0,92969975.0,16232.0
7,rc5,comedy,1.5947575467368318,-0.1921078421552802,0.18054398436373684,-0.19210784215528018,2.566666666666667,0.27708333333333335,0.042753697323590044,0.06917452131278731,0.1611031757603864,-0.08296013413231933,-0.027735876042432828,-0.132194535260779,-0.004459965217550427,-0.07845555329972974,-0.10287106915515,-0.014888800675426563,-0.012338969343125068,-0.024654142885180877,0.3194823261227607,0.3976601733124821,0.5852860819543864,-0.37265403390067603,-0.4226604750647277,-0.5920090385857658,0.09138963677080326,0.1497923895906964,0.20692386720883615,0.12175904748689144,0.14433157492673382,0.23176855752439296,0.3194823261227607,0.3976601733124821,0.5852860819543864,-0.07257732118010136,-0.05832603954914194,-0.18525172038196377,-0.060791463433469986,0.09308849475221029,-0.061736375491231,-0.012903911925277782,0.06533895632119416,-0.11913064667460109,0.048470727074952195,0.1654307069350351,0.28722997919750237,-0.08566468729562032,-0.04957922340181021,-0.1941531680649658,0.048470727074952195,0.1654307069350351,0.12661775522016994,0.05669556584709534,0.13415407224635775,0.28722997919750237,0.1260837076945112,0.1654307069350351,0.28722997919750237,0.048470727074952195,0.1654307069350351,0.28722997919750237,0.09138963677080326,0.1497923895906964,0.20692386720883615,0.08727721738473168,0.1497923895906964,0.20692386720883615,0.09179436552361944,0.10214571174076802,0.2603548143030784,4,5,Strays,23988885.0,35316418,3427540.0,3223.0,1063,8247810.0,23988885.0,36026155.0,11476230.0,3223.0,18211225.0,3232.0,22045000.0,2486.0,23236435.0,1500.0,23988885.0,11576.0,6.0,4.0,35958110.0,8.0,46000000.0,6.0,12000.0,23236435.0,10441.0
8,rc6,comedy,1.3581145028078527,-0.24085529802805578,-0.056099059565242124,-0.24085529802805578,2.1785714285714284,-0.125,-0.0376249106598633,0.03167253523428779,0.023185058470953212,0.008261625248027215,-0.07805287532311647,-0.003135890843630492,-0.01521243693915372,-0.011303904807747126,-0.0798340423364391,-0.014858574116996608,-0.01922808163219193,-0.019928291569705464,0.3457790720964202,0.33398329184199466,0.5305322996675198,-0.3746839674416514,-0.4013619817990094,-0.6605281970759016,0.0330300165525562,0.05094908921086589,0.06025532034833829,0.09741784753343082,0.0688578265187764,0.1537517030978641,0.3457790720964202,0.33398329184199466,0.5305322996675198,-0.03160922129039586,-0.00875663277253517,-0.016612020099359723,0.006862764918966354,0.06222099446061154,0.0445612615878152,0.046550604043065255,0.035759311217276595,-0.06580983482211498,0.05178292403588996,0.05094908921086589,0.055550803505918296,-0.034368238114984885,-0.13198841145776713,-0.17820352728723424,0.016682165651352946,0.03794879424017854,0.055550803505918296,0.05178292403588996,0.05094908921086589,0.023383470067819684,0.02772322369839835,0.05094908921086589,0.055550803505918296,-0.034368238114984885,0.006736801261041458,0.055550803505918296,0.004808165625004278,0.05094908921086589,0.08128401470827239,0.008707342960452549,0.015169144646641765,0.08128401470827239,-0.020589649319727982,0.25895150997066807,0.17990243727064753,6,7,Champions,16271910.0,18852343,1820955.0,3030.0,601,5148740.0,16397335.0,19159065.0,7559905.0,3030.0,12022935.0,3039.0,14251805.0,1917.0,15199130.0,1121.0,16397335.0,9913.0,8.0,3.0,19115227.0,3.0,,7.0,11000.0,15199130.0,9107.0
9,rc7,comedy,1.4364491506944586,-0.47498714022143707,0.0222355883213635,-0.47498714022143707,2.0384615384615383,-0.19230769230769232,0.02054169242408545,0.0612896926393876,0.07696664784579357,-0.05224362140256138,-0.11603072795396371,-0.11127598442876754,-0.010624516668826411,-0.0890411302030024,-0.008458863111264859,-0.014108815215767454,-0.0479273885058595,-0.014256066564746274,0.30381779784139284,0.3397714651189825,0.6447993695929883,-0.36363711569620055,-0.4491423246522259,-0.6439582586602649,0.08786648465869701,0.17751105131679099,0.22055785808830403,0.06427504363562835,0.21705404697861597,0.171084728218326,0.30381779784139284,0.3397714651189825,0.6447993695929883,0.0072049543212622654,0.05698019705556289,0.08050685012770492,0.012411976711014409,-0.0112379800070963,-0.026132684348609006,-0.061980470023779044,0.005937910433383352,-0.1630448364284454,-0.029863473175509987,0.17751105131679099,0.2489911008207595,-0.03569840683600799,-0.12422286906026656,-0.020299744693848987,-0.029863473175509987,0.17751105131679099,0.2489911008207595,-0.029863473175509987,0.17751105131679099,-0.08527699510090568,0.08786648465869701,0.17751105131679099,0.2489911008207595,-0.029863473175509987,0.17751105131679099,0.014234962475882672,0.08786648465869701,0.17751105131679099,0.22055785808830403,-0.029409702572893544,0.17751105131679099,0.02040016045777424,0.13143214584703514,0.21648556694550544,0.12704000767927873,7,8,Book Club: The Next Chapter,17556340.0,29068729,2142255.0,3508.0,611,6677580.0,17581565.0,29014267.0,10125220.0,3508.0,15211970.0,3513.0,16876890.0,1339.0,17274770.0,382.0,17581565.0,9079.0,6.0,3.0,29121628.0,5.0,20000000.0,6.0,2900.0,17274770.0,8742.0
10,rc8,comedy,1.32858138147336,-0.26700262796064755,-0.08563218089973504,-0.26700262796064755,2.111111111111111,-0.11574074074074074,-0.020780515145935284,-0.040976816849597135,0.021386021773518643,0.024023942277789107,0.0020649148856843303,0.014330341396777864,9.525473552157509e-05,-0.008941565187280882,-0.011159641682075292,0.0011128939557918036,-0.015951155717064572,0.008185573829407074,0.3424879600567227,0.3487576317323694,0.5568636639035641,-0.327844661311082,-0.41014638665663306,-0.5045120090252603,0.05770404739347815,0.07858262847989501,0.10550526401084834,0.11015058249676334,0.0977098440428339,0.10708681508163925,0.3424879600567227,0.3487576317323694,0.5568636639035641,0.02207577815202831,0.008613013343404063,-0.08664463513394158,-0.041123106667854986,0.01870502509099358,-0.1638876790834031,0.019927496892321744,-0.0675423740315793,0.06504523825925433,0.007353008834370733,0.021350237491279553,0.17109620251970073,-0.07131562717433322,-0.0807972873664921,-0.18429544990195865,0.03955969410230411,0.054609250521074,0.03991432550199595,0.09285105114832684,0.021350237491279553,0.17109620251970073,0.09285105114832684,0.10255600643871603,0.17109620251970073,0.007353008834370733,-0.0779069097307908,-0.005869008078375456,0.05770404739347814,0.07858262847989501,0.10550526401084834,0.007353008834370733,-0.05166038705043229,-0.005869008078375456,0.07279511245532157,0.0717512923369597,0.11299184990908108,10,11,No Hard Feelings,50452282.0,83453541,6352471.0,3208.0,1980,15002770.0,50452282.0,87256407.0,21802364.0,3208.0,35162492.0,3208.0,43290171.0,2686.0,48135693.0,2053.0,50452282.0,12597.0,7.0,4.0,83453541.0,6.0,45000000.0,7.0,47000.0,48135693.0,11155.0
11,rc9,comedy,1.5794527605772706,-0.2490377236750357,0.16523919820417549,-0.24903772367503568,2.3846153846153846,0.10336538461538461,-0.010506400504587109,0.05329546225591338,0.10505908683213484,0.0337241855665715,-0.0565546957227924,-0.03331565031784264,-0.011056997806566826,-0.0021281612201577427,0.039671989247465664,0.004053595751805854,-0.0017957982290122423,0.037138475253919286,0.31684568701150934,0.3775241183147119,0.6071578867744867,-0.3012299217709179,-0.4065686640958021,-0.5656233509613977,0.07074464201222103,0.07794388866918353,0.1530620307912373,0.054834951665138736,0.11681864788060498,0.2807489585101606,0.31684568701150934,0.3775241183147119,0.6071578867744867,0.0745057708867404,0.016760506313454007,-0.0281775949445899,0.06807920111877636,0.06802803993458705,-0.07162637923375675,-0.0053577202669679285,0.0630514954934367,-0.10544205218967682,0.03759246709620048,-0.01650309069082455,0.014468205719918806,-0.06389509138098494,-0.06265305099042709,-0.19472341132959234,0.03759246709620048,0.09603218526390744,0.0034077353302495823,0.10389681692824158,0.11315884986892431,0.014468205719918806,0.10389681692824158,0.11315884986892431,0.19340061778926365,0.03759246709620048,0.11315884986892431,0.19340061778926365,0.07074464201222103,0.07794388866918352,0.19428719971008013,0.017861882930090167,0.07794388866918352,0.19428719971008013,0.08419147480217025,0.07978734480856452,0.12544416322775812,11,12,House Party,9002247.0,9204731,1409486.0,1400.0,1007,3985882.0,9002247.0,9285747.0,5410508.0,1400.0,7640509.0,1400.0,8590596.0,1047.0,8842868.0,368.0,9011251.0,4383.0,6.0,3.0,9213735.0,1.0,,5.0,2300.0,8842868.0,4215.0
12,uc1,comedy,1.4937389227599343,-0.20878119491232774,0.0795253603868391,-0.20878119491232774,2.769230769230769,0.4735576923076923,-0.0076631931650688895,-0.004396506594806988,0.06313582757848724,-0.023281793794787262,-0.05933541292717765,-0.035815020769153515,0.016258217802858937,-0.07302074886827302,-0.09228829054170831,-0.004895589718999078,-0.04558422279675253,-0.021655827910791528,0.33570308637507956,0.33774341472549907,0.5746976962412423,-0.3392286232292021,-0.45753237885785203,-0.6192964537255418,0.06717957858093829,0.07209690086036435,0.09631047149410984,0.07631786102977203,0.08026889872759943,0.07677975405894186,0.33570308637507956,0.33774341472549907,0.5746976962412423,0.004277548474704671,0.02563607879268278,0.04223341311443249,0.0368939736045711,-0.0013847782108438445,-0.0488263748888531,-0.011483697162567422,0.030375124412255886,-0.11793018699608206,0.0036698643496011975,0.08496575392090376,0.09435003481807723,-0.08661576314697782,-0.08633010040077788,-0.16588567581185135,0.0036698643496011975,0.08496575392090376,0.09435003481807723,-0.02983097799457009,-0.060383604765282754,0.07997335702643436,0.08091332488364299,0.08496575392090376,0.09435003481807723,0.08091332488364299,0.08496575392090376,0.09435003481807723,0.06717957858093832,0.07209690086036437,0.08716169592225578,0.06717957858093832,0.07209690086036437,0.08716169592225578,0.07121543084540474,0.10529860723887671,0.14661010330961557,64,65,Next Goal Wins,,,,,,2500295.0,6713826.0,18062279.0,4021062.0,2240.0,6166715.0,2240.0,6542872.0,500.0,6671511.0,190.0,6713826.0,5275.0,5.0,2.0,17427756.0,11.0,14000000.0,7.0,5200.0,6671511.0,5170.0
13,uc2,comedy,1.4136688525341317,-0.34656325713834696,-0.0005447098389633029,-0.34656325713834696,2.5217391304347827,0.3179347826086957,-0.036397903862724415,-0.04559952326183946,0.07461083559541086,0.021411880640074647,-0.08455947395375718,-0.029584076426320473,0.002807001217454821,-0.07370595726647827,0.06793493911072358,-0.004059674001731643,-0.0679549848273583,0.03765389942660465,0.3260481106698729,0.3418348491566323,0.6747075422816489,-0.3660986233403476,-0.46376784175127544,-0.5548411734490891,0.03280831682735216,0.0403419847621041,0.10672896379189659,0.11071528636992503,0.10565836084268124,0.131558702949097,0.3260481106698729,0.3418348491566323,0.6747075422816489,0.032474135925903674,0.013669097825487019,-0.06126612945317032,0.03152313385228943,0.009763430092138575,-0.07920695280705603,0.08571645720393066,-0.019248673981321306,0.11628140879479323,0.01944254858163014,0.04905627653568969,0.09918700592161164,0.01944254858163014,-0.24292767345794847,-0.06773694523991435,0.06584584358107097,0.04905627653568969,0.09918700592161164,0.02616837636892308,0.0316276929885185,0.09918700592161164,0.06584584358107097,0.0028410418361535183,0.14210799641253372,0.08001763015667131,0.0316276929885185,0.09918700592161164,0.044795683601131404,0.04671451210751419,0.12064750116707268,0.032808316827352156,0.0316276929885185,0.059587079013973684,0.06435752060251722,0.09395643500722001,-0.1195492206785214,65,66,The Holdovers,,Focus features,,,,211093.0,20026220.0,39761220.0,278167.0,6.0,1074260.0,64.0,5657480.0,778.0,10133085.0,1601.0,20035480.0,9907.0,16.0,6.0,39828466.0,11.0,13000000.0,8.0,43000.0,10133085.0,2449.0
14,uc3,comedy,1.6746673968391725,-0.3090805274517461,0.26045383446607756,-0.3090805274517461,2.8461538461538463,0.5625,0.059498579216193566,0.0322596393970707,0.09965460899630094,0.019717211453919577,0.014355472791671795,0.018784782475074577,-0.03397961213777201,-0.1270971851658387,-0.004779845516333484,0.015078726177447025,-0.02682735765903206,0.03788651531834732,0.34450923596532596,0.3914057164439827,0.6976780557945924,-0.33084327279232245,-0.4913865186158613,-0.5768784495764823,0.05606240632986714,0.06114436216457746,0.21903904260186,0.10586644442343626,0.023756963184758242,0.20167828503813123,0.34450923596532596,0.3914057164439827,0.6976780557945924,-0.042940654851946654,0.04493662876751747,0.13345376114892787,-0.03307207836575005,-0.007122274436584434,-0.07761706057237593,0.018562826670779322,-0.006319488150691943,-0.07399056926432582,0.09352786227596298,0.0474834786306046,0.2134772928639902,-0.05174622497660464,-0.1970597718731425,0.034289812089821056,0.09352786227596298,0.07480524569855031,0.07785132923875603,0.04661198396675954,0.0474834786306046,0.2134772928639902,0.08814798733434702,0.06532302996265173,0.2134772928639902,0.08814798733434702,0.06532302996265173,0.2246007923397298,0.09083792480515498,-0.007442799028767951,0.2134772928639902,0.09083792480515498,-0.007442799028767951,0.21903904260185997,0.22061076197280238,0.32230708091847177,0.1917036634212514,66,67,Wonka,,,,,,39005800.0,211067348.0,607567348.0,57502717.0,4203.0,110652896.0,4213.0,150224302.0,4051.0,167813855.0,3817.0,211500039.0,31445.0,9.0,8.0,607753494.0,12.0,125000000.0,7.0,33000.0,167813855.0,16284.0
