Trailer,Type,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_ISC,AIns_ISC,MPFC_ISC,index,number,title,Domestic Gross,Worldwide Gross,Domestic Openning,Theaters Num,Avg Domestic Opening,Openning_US_C_IMDb,Gross_US_C_IMDb,Gross_W_IMDb,Gross_US_W1_num,Theaters_US_W1_num,Gross_US_W2_num,Theaters_US_W2_num,Gross_US_W3_num,Theaters_US_W3_num,Gross_US_W4_num,Theaters_US_W4_num,Gross_Total_US,Total_Theaters_US,Total_weeks,Weeks_avg_per_theater,Gross_World_num,Gross_US_M1,Theaters_US_M1
rh3,horror,1.2928879788654632,0.24370630079419336,-0.12132558350763167,0.24370630079419336,2.2142857142857144,-0.09821428571428571,0.015869738330418895,0.07405259727675939,0.10230853871176035,-0.023523588141190273,-0.10020566065552874,-0.04944907865756265,-0.02365171608237477,-0.07146747909463458,-0.020856498018500112,-0.1114372527809112,0.14395796264621413,0.1560544898053017,0.1185827001407702,-0.1387935848520479,-0.0032751281364374824,0.16320313727475894,-0.020694218716311854,0.2317708784242855,-0.010435188631048701,-0.032540180824467975,0.010667654011899197,0.05678286154487265,-0.005176613640715212,0.12818341336438324,0.0025784996993704562,0.21995745321274154,0.02890797112513176,33,34,Resident Evil: Welcome to Raccoon City,17000612.0,41909091,2505531.0,2803.0,894,5319280.0,17000612.0,41914915.0,3531339.0,2803.0,10518747.0,2803.0,14201944.0,2803.0,16452990.0,2572.0,17000612.0,11149.0,6.0,3.0,41909091.0,16452990.0,10981.0
rh4,horror,1.136174248852422,0.3342586727418126,-0.27803931352067285,0.3342586727418126,1.6785714285714286,-0.5625,-0.058468933044009574,-0.0470970179752519,-0.06869494638618052,0.01442633791029227,-0.06284483430310588,-0.028050475260172663,0.02718380642891879,0.11428224880805636,-0.08273448515373232,-0.04804189438247457,0.045794447946494454,-0.0848037979319064,0.0033002836573787853,-0.22294009876651494,-0.03868092442225702,-0.010926738887216477,0.32355354365461325,-0.3271778595211337,-0.005619596234932828,0.0014467988432328505,-0.05982663560002849,-0.01855611653743741,0.04880263094486426,-0.150220860625099,0.028465857158809116,0.20099138976439815,0.21057190017416091,34,35,Insidious: The Red Door ,85301636.0,263401636,15203849.0,3188.0,4769,33013036.0,82156962.0,189086877.0,45085554.0,3188.0,64501673.0,3188.0,74906584.0,2554.0,79530087.0,1914.0,82156962.0,12465.0,10.0,4.0,186258928.0,79530087.0,10844.0
rh5,horror,1.1791872323973356,0.15292017122975152,-0.23502632997575926,0.15292017122975152,1.75,-0.49107142857142855,-0.01119151483816847,0.05153472426441565,0.024301882177910718,0.010085046512702617,0.07008942188440452,-0.08808107299691462,-0.06776605909948598,0.002674400553900478,-0.16476254153932213,-0.04025843351552171,0.19008657673263804,0.062231070439144956,0.2188220533133948,0.4180555062714126,-0.13081237428774214,-0.06262323044155763,0.2405995254115218,-0.3200390787195816,-0.022957509141650605,0.041432848900906864,-0.07618057745277536,0.038646796452105156,0.2829138694718575,-0.12954012752272628,0.03101286231870315,-0.04915685584139244,0.09225929067725795,36,37,Talk to Me ,82156962.0,186258928,4197960.0,2340.0,1794,10431720.0,48299436.0,92039206.0,15862780.0,2340.0,26204909.0,2370.0,34208710.0,2379.0,38977888.0,2379.0,48299436.0,14166.0,13.0,6.0,92181818.0,38977888.0,9468.0
rh6,horror,1.2669910086192069,0.09810023666481046,-0.14722255375388804,0.09810023666481045,2.0,-0.31473214285714285,0.027085704798450627,-0.001803863587273825,-0.012270743480581936,-0.039835680320624116,-0.022571831417581244,-0.07709409215560073,-0.051168498167718256,-0.05742905356233063,-0.012531394219034347,-0.0393115302517395,-0.10116266071961959,-0.11338457111385604,0.05602629410523062,0.10147743494820638,-0.15422963033826825,0.12965983522476784,0.12055677759612905,0.24211228569863968,-0.021306157896630585,-0.02726824952239524,-0.033965409951739,0.04879153302608632,0.04029051727490528,-0.008500638584494897,0.036230300762917854,-0.17819721864150923,0.03941732698455768,38,39,M3gan,95043350.0,181013217,11726555.0,3509.0,3342,30429860.0,95159005.0,180089109.0,38533510.0,3509.0,63487510.0,3605.0,75903725.0,3628.0,83797375.0,3416.0,95159005.0,22218.0,10.0,6.0,181134416.0,83797375.0,14158.0
rh7,horror,1.22483397924825,0.4419575900929768,-0.18937958312484462,0.4419575900929768,1.7407407407407407,-0.49074074074074076,0.027900225112707185,-0.009119081918199762,0.012944586256014844,-0.04923521118500299,0.01654116021191683,-0.12182189984494708,0.0006102796759134626,-0.02022433488223731,0.025306094812255268,0.044287446044044027,-0.004885051450037107,0.08490538156176274,0.13887831342235746,0.41375557154270687,-0.03700738119050413,0.0838487620357924,-0.06180617892477658,0.11730206291685688,-0.006908235465460787,-0.004267418862840076,-0.027857072925558998,0.0890048405007313,0.11568811372263106,0.05506668776270516,0.1463827879547411,0.14942080682121534,0.1298276372231149,39,40,Evil Dead Rise,67233054.0,146017671,10348229.0,3402.0,3042,24504315.0,67233054.0,147033054.0,32216195.0,3402.0,48363822.0,3417.0,56460357.0,3036.0,61730752.0,2821.0,67356372.0,16204.0,8.0,5.0,146140989.0,61730752.0,12676.0
rh8,horror,1.2888907655933268,0.5737167230700793,-0.12532279677976807,0.5737167230700793,1.6296296296296295,-0.6226851851851852,0.004391893643249358,-0.009793415563747273,0.030693480341982826,0.006734610883269213,-0.07932899071571711,0.08404313111321997,0.007322137306799322,-0.05034294938697926,-0.014786862705974128,-0.25920446199696934,-0.2884285995501043,-0.09749930986198187,0.15461757323925407,-0.1357148655041638,0.28654948338346875,0.4137818141456641,0.17544199993699966,0.29736791002136337,0.006149547277772633,-0.046488451888814536,0.03331658291640955,0.10306497512931628,-0.08290048837242282,0.16213936118095007,0.0769890963303424,0.12533832095923506,0.16506793945637477,44,45,Prey for the Devil,19802293.0,44013745,2831066.0,2980.0,950,7185126.0,19802293.0,44658929.0,9768710.0,2980.0,14951244.0,2980.0,17433378.0,2164.0,18715426.0,550.0,19802293.0,10014.0,8.0,4.0,44013745.0,18715426.0,8674.0
rh9,horror,1.3495163006621211,0.0324944225411295,-0.06469726171097377,0.032494422541129504,2.6206896551724137,0.3146551724137931,0.034229071494140575,0.0938553866062222,0.03763273409471313,-0.033833749282610695,-0.061916749442452186,0.0005255695942811613,0.0173345132537746,-0.14174922699247575,-0.03932580053496141,-0.17284740423989992,-0.022465253413753234,-0.20442423883119257,-0.003550295037271602,-0.10327088596831183,0.13176768631654243,0.25925112593326655,-0.34882530980940735,0.05895038702144096,0.005909945155101489,-0.036603529942901926,-0.0003891656153223819,0.027617808885364994,-0.15818714973049078,-0.004568721831069755,0.025642326083588594,0.021805646245635475,0.12101166551946119,45,46,The Invitation,25100080.0,33689288,2681924.0,3114.0,861,6805468.0,25100080.0,38036130.0,9044963.0,3114.0,16225563.0,3114.0,19768901.0,3117.0,22083944.0,2425.0,25100080.0,16043.0,8.0,5.0,33689288.0,22083944.0,11770.0
uc1,comedy,1.522742100355556,-0.16390561116520225,0.10852853798246098,-0.16390561116520228,2.896551724137931,0.5905172413793104,-0.03477357465448484,-0.06654857003701532,0.025672371668861278,-0.04494732694597214,-0.10938193260756766,-0.05080562955548249,0.009084956463367919,-0.05899702641156515,-0.04387953479261545,0.13151404921829665,0.008123682386344444,0.27826797616786164,0.1631448822259689,-0.016532231492801232,0.14630492114129615,-0.06435806717177586,-0.26492587881726715,-0.2098329334697868,-0.02354531504569635,-0.07830917635204938,-0.023004264226412215,0.07676695475749656,-0.09111147597457463,0.07157998794645704,0.045677072905077436,0.07660246000588553,0.06458390708965399,64,65,Next Goal Wins,,,,,,2500295.0,6713826.0,18062279.0,4021062.0,2240.0,6166715.0,2240.0,6542872.0,500.0,6671511.0,190.0,6713826.0,5275.0,5.0,2.0,17427756.0,6671511.0,5170.0
uc2,comedy,1.468280575441559,-0.37054287858937857,0.05406701306846403,-0.37054287858937857,2.5925925925925926,0.3402777777777778,-0.043062903151007643,-0.07660186404174885,0.03820549137703888,-0.031126043704589556,-0.1427365092619928,-0.0408859929115389,0.017682467095322816,-0.07056893128418577,0.08644378253697355,-0.3429937063537348,-0.42732855804660813,-0.08208207513700422,0.16836042999964304,-0.19736543510629845,0.1463601080474464,-0.20261685097394933,-0.4591914845967446,-0.001350001470933282,-0.01883549325342479,-0.0966357681959758,0.027921093667491168,-0.12575004244268034,-0.36129515924988376,0.0209760104798363,0.07101938956671892,0.10796720128120423,-0.012494245229407416,65,66,The Holdovers,,Focus features,,,,211093.0,20026220.0,39761220.0,278167.0,6.0,1074260.0,64.0,5657480.0,778.0,10133085.0,1601.0,20035480.0,9907.0,16.0,6.0,39828466.0,10133085.0,2449.0
uc3,comedy,1.7301064609409462,-0.33334391688506587,0.31589289856785135,-0.33334391688506587,3.074074074074074,0.8194444444444444,0.023680306672530422,-0.03159205531168118,0.07570664733845894,0.0003338116238828299,-0.030257564870875903,0.023769133485915802,-0.014678967396680195,-0.13155987934325755,-0.05208604399356416,0.11088789853358369,-0.10243055154787874,0.1766404925577723,0.12346933961550394,0.038129819688933905,0.18732128747944168,0.3321654132962443,-0.09248343949180676,0.17313279682143173,0.003111716966577677,-0.06446983317527154,0.015796578943603527,0.18884088381511063,-0.05226139045025055,0.17903152561954858,0.2417980299446191,0.3225396011176394,0.22253542977482413,66,67,Wonka,,,,,,39005800.0,211067348.0,607567348.0,57502717.0,4203.0,110652896.0,4213.0,150224302.0,4051.0,167813855.0,3817.0,211500039.0,31445.0,9.0,8.0,607753494.0,167813855.0,16284.0
uc4,comedy,1.671887150620851,-0.28401121567247223,0.257673588247756,-0.28401121567247223,2.5172413793103448,0.21120689655172414,0.031230278774097113,0.0279694967297377,0.1360357196599286,-0.04322994914211407,-0.045676764129484834,-0.017114048438702404,-0.0509565803061416,-0.10680175100421573,0.0077635444560465545,-0.07312874976390071,-0.05948169775696351,0.25717705643978245,-0.09801595749203729,-0.1176887822047025,-0.012835258646141549,0.12666415111608983,-0.060766498302700096,0.2958895389520002,-0.020985416891386176,-0.041503006134654276,0.04222840522575759,-0.01482685204661607,-0.07931232608812201,0.18007711224854706,-0.06652670275198318,0.00615208360403177,-0.044206700182882426,67,68,Migration,,,,,,12453275.0,116386525.0,256742525.0,37092645.0,3761.0,67570135.0,3839.0,79565635.0,3712.0,89372435.0,3224.0,116880935.0,26114.0,8.0,7.0,257763826.0,89372435.0,14536.0
uh1,horror,1.4213283571560655,0.3608300110967586,0.007114794782970525,0.3608300110967586,2.0357142857142856,-0.29017857142857145,-0.00198406898032747,-0.029882885313070668,0.037647862867258346,-0.03307303510004701,-0.06794819516377891,-0.018367950656145587,0.05741240281048533,0.050388152005480205,-0.026155696740562333,-0.023726352007892398,-0.09545120624804218,0.19244893666127388,-0.24543788225906768,-0.3393435148380786,-0.09128897715062555,0.2954215705533982,0.2364197662698793,-0.0814901370721375,0.007451766243370276,-0.015814309490456462,-0.00229192817648319,0.008752445428812703,-0.06612498493874717,0.006556607479503597,-0.02856561090745468,-0.08663593251072446,0.12005538935464093,60,61,Thanksgiving,,,,,,10306272.0,31908884.0,46507976.0,16929532.0,3204.0,25747633.0,3204.0,29271669.0,2506.0,30922009.0,2025.0,31945385.0,12746.0,11.0,4.0,46045385.0,30922009.0,10939.0
uh2,horror,1.3510775887624125,0.12957612827875165,-0.06313597361068239,0.12957612827875165,2.5555555555555554,0.23148148148148148,-0.04339513294324105,0.025455636198835035,0.07422052522623449,-0.033813569266834896,-0.05004009709624081,0.008501018835494676,-0.004224918451580344,-0.062182297294251336,0.0058851541216709555,-0.13691661754845835,0.15294997116955372,0.1804262261662611,-0.00736107696614713,-0.022330218175100183,0.1772784156493073,0.19602008350946734,-0.00028203832274524554,0.15167343172902908,-0.027144540220552082,-0.02892225273055236,0.029535566061133365,0.017247462998287284,0.04344590489056942,0.1697926911815325,0.13291778869693446,0.15226374042753207,0.22388048809069727,61,62,Five Nights at Freddy's,,,,,,80001720.0,137275620.0,291493620.0,94204360.0,3675.0,118205300.0,3789.0,129111720.0,3694.0,134455125.0,1882.0,137275620.0,15894.0,8.0,4.0,295804363.0,134455125.0,13040.0
