Trailer,Type,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_ISC,AIns_ISC,MPFC_ISC,index,number,title,Domestic Gross,Worldwide Gross,Domestic Openning,Theaters Num,Avg Domestic Opening,Openning_US_C_IMDb,Gross_US_C_IMDb,Gross_W_IMDb,Gross_US_W1_num,Theaters_US_W1_num,Gross_US_W2_num,Theaters_US_W2_num,Gross_US_W3_num,Theaters_US_W3_num,Gross_US_W4_num,Theaters_US_W4_num,Gross_Total_US,Total_Theaters_US,Total_weeks,Weeks_avg_per_theater,Gross_World_num,Gross_US_M1,Theaters_US_M1
rc5,comedy,1.587899959284934,-0.18310520764989383,0.17368639691183915,-0.18310520764989383,2.5714285714285716,0.2767857142857143,0.01825940714822191,0.06433638960097136,0.23306750636747203,-0.06460337586665062,-0.05802636839054944,-0.16793334387751574,-0.027234862046612074,-0.1391689319876977,-0.1597365673349546,-0.05114369951221317,0.13915593061503814,0.5093538024463031,-0.01602164929655229,0.01691779376090734,-0.2988721429823795,0.18490934883329552,-0.17738349873157966,-0.16019460505466585,-0.024526276921680246,-0.04428630359242525,-0.03153413494833276,0.03924800000817668,-0.0071032581185447195,0.016762351469752582,0.0993793841424582,0.11583231112736327,0.29062912969256205,4,5,Strays,23988885.0,35316418,3427540.0,3223.0,1063,8247810.0,23988885.0,36026155.0,11476230.0,3223.0,18211225.0,3232.0,22045000.0,2486.0,23236435.0,1500.0,23988885.0,11576.0,6.0,4.0,35958110.0,23236435.0,10441.0
rc6,comedy,1.3990113000932043,-0.2247543161130674,-0.015202262279890653,-0.22475431611306743,2.310344827586207,0.004310344827586207,-0.07912557387258266,0.009850192213166476,0.021561801697532496,-0.01573424410968901,-0.13113584239273693,-0.0365098638042247,-0.03967900413009593,-0.06770700345867905,-0.09438452731551134,-0.3245432031915877,0.04544433614756108,0.05599335682755309,0.07043122650953618,-0.29493089346409923,-0.004858768470802136,0.07271413827722695,-0.013605335094218613,-0.10973625214823433,-0.04484627403745585,-0.06299755121274982,-0.036444196474067846,-0.0604659461349415,-0.08769729747025225,-0.019533887930494483,0.03336774409538343,0.3057556392438246,0.2588066232582503,6,7,Champions,16271910.0,18852343,1820955.0,3030.0,601,5148740.0,16397335.0,19159065.0,7559905.0,3030.0,12022935.0,3039.0,14251805.0,1917.0,15199130.0,1121.0,16397335.0,9913.0,8.0,3.0,19115227.0,15199130.0,9107.0
rc7,comedy,1.4432206508226646,-0.46164362262419184,0.029007088449569448,-0.46164362262419184,2.142857142857143,-0.09821428571428571,0.05273381557784231,0.04273238109052807,0.06254186462092308,-0.06313857954758055,-0.1719742666406646,-0.1152954632483575,0.0038518363606502492,-0.10715895311855668,0.018243797849872227,-0.11929959560255816,-0.1472014418435624,0.0024629525336886037,0.2882068605745191,-0.07038794324682802,0.07368939852654319,0.15180988768873313,-0.2683960211944441,0.13292153427166328,-0.0021843092030293283,-0.07880027955623106,-0.011503266925854069,0.10690571755356469,-0.1619951354282782,0.0696912951106317,0.17260501375443113,0.22094410944477128,0.08249860826513758,7,8,Book Club: The Next Chapter,17556340.0,29068729,2142255.0,3508.0,611,6677580.0,17581565.0,29014267.0,10125220.0,3508.0,15211970.0,3513.0,16876890.0,1339.0,17274770.0,382.0,17581565.0,9079.0,6.0,3.0,29121628.0,17274770.0,8742.0
rc8,comedy,1.4116638799808725,-0.27523252696501826,-0.0025496823922226053,-0.27523252696501826,2.2857142857142856,0.044642857142857144,-0.012173751430390484,-0.04379892039850432,0.045742387858512604,-0.004168533534614127,-0.043661047743199344,0.02187957555520047,0.04273399891771277,0.045612833985308174,0.027773942694709102,-0.25727139779382363,-0.39024995355434405,-0.06420334550407043,-0.08247343772716735,-0.17832780924506525,0.037111992256276045,-0.24179341850745686,-0.2140948640381009,-0.23879615564453063,0.008797237984236058,-0.013949044718798502,0.031798635369474075,-0.19384608467614925,-0.26089087561250335,-0.08862916963077498,0.06867062326044251,0.0979821874821345,0.12478579254780346,10,11,No Hard Feelings,50452282.0,83453541,6352471.0,3208.0,1980,15002770.0,50452282.0,87256407.0,21802364.0,3208.0,35162492.0,3208.0,43290171.0,2686.0,48135693.0,2053.0,50452282.0,12597.0,7.0,4.0,83453541.0,48135693.0,11155.0
rc9,comedy,1.5700774713103605,-0.23563456664067264,0.15586390893726546,-0.23563456664067262,2.413793103448276,0.10775862068965517,-0.012634839515175656,-0.019138038662364527,0.06753045325900989,0.03132107159920554,-0.09753792092696474,-0.03346998061559999,-0.023374883846902797,-0.0163973106672111,0.06578769930130543,-0.056611678793929976,-0.08128918880263768,0.25770281594488514,0.32956439134420445,-0.12478322262018436,0.08858646094998544,-0.10451138200972687,-0.10437484283697308,0.16883881578666074,-0.0015628839209576373,-0.04435775675218011,0.03328272398157176,0.05614711018018253,-0.10348241808659839,0.1717093642271771,0.058021856697673894,0.07631682681467224,0.08403526481812074,11,12,House Party,9002247.0,9204731,1409486.0,1400.0,1007,3985882.0,9002247.0,9285747.0,5410508.0,1400.0,7640509.0,1400.0,8590596.0,1047.0,8842868.0,368.0,9011251.0,4383.0,6.0,3.0,9213735.0,8842868.0,4215.0
rh1,horror,1.380634478477818,0.3665316395003706,-0.03357908389527695,0.3665316395003706,2.6551724137931036,0.34913793103448276,-0.049577584277284384,0.05464765938922872,0.10240871545400823,-0.005544302904340447,-0.07167558301299808,-0.10545087931126443,-0.04771169365917412,-0.030589554345518844,-0.00046350143563253125,-0.30491847599220523,0.08593486091523421,0.24718692322797603,0.1658521260300224,-0.11986814523643022,-0.2143254861382322,-0.032567007029518376,0.03445252434617331,0.11457901661801417,-0.03427786028026631,-0.015872492656429392,-0.0011685550976295834,-0.05721111899723375,0.00017308000832576802,0.049146817902585994,0.110199585612353,0.10415145192816257,0.12068004204466923,30,31,The Exorcist: Believer,54300915.0,107689915,11826255.0,3663.0,3229,26497600.0,65537395.0,136265132.0,33926950.0,3663.0,48601950.0,3684.0,56265830.0,3323.0,61004670.0,2717.0,65537395.0,17512.0,8.0,5.0,136966457.0,61004670.0,13387.0
rh10,horror,1.3012758922182628,0.34648974118269843,-0.11293767015483216,0.34648974118269843,1.6666666666666667,-0.5625,-0.02690306756221233,0.035309271862616405,-0.057416575775022405,-0.01948589614628946,-0.018940724716594446,0.11044603047218676,-0.044823902121656996,-0.09471082290957879,-0.07931555880469575,0.03147070851013694,0.21945419629711208,-0.1455562933445191,-0.026803960439759737,0.0006079643512763073,0.30674609518472884,0.24062784304022108,0.12343276059924767,0.05907107948355755,-0.030404288610052926,-0.026114091921185613,-0.008762034702510472,0.08176486370353277,0.11449830708254533,0.07342029377458908,-0.007759552289179922,0.27519799673255413,0.2180852939399893,49,50,The Pope’s Exorcist,20009380.0,72913467,3465715.0,3178.0,1091,9006368.0,20009380.0,76987621.0,11623718.0,3178.0,16251707.0,3178.0,18575816.0,1950.0,19164828.0,606.0,20009380.0,9715.0,11.0,3.0,72913467.0,19164828.0,8912.0
rh11,horror,1.3967372696981641,0.5666153387385839,-0.017476292674930803,0.5666153387385839,2.107142857142857,-0.21875,0.023193012103784407,-0.050641564783854516,0.060374249162594776,0.012565878135289818,0.022991796052332085,-0.008344199749997344,0.027019304646317126,0.10826388645216299,0.005355848199454142,0.13747642574857658,-0.16280656719528172,0.18474448700845714,0.1856943682218847,0.23188596892159183,0.12564436772045617,-0.22990545025238,0.0571548032795172,-0.2645565972059853,0.020926064961797077,0.02687137257354686,0.01912863253735052,0.0310884479060271,0.04207806833527574,0.01527741917430934,-0.0016639438043147795,0.1415755788671073,0.23423218670391327,50,51,Men,7587853.0,10287063,1419333.0,2212.0,642,3293030.0,7587853.0,11152071.0,4743092.0,2212.0,6767294.0,2196.0,7424100.0,991.0,7552329.0,216.0,7587853.0,5683.0,5.0,3.0,10287063.0,7552329.0,5615.0
rh12,horror,1.3346120706463775,0.48586317859800376,-0.07960149172671738,0.48586317859800376,1.9642857142857142,-0.2767857142857143,0.053442901994934656,-0.001195416013263765,0.0690248846293928,-0.01108329106788645,0.06784373364130238,-0.08740165655104869,0.028295291944079596,0.1632416172536776,0.07102031274353178,0.0877157506361985,-0.07007017355044602,0.107991635935854,-0.10696013279585061,0.16625417305876652,-0.345817605479236,-0.3178981029738722,0.1547238352499504,-0.11469287860664017,0.023551634290375933,0.07662997829390539,0.017547846940625295,-0.11238082837784144,0.08363594491942361,-0.11750628271667406,0.11153002085649115,0.06076704822911599,0.1740588697476806,54,55,Scream,81641405.0,138874789,13383642.0,3664.0,3653,30018805.0,81641405.0,137743924.0,38947929.0,3664.0,54788780.0,3666.0,64209744.0,3518.0,70341632.0,3227.0,81641405.0,22305.0,11.0,6.0,138874789.0,70341632.0,14075.0
rh2,horror,1.3763736949432934,0.1983263386307078,-0.037839867429801576,0.19832633863070778,2.413793103448276,0.10775862068965517,0.04643970165052687,0.04573983515152955,0.21641147955652357,-0.011599833022361871,-0.018536998439068936,-0.03449660806124753,-0.033649411395896764,-0.11704769937797528,0.013969088152394327,-0.041618921780531774,-0.09135740456475128,0.47823144362093356,-0.07848765216211938,-0.12781966982593543,-0.16250304036028085,0.11963806661855954,-0.11503256338873179,0.26747073462080007,0.00039681907742275286,-0.02994828755517154,0.0652946532158901,-0.0001561691080305453,-0.11140321259313947,0.19439971262715094,0.09942672191802311,0.20829871665998506,0.1549186902027204,31,32,Saw X,47254428.0,74852798,7965110.0,3262.0,2442,18309301.0,53607898.0,111822387.0,24404793.0,3262.0,35729120.0,3262.0,43649877.0,3058.0,48611927.0,2756.0,53607898.0,16729.0,7.0,5.0,109238490.0,48611927.0,12338.0
