Participant,Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_pos_peak,AIns_pos_peak,MPFC_pos_peak,NAcc_neg_peak,AIns_neg_peak,MPFC_neg_peak,NAcc_slope_peak,AIns_slope_peak,MPFC_slope_peak,NAcc_slope_peak_avg,AIns_slope_peak_avg,MPFC_slope_peak_avg,NAcc_narrow_slope_peak,AIns_narrow_slope_peak,MPFC_narrow_slope_peak,NAcc_narrow_slope_peak_avg,AIns_narrow_slope_peak_avg,MPFC_narrow_slope_peak_avg,NAcc_delta_peak,AIns_delta_peak,MPFC_delta_peak,NAcc_delta_peak_avg,AIns_delta_peak_avg,MPFC_delta_peak_avg,NAcc_narrow_delta_peak,AIns_narrow_delta_peak,MPFC_narrow_delta_peak,NAcc_narrow_delta_peak_avg,AIns_narrow_delta_peak_avg,MPFC_narrow_delta_peak_avg,NAcc_ISC,AIns_ISC,MPFC_ISC
sub-01,rh6,Horror,12.0,42.0,30,3,3,2,-0.021097128225658412,-0.06761784486022056,-0.1915307601468735,-0.1728012209316476,-0.2789012218071516,0.06820085839116748,0.004572687396278941,0.058801105788504705,0.0699600174639898,1.834655432267799,0.0,0.4204418698947036,0.0,0.6875,1.290039843055822,1.1921919335328186,1.055065260902698,-1.408709089903069,-1.383751925391135,-0.8067957628257882,0.637902394197086,0.690245067718352,0.7925624174010737,-0.06310855392034236,-0.09590598695962246,-0.017789961430572068,0.17307771578327966,0.1662283586200118,0.34694397182599446,0.4679276096686705,0.2647109636959089,0.7010095148204185,-0.6812132477073398,-0.6386383590714151,-0.587738599113351,0.20823042812168358,-0.17313474584729188,-0.491718610260018,0.008539811253773474,-0.10531294247950868,-0.2361544142871499,0.20823042812168358,0.2182060201410981,0.561491243804,0.3613181357833562,0.23244069023753755,0.5077450611281514,0.004450056457859519,-0.02578092126479932,0.05177007969756574,0.007101012921426221,0.007058631918855214,-0.008595527059158468,0.004450056457859519,0.011023834807987834,0.00962145074449022,0.009833526493113915,0.00937153284351742,0.008048904518562449,0.17321803374628308,-0.03198857933006966,0.20134092484078195
sub-01,uh1,Horror,60.0,90.0,30,1,3,3,0.2600445194895799,-0.1523060862424488,0.21206977795414,0.1117387469397813,-0.1519928001680087,0.10709415361191221,0.3286711777449244,0.13896537120376878,0.447464836802762,1.223103621511866,0.611551810755933,-0.1911099408612293,0.611551810755933,-1.3125,0.22295459276363322,-0.3942708641971797,-0.0951080425965914,0.5427600747220007,0.35644289217735603,0.4862140784222726,-0.3606989420034602,-0.4630222971363044,-0.34196979477271877,0.23348481472476193,-0.0551111717355629,0.2555429227896047,0.13500524182739118,-0.16695008971870937,0.016378747017654138,0.8149609570142746,0.6355186886636421,1.137960175510274,-0.4508233220936091,-1.0472220837835915,-1.0714098950442732,0.162297823152532,0.30519624657029476,0.17141995184610193,0.32250860917725904,0.30519624657029476,0.5225744398293776,0.5382856576398639,0.30519624657029476,0.551556419270157,0.33727477469667183,0.48967305709440884,0.35390226087147675,0.005866003344696938,0.005311248416221549,0.0015063791821118462,0.011093853765917198,0.005311248416221549,0.006862777421342313,0.006605048413754077,0.005311248416221549,0.005706502489665627,0.004566331588510709,0.007959558456182328,0.003475773479454386,0.18892038686928161,-0.21284886341801953,0.21111377628577951
sub-01,rc2,Comedy,108.0,138.0,30,1,1,3,-0.1583691420197751,-0.02666802402590826,0.2426059393913315,0.3227392117837991,0.2605097614743598,0.6286106756722163,0.2636947010201274,0.051721759614406136,0.18278047089266303,0.611551810755933,0.0,-0.8026617516171624,0.0,-1.3125,-0.3847800590279885,-0.2339994346545026,0.02629811525371526,0.8917841375028261,0.7006687818811088,0.6833333378887951,1.432835068291503,1.215311910405018,1.1625303290293005,0.1426882569280505,0.09518783235428588,0.3513323619854037,0.6466130489221136,0.5606604192105414,0.6240539273906036,0.6016664470383651,0.6796260848665867,1.0234312897335234,-0.4676636012469984,-0.179011876939632,-0.540870358486366,-0.6478057673211868,-0.4786168929783537,0.2635553529085338,-0.02883129733205788,-0.16200399843392177,0.2663760757207512,0.2880883572386144,0.5623683039629931,1.1252858295826988,0.15138452357283108,0.12430934394848528,0.5092102472039856,0.013851960374804656,0.02673659989274104,0.003853077411512711,0.003266362965251087,-0.11930854335817577,-0.15515477033498398,0.00523722920228427,0.00827467215407702,0.010995225970428322,0.0026703176135762356,-0.00015030801626124933,0.005299871265042691,-0.4023450606507072,-0.001282764155461953,-0.20242839299833107
sub-01,rh2,Horror,152.0,182.0,30,3,2,2,-0.16987995978962134,-0.229214115281353,-0.18513666495783565,-0.2285007525013691,-0.14500081642401152,-0.4424142941872432,0.10424838013445337,0.207134314951887,0.24082676156605715,1.5288795268898323,-0.3057759053779665,0.1146659645167371,-0.3057759053779665,0.6875,-0.5121439629961797,-0.40957102669278267,-0.20773712548966056,-0.623878947724582,-0.6194086918946196,-0.7536842971753035,-0.6437038959883269,-0.5413914393968192,-0.3033221458933145,-0.0980441107188457,-0.05569353891782584,-0.1289080658596739,-0.5932422689030296,-0.5234570526614071,-0.4215811895194262,0.5820479056303696,0.8241852283612576,0.7998884359112515,-0.6739178055007445,-0.6452932426618929,-1.0028835919656949,0.0,0.0,0.0,0.0,0.0,0.0,0.5313836279642367,0.5601247408277847,0.0919012454351899,0.497915914969534,0.4054018761747608,0.35437179866857793,0.0,0.0,0.0,0.0,0.0,0.0,0.025231488843135752,0.016795243530225767,0.00229495634137254,0.01660552084273569,0.007432766062864908,0.0050032805814264935,0.2535037837658284,-0.1060625025555649,0.045020620735340626
sub-01,rh1,Horror,196.0,226.0,30,4,3,2,0.08969636070034216,0.435164218676661,0.3929973084509278,0.000895730110797656,-0.11011140284584542,-0.06832244106670991,-0.10227809840135187,-0.15954777495362485,0.4022041655540585,2.140431337645765,-0.3057759053779665,0.7262177752726702,-0.3057759053779665,1.6875,-0.6796699392882849,-0.3875181436824372,-0.295269568541874,0.7238156256594659,0.27054812619859075,0.31614302221900836,0.08450494098687032,-0.05077710675762988,0.6357955886908645,-0.003895335863404026,0.05516834695906357,0.24229301097942543,0.04288354245268378,-0.055915708080492114,0.218889680789333,0.522555535829076,0.7621194442570252,1.0656147418045374,-0.51077478042252,-0.5594814392743701,-0.4557821870871826,-0.5066971824182156,0.029221667630203424,0.0216234079753658,-0.5066971824182156,0.029221667630203424,0.3275734805958009,0.5838265139754246,0.4953204147466395,0.9286974105627324,0.3960201779522925,0.2398911852126618,0.4233062028274697,0.009920168376345219,-0.0011984543727226002,-0.0011551089118240266,0.009920168376345219,-0.0011984543727226002,0.00460440570905022,0.018572990007533367,0.00921070010609838,0.008994421313586335,0.011278760204811894,0.0040663593914387975,0.004271508578973237,0.1473658561693604,0.08260759527435467,-0.024965529988940673
sub-01,rc9,Comedy,244.0,274.0,30,4,4,4,-0.01366252736800488,0.13943328673190858,-0.3088907080298791,-0.06356442896571703,-0.24944570873283411,-0.3224956700219184,-0.03441392811098331,0.30152655354177726,0.6033741580479753,2.446207243023732,0.0,1.031993680650637,0.0,1.6875,0.5129906267980519,0.7043448922751533,-0.27016178960826853,-0.46442635635643265,-0.6740593893560498,-0.562673206647119,-1.851712726922742,-1.1217126542111435,-0.7868959843173672,-0.03721362814823507,0.06383804384695058,-0.009337406667940735,-0.6010494854937075,-0.36380905043067996,-0.539910326857585,0.5859277538971914,1.028914850930881,1.5961861442770529,-0.3682293646152816,-0.5083432198687841,-1.0613164891538098,0.0,0.3389096301306722,0.1303241898529366,0.0,0.4428136526864659,0.1303241898529366,0.6385623744875072,0.5467176752422596,0.558049726249701,0.6385623744875072,0.5826477587851252,0.4532945893878549,0.0,0.01009304360269899,0.015352450425630774,0.0,0.010989307452379894,0.015352450425630774,0.010898312466685973,0.0118855713020608,0.004472818546623089,0.010898312466685973,0.008948757630968052,0.0033281975142246045,0.4262146839992719,0.5673567477910673,0.971815225788054
sub-01,uc4,Comedy,288.0,318.0,30,3,2,4,-0.14328013484050003,-0.3189074553273063,-0.33008469752994746,-0.3189022441083841,-0.3063405610615205,-0.484035283817676,-0.2632070492901021,-0.2802500104396759,-0.3932083983548304,1.5288795268898323,-0.3057759053779665,0.1146659645167371,-0.3057759053779665,0.6875,-0.8947834631451321,-1.221985095794211,-0.9650513620248462,-0.5812979644388101,-0.48428799838358544,-0.323969936051275,-0.8055304437150518,-0.7393160043871366,-0.6006058856699381,-0.24179647607966206,-0.30183267560950094,-0.4024427932341513,-0.760537290432998,-0.8151963661883112,-0.6298757279153532,0.2928988499890967,0.5870970262798683,0.2444494197252106,-0.8458304022301291,-1.0141565710277436,-1.0642291963744954,0.0,0.5518494107955442,0.0,0.0,0.5518494107955442,0.0,0.0,0.5518494107955442,0.6957302283761344,0.0,0.6772114688150197,0.6957302283761344,0.0,0.014243668610668357,0.0,0.0,0.014243668610668357,0.0,0.0,0.014243668610668357,0.02846111187984065,0.0,0.013956935582545467,0.02846111187984065,-0.35310252734508873,-0.04192608001202319,-0.08178915082743729
sub-01,rh9,Horror,332.0,362.0,30,2,2,2,0.18917151026567022,-0.08523249203026242,0.15929222350236252,0.33157977074795125,0.18887117808928197,0.13379509492859537,0.11388941706129821,0.18249831008402076,0.04282887298576848,1.223103621511866,0.0,-0.1911099408612293,0.0,-0.3125,0.6567167980185851,0.23303307869020146,0.6825431041700805,0.39724733582278493,-0.11071484393390325,-0.04757687177862857,0.033400962159385456,0.045112930723045334,-0.11452432939397068,0.21154689935830656,0.09537899871434677,0.11197206380557548,0.36245503200025186,0.055810388493114545,0.17348063433249375,0.7063105496926032,0.5101038517285429,0.6351405722663446,-0.3160377751206714,-0.521217460778085,-0.5428176385122806,0.1940975415270366,0.4211614118365252,0.41541523992624674,0.1940975415270366,0.4211614118365252,0.41541523992624674,0.4863651579714242,0.5840688158604811,0.41541523992624674,0.3247964383726463,0.433484274708037,0.3294424582218644,0.005658733441707751,0.01716566403515938,0.007686745834633965,0.005658733441707751,0.01716566403515938,0.007686745834633965,0.006885995943046547,0.012571681225406663,0.007686745834633965,0.0048101731345408195,0.009483886117727705,0.005486823081695371,-0.7430146810069875,0.40716974302756365,-0.37252625614133866
sub-01,uh2,Horror,376.0,406.0,30,4,3,1,0.019395672737506565,-0.20503437313728962,0.4485818115282105,0.2646261922954482,0.07398118922116308,0.32025136498945433,-0.2029690717426842,-0.23338205769480935,0.20509304611422804,2.140431337645765,-0.3057759053779665,0.7262177752726702,-0.3057759053779665,1.6875,1.0474170733711505,0.6203127123412826,1.382613841516567,1.2686821193313769,0.851334654225707,0.7579886592315809,0.15805670120874205,0.027645534995016117,0.9062428133213889,0.027017597763423516,-0.121478413870312,0.324642074210631,0.8247186313037564,0.4997643005206685,1.0156151046898456,0.6289904622355846,0.4117444430702635,0.8964702498288021,-0.4469836379149597,-0.5996874636777592,-0.2603318228491303,0.1361980040235713,-0.2048806324887311,0.6232880383663413,0.13065775107149163,0.24521052702738969,0.14709123551612813,0.28774942651976415,0.689810653012318,0.6232880383663413,0.20325458316478331,0.24350931076122043,0.321029013345872,-0.030047338046649975,0.0236697138358162,0.0076239863080374125,0.00872649374075374,0.024197484411889708,0.04389692009190923,0.005639594282988712,0.04283397330287368,0.0076239863080374125,0.0037638475440052426,0.012838373599355595,0.004012937567620035,0.24793801939198748,0.3844695223646439,1.2555350221699328
sub-01,rc6,Comedy,420.0,450.0,30,1,1,3,0.21856372025838722,0.05176209385555092,0.8707246036684306,-0.22776574828549445,-0.43647674867909103,-0.24828874880939228,0.05113133876515954,0.11064429899540637,-0.1147348690986038,0.611551810755933,0.0,-0.8026617516171624,0.0,-1.3125,0.5241844933415449,0.19156215421788328,0.8766171041145492,-0.5523446646684477,-0.7898672336651457,-0.07446236249576452,0.05205597315178347,0.09147151730490263,-0.27838720707042824,0.0139764369126841,-0.09135678527604457,0.1692336619201448,0.007965267274960263,-0.16894452071411992,0.17458917818278555,0.5397207278665499,0.418485471249891,1.2499920709652252,-0.3879617783484501,-1.016606135051176,-1.6229128201438874,0.31138145982034393,0.0,0.11277262046121506,0.31138145982034393,0.0,0.11277262046121506,0.31138145982034393,0.03498131719513389,0.36711785184448675,0.09460275777770352,0.07153571379150374,0.228297631715632,0.005769307046093946,0.0,0.0010791745225769925,0.005769307046093946,0.0,0.0010791745225769925,0.005769307046093946,0.0013607854984184862,0.0039381157064347656,0.0014216254951180316,0.002160441745305096,0.0022191066716079583,0.16223708360625047,0.4511809212909741,0.47520589800444873
