Trailer,NAcc_GLM_long,AIns_GLM_long,vmPFC_GLM_long,NAcc_GLM_seg1,AIns_GLM_seg1,vmPFC_GLM_seg1,NAcc_GLM_seg2,AIns_GLM_seg2,vmPFC_GLM_seg2,NAcc_GLM_seg3,AIns_GLM_seg3,vmPFC_GLM_seg3,NAcc_GLM_seg4,AIns_GLM_seg4,vmPFC_GLM_seg4,NAcc_GLM_seg5,AIns_GLM_seg5,vmPFC_GLM_seg5,Sim_Speer_AVG,Sim_Kragel_AVG,Sim_Zhou_AVG,Sim_Ceko_GNAS1_AVG,Sim_Ceko_GNAS2_AVG,Sim_Speer_seg1,Sim_Kragel_seg1,Sim_Zhou_seg1,Sim_Ceko_GNAS1_seg1,Sim_Ceko_GNAS2_seg1,Sim_Speer_seg5,Sim_Kragel_seg5,Sim_Zhou_seg5,Sim_Ceko_GNAS1_seg5,Sim_Ceko_GNAS2_seg5,Sim_Ceko_GNAS2,Participant
rh6,0.006650605062211154,-0.07593636114291115,0.24223410306603238,0.6399716188230827,0.15273329659102589,1.0593386488935648,0.10780116431424808,-0.23140110713499776,0.6053564983623485,-0.326821261003898,-0.17261507706297088,-0.2791238242417332,-0.34888121210756967,0.0070580451336284475,-0.34909080405830584,-0.2642568662621649,-0.12205630844849645,-0.4459971212181926,-0.057066960619030174,0.03984730258229856,0.004579943329141993,-0.011031802993519444,-0.003720070748466273,0.00634028728040315,0.04148404659660895,0.02954749132929265,-0.025011101009101925,-0.02584552208479666,-0.06659805229458511,-0.0012683948793155747,-0.04071218871170703,0.03181932487277109,0.03777340482985568,,sub-01
rc3,0.12921632488237303,0.22452003666529122,0.4568979498437561,0.45968008311252395,0.15071327212809535,0.993488612607646,0.07291271841521968,-0.15021178203266364,0.7120759282869871,0.2878036827815559,0.19364664157003644,0.11704716927448801,-0.25979061591937336,0.16998029332753678,-0.19616497005929834,-0.20187948506758244,0.026732088226710138,-0.24519899245931134,-0.031426991512316295,0.03428359300159411,0.009413550985763793,-0.004474693480383105,,0.0439127563923549,0.01210207479362364,0.017055678479752846,-0.013382436248669059,-0.029732647071695248,-0.07094391164088118,0.013171911685625587,-0.010922376769872337,0.02670261615122425,0.02052565337376523,-0.010761649577186796,sub-01
uh1,0.12690852684067908,-0.036937919506460574,0.05197837942858893,0.7655288091892324,-0.17190376681909075,0.8118143004859916,0.20398454041988082,-0.2415100972505368,0.1030666465322587,0.18925293662071113,0.18610493499672318,-0.03982846280205584,0.028395371599785415,0.27171455448906057,0.08324058766850982,-0.5241155987301467,0.04729422737809406,-1.380786801107696,-0.06525419725596984,0.03704500843644352,0.03281815354380104,0.013483579614159392,0.021718062042246897,-0.03709609368427232,0.02562525242184569,0.015642545461874165,0.002686358099581905,0.016118193419713243,-0.06496363090782677,-0.0036118731134413286,0.05280594263856881,0.02407032153612767,0.036441646969842326,,sub-01
rh12,-0.12832607698997933,0.1265800337256594,-0.20378397636648102,0.09658049822258419,-0.27200423570513776,-0.09838559461702372,-0.268311335121545,-0.29922505004759886,-0.3573181143869703,-0.0036365742901794855,-0.007724309091434147,-0.35192518537750367,-0.28525748246946914,0.07013718484786369,-0.2815821219862894,-0.3549303236499333,0.23734602919324138,-0.4989691064129396,-0.11108528628654128,0.001499476878235632,0.013944029160525659,0.015591722822535809,,-0.03993039651638952,-0.01834770251893469,-0.01669689444029905,-0.0029559289326099277,-0.005773300590640023,-0.043432368915168475,-0.017300507244399153,0.022470843572592804,0.01693615691321319,0.014827003154423517,0.009559284791652689,sub-01
rc2,0.26428110340334476,0.32473514560157435,0.8888581616296622,0.17707946937136276,-0.4475994020820046,0.8794727261144152,0.21212964078025956,-0.22052455942772337,0.4172490872862693,0.0075791046954657056,0.32519941895990745,-0.043428492178469585,0.1586718559144463,0.2941588715018364,0.8754296899545412,0.16348677509275472,0.5058633479684851,0.2039321587887425,-0.05322861326382862,0.07255698456694588,0.020522500274882404,0.0019045034063521439,0.00996843792035652,-0.006552116096645799,0.036351750265344304,-0.033894546475894585,-0.007843825271387253,0.008693489585723939,0.011330029726203613,0.011759411658833954,-0.014825854712715959,0.015716022106398324,0.030278048766956667,,sub-01
rc1,-0.18068648974574059,0.20443873967600654,-0.12610028324176273,0.19427779607742612,-0.22208201717254392,-0.3071064808221702,-0.24335932858790477,-0.15201426134929738,-0.024900361199734315,-0.1561885470993506,0.21227836350651852,-0.2895915219491404,-0.28700282104761227,0.15506017321057314,0.22476133823524183,-0.22940095108492622,0.43062624640857217,-0.1579348972546184,-0.08842398278102176,0.022730786592201603,-0.002881537451628424,0.014576567543366257,,-0.030934322546257144,0.025707569070766333,-0.03658491653774524,0.03238244410249023,0.03802283489999299,-0.013808301957603401,0.012895923280751757,-0.0011892623227968803,0.009608657766752652,0.019313137330819404,0.012080342819938564,sub-01
rh2,0.08718380957450912,-0.08696495107132445,0.3702799092806918,0.2923130070373039,-0.5538613963509232,0.5238544327962072,-0.059239025563563995,-0.15202552622859303,0.003872730426400185,-0.03443235051825288,0.1997999414780064,0.05530253186319937,0.17559606267809844,0.09255502003899944,0.5831601457462883,-0.0754999147094884,0.07843441244948585,-0.24787985491995562,-0.010122554875685086,0.027209173813294563,0.015613806139889583,0.008219926780958484,0.023676056248082944,0.019276885441504545,0.03364106601562576,-0.005793462558663818,0.009058629137818875,0.028587011768339124,0.016144336748860698,-0.02978110741243141,0.002915437913711339,0.01065126014372971,0.023932898272211907,,sub-01
rh7,-0.20851853263869533,0.08101337951998745,-0.12848800476379396,-0.14575020284707163,-0.3970775715638361,-0.23328836520427437,-0.3683607963190434,0.04103263301880155,-0.38513151489589653,0.11995877176181984,0.1623412531035353,-0.19966204964948783,-0.3195322746987858,-0.09961949830206375,-0.1533611355457496,-0.3545894232876017,0.2399938568048796,-0.29477854123570757,0.03829507562131462,-0.02566865512165473,-0.0019698815266244057,0.01715304226371305,,0.06108985717608812,-0.019264068234645156,-0.030525507012544268,0.027909536690489706,0.019592427288438085,0.006773670267689606,-0.024481897172047344,0.006460968645325428,0.008577419030668401,0.002538293212057019,0.005569759650824471,sub-01
rh1,0.23277618074276882,-0.08055719946264547,0.2797454075452193,0.9093713610281884,0.06093527073032107,0.8566003858382049,0.6921568375685125,0.34548225364692103,0.5477157500741922,0.4247408193839854,0.30981796663720046,0.965574273146473,-0.18698028283194235,-0.36032101432759683,-0.08693827997629383,-0.9382024144267299,-0.5157780984858304,-1.6889347362431506,-0.060654898370609896,0.030998994284228528,0.01757570519324045,0.00548334652719285,0.021295069288361657,-0.08343498017777165,0.03608377695853146,0.008433849437504965,0.014957377490067349,0.030289959589823813,-0.09017285555006196,-0.007709135737995503,-0.011872452189778499,0.009244527961083463,0.030645350855606907,,sub-01
rc8,-0.07353840945583633,0.07337249323456874,-0.12115277527709147,0.44654333272946456,0.099227264496558,-0.04781282181319294,0.38706939814663044,0.2051305526393477,0.42040931561230344,0.026820248184102516,-0.10514242885213677,0.08198203189711761,-0.33159444381910236,-0.376773221635144,-0.5622956192284227,-0.574847699763397,0.0636245500320792,-0.6004601627613697,-0.04278290162546723,-0.009382011859007885,0.01159474280265657,0.0135775427437579,,-0.07478609830639739,0.002005341741891333,0.0003392149770734716,0.017341206165725064,0.01749712752068103,-0.04623203492705209,-0.00762756052750203,0.005005181403877106,0.004839188424089742,0.0037774126850452713,0.008566446557268301,sub-01
rc9,0.031026271381394233,-0.40085953302923694,-0.03574838366540239,0.1343844272559385,-0.10228288514829106,-0.020329116780697758,-0.029290377611163543,-0.13238121657963947,0.5109596187946275,0.2760273553893622,-0.20082640951869013,-0.2140840852568562,0.07659755598320259,-0.6166158697389803,0.003877378223410552,0.10938515629614733,0.15726517927669983,0.18074056982705303,0.005349722940337837,0.017529227827528703,0.016787232019580295,0.013996604459696858,0.03309411232002978,0.010680435575418356,0.0029552509949382225,0.0017275735944499793,0.02313426926765416,0.039282060811082035,-0.01392836647893872,0.017662283058507155,0.02272197001822095,0.010866973935770737,0.016292486249739314,,sub-01
uc3,-0.01355982532840178,0.03787509781710313,0.08803175729046127,-0.019426230758216607,-0.19345421884407332,-0.12234067905200824,-0.06637952766304561,0.07439770813067502,0.2893435737378559,0.40888953053446014,0.23981921536068038,-0.009259731364445953,-0.15035299909698743,-0.43231159953811366,-0.018781422812651806,-0.16700611481537167,0.2962628842186293,-0.02744075155022627,0.05751848958177775,-0.017713688063265662,0.023371037936552774,0.017187053708909474,,-0.010156287396696523,-0.03895919086357305,-0.007850709083475061,0.03590097140124278,0.03031453837604172,-0.011983479366130399,-0.0004290020355888569,0.02248073189349205,0.012604561723472879,0.011877558867157426,0.021429104117659904,sub-01
uc4,-0.06197895268476954,-0.28491426878280574,0.14249900839185323,0.7275895699564344,-0.08426586172546877,0.6513673407462853,0.13626411649337056,-0.02101095974860102,0.41393195936778954,-0.21133768400697564,0.08705409820387745,0.4174089399235619,0.08093308225483,-0.2136527780817878,0.27555565664715753,-0.33594348633212656,-0.6804946830933662,-1.0580955041955822,0.03380504325974818,0.01764822278632811,0.008078313514443594,0.013508325904666616,0.01659980483826324,-0.02973404777710326,0.04790834040575402,0.01730072355711132,0.020468359010273628,0.04082616310508628,-0.01616903149799456,-0.050840776742858695,-0.0201411254505988,0.02348990596704561,0.033303370359548924,,sub-01
rh10,-0.17865293184806855,0.007873772383514045,-0.13167587280844098,-0.20782986203057147,0.033785271009578,-0.3821988589540722,-0.19756340825612673,0.1794346111162405,-0.09870511485709403,0.006604928021625822,0.0720719896876317,0.4644194552832316,-0.12980054422425746,-0.1577948892166169,0.030873366019570476,-0.2166944934071311,-0.24140135343578056,-0.5609748846779107,0.05290700386195257,-0.06291702597551639,0.005984955311085829,0.01413558767667464,,0.0038926107861216586,-0.015526242669286228,-0.011112780411777552,0.030467896976357343,0.02747377491176431,-0.07429435726873684,-0.038138210420956754,0.01467928617953063,0.014241817938627211,0.011310479852919655,0.002074691438647848,sub-01
