,Trailer,Type,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_whole,AIns_whole,MPFC_whole,NAcc_ind_peaks_pos,AIns_ind_peaks_pos,MPFC_ind_peaks_pos,NAcc_trailer_peak_pos,AIns_trailer_peak_pos,MPFC_trailer_peak_pos,NAcc_trailer_peak_pos_yes,AIns_trailer_peak_pos_yes,MPFC_trailer_peak_pos_yes,NAcc_DP,AIns_DP,MPFC_DP,NAcc_DP1,NAcc_DP2,NAcc_DP3,AIns_DP4,AIns_DP5,AIns_DP6,AIns_DP7,AIns_DP8,MPFC_DP2,MPFC_DP3,MPFC_DP4,NAcc_DPy,AIns_DPy,MPFC_DPy,NAcc_AP,AIns_AP,MPFC_AP,NAcc_APy,AIns_APy,MPFC_APy,NAcc_AP2,AIns_AP2,MPFC_AP2,NAcc_APy2,AIns_APy2,MPFC_APy2,NAcc_DP_subgroup,AIns_DP_subgroup,MPFC_DP_subgroup,NAcc_AP_subgroup,AIns_AP_subgroup,MPFC_AP_subgroup,NAcc_seg1,NAcc_seg2,NAcc_seg3,NAcc_seg4,NAcc_seg5,AIns_seg1,AIns_seg2,AIns_seg3,AIns_seg4,AIns_seg5,MPFC_seg1,MPFC_seg2,MPFC_seg3,MPFC_seg4,MPFC_seg5,NAcc_TR1,NAcc_TR2,NAcc_TR3,NAcc_TR4,NAcc_TR5,NAcc_TR6,NAcc_TR7,NAcc_TR8,NAcc_TR9,NAcc_TR10,NAcc_TR11,NAcc_TR12,NAcc_TR13,NAcc_TR14,NAcc_TR15,AIns_TR1,AIns_TR2,AIns_TR3,AIns_TR4,AIns_TR5,AIns_TR6,AIns_TR7,AIns_TR8,AIns_TR9,AIns_TR10,AIns_TR11,AIns_TR12,AIns_TR13,AIns_TR14,AIns_TR15,MPFC_TR1,MPFC_TR2,MPFC_TR3,MPFC_TR4,MPFC_TR5,MPFC_TR6,MPFC_TR7,MPFC_TR8,MPFC_TR9,MPFC_TR10,MPFC_TR11,MPFC_TR12,MPFC_TR13,MPFC_TR14,MPFC_TR15
0,rc1,comedy,1.9058566195576083,-0.3897182393500762,0.3326420426901342,-0.36089401509177865,2.96875,0.7451171875,0.08486505083698956,-0.05361246813342054,-0.005618280041021141,0.0035929250389062934,-0.08753133837513499,-0.1182856263435078,0.040983226616279365,-0.015268763552928008,0.18252759883829206,0.043147067497391736,-0.05213752335382784,0.01954123081792103,0.4081379031491817,0.3196864668508743,0.7025846995961377,0.09148557867247639,0.024512659996360136,0.24169365060685621,0.11337354089882845,0.029196701524635153,0.17706014262586348,0.09411163896504145,0.09920881788309414,0.24102710039405015,0.0813018942095893,0.06312343213618796,0.052727979265831004,0.09920881788309414,0.09920881788309414,0.09920881788309414,0.09920881788309414,0.09920881788309414,0.24169365060685621,0.23046402889225176,0.21585680111238234,0.128613241356576,0.09920881788309414,0.24102710039405015,0.128613241356576,0.09920881788309414,0.24236020081966228,0.128613241356576,0.09920881788309414,0.24102710039405015,0.07861722932531473,0.09920881788309414,0.22518249314135258,0.07861722932531473,0.09920881788309414,0.24169365060685621,0.09411163896504145,-0.02393225635510183,0.17203511777277405,0.09411163896504145,0.09920881788309414,0.24102710039405015,0.0705307915463354,0.06631742898330445,0.01767274847658376,0.013741112611006122,0.04747325586972895,-0.04229049116368083,-0.09137685244377129,-0.09359491512177315,-0.030972465462643668,-0.002452892577270311,-0.020041532626286395,0.015922124506609264,-0.1425374144484956,0.03689627530595153,0.2074667013518264,0.05435791598837677,0.128613241356576,0.028621217294053453,0.12700106044109544,0.08573181910484613,-0.013780592596028176,-0.048536017551479675,0.06558019159877174,0.03597407138245926,-0.02127302763919164,-0.005995783981927114,0.06849214945413717,0.09411163896504145,0.026766507989385267,0.02154162065476013,-0.04380604814523438,-0.05151504546144388,-0.03155037988436428,-0.015404313269969595,-0.1257865539060906,-0.1329396901552537,-0.19090344547382224,-0.04808044471803487,-0.04180085517346233,-0.02393225635510183,-0.009038884156256862,-0.05994625587657231,-0.13108015561126518,0.024512659996360136,0.09920881788309414,0.047383597394628225,0.03259436572109038,-0.14010256099457777,-0.020542419113854855,0.05257561678760832,0.015733175846074362,-0.010961340400289217,-0.16722043889034818,-0.24943046405484937,-0.17954906421812658,0.04921078974193096,0.24102710039405015,0.24236020081966228,0.20800478546304285,0.17203511777277405
1,rc10,comedy,1.6059118440079516,-0.34220827456326136,0.02209719950751873,-0.31146243535441087,2.2,-0.021875,0.024785466397822944,-0.07420576137345451,0.1505346447828329,0.01340979676172402,-0.05172595016831086,0.14930324571628167,0.016240853580161328,-0.036889814964380825,0.22034871743935136,0.018145372246569442,-0.0542738421687154,0.17339553597948862,0.3456983188174993,0.28787637432088775,0.8877219511266331,0.047626826893032576,0.010155142735885685,0.35488455442223915,0.03449304754466783,0.09336107837696864,0.42579054289448304,0.05082671267355838,0.1254927332386307,0.39785242289915423,0.03951300080037858,0.02859030205296217,0.022869515498311295,-0.06843885846040565,-0.07420576137345451,-0.07283858782508175,-0.07533815422681601,-0.06881971134326399,0.35759733195168153,0.27503184775896106,0.19745672531285816,0.05082671267355838,-0.06286987121989028,0.31191668594532407,0.08954649795170642,0.1254927332386307,0.39785242289915423,0.08954649795170642,0.1254927332386307,0.24044482168886924,0.05614387892496839,0.1254927332386307,0.35759733195168153,0.05614387892496839,0.1254927332386307,0.20467967383088767,0.02274125989823037,0.1254927332386307,0.34158468173069056,0.08954649795170642,0.1254927332386307,0.17339261939799483,0.021743704950021824,0.015659551271395827,0.024007214191784244,0.03399951944806482,-0.004683128628419496,-0.06860412365553441,-0.07707305199462912,-0.04310133663296309,-0.09755012055471819,0.014959421994267776,0.20222124674321035,0.03227330420907725,0.15137370596933988,0.3504512635250563,0.13065815945075948,0.03126295457138797,-0.0028558314305765537,0.036823991709254024,0.003669355921461265,0.05502686121758805,-0.011717563324861818,-0.007004359025404505,0.02819928892719882,0.05082671267355838,0.0067449045581293,0.00570715583435872,0.08954649795170642,0.02274125989823037,0.01282649146266497,-0.04961713724615379,-0.06286987121989028,-0.09405021757146213,-0.04889228217525079,-0.06794306287501933,-0.09727337302564994,-0.06600272008321803,-0.09033555263722151,-0.02319061115839993,-0.015777846103267875,-0.06332302085944705,-0.14078449985167468,-0.08854284095303282,-0.09076960999171305,0.010155142735885685,0.1254927332386307,0.19730439256785562,0.24044482168886924,0.16891452597290613,0.08721778146046287,0.058791702224070805,-0.0491895710573019,0.02486097944553728,0.17339261939799483,0.25586751906448757,0.34158468173069056,0.31191668594532407,0.39785242289915423,0.3173422410042088,0.10990087937352008,-0.03526864202545046
2,rc11,comedy,1.6005899048595758,-0.4130223497364525,0.02737532799210137,-0.384198125478155,2.03125,-0.2333984375,-0.0027159730246746104,0.021033510318807982,0.08812326609429456,-0.019944704076300418,-0.04098721163066799,0.0008660367254908971,0.029052418937664307,-0.0801939139503146,0.06127633568334252,0.0021305806122297495,-0.03338253842072488,0.05008854616770933,0.32812908601084095,0.3322518785693972,0.7756844521885128,0.05710025492396402,0.02375436459609192,0.09776852932057985,0.09393511170202931,0.0766356560147968,0.23831333597024829,0.037175172101723164,-0.03283670423535334,0.16504298032859172,0.031420082430488654,0.04662183420239406,0.03705326817535513,0.032851329205320204,0.022890514595090734,0.017188519157196755,0.004622675026744322,-0.00493064130673684,0.12874401634924362,0.11095202998635652,0.06428065326637272,-0.002406679690583898,0.09552582833085961,0.030494078312567972,0.07702533774620487,0.09552582833085961,0.16504298032859172,-0.002406679690583898,0.09552582833085961,0.030494078312567972,0.04268645392022159,0.062426575469609884,0.12874401634924362,-0.015345474367821004,0.062426575469609884,0.09776852932057985,0.00834757009423834,-0.03283670423535334,0.07815318741481309,0.07702533774620487,0.09552582833085961,0.1060059255843973,-0.006865986347416756,-0.00826451037178039,-0.013209208767408508,-0.0018567514329676515,0.04084935998072214,0.011734150741818127,0.011959829496807062,-0.03301553054469017,-0.05590189960153716,-0.1016892421960222,0.09093440694699834,0.030693210912299713,0.010629917823271523,0.04276948011616501,0.07541571503981206,-0.01458491917614001,-0.030976426046817593,0.02496338618070732,-0.03911855401388406,0.046136647932761364,-0.031811625034218485,-0.03218611650331829,-0.00503483010832338,-0.002406679690583898,-0.028284269045058104,-0.0029509780130989585,0.025664992759254136,0.037175172101723164,0.07702533774620487,0.00834757009423834,-0.012306276966729476,-0.04801709913867577,0.09552582833085961,0.02932732260836014,0.040637776760225404,-0.03408561087816437,-0.016952743845827133,-0.011321458032273026,-0.0707723897559704,-0.07180385564110504,-0.03283670423535334,-0.06306513892815307,-0.12276422013225115,-0.1130291759549195,-0.06927433050089594,0.07726616219983536,0.030494078312567972,0.16504298032859172,0.09244505236989554,0.07536805726058225,-0.07573347689357862,-0.1294858443329204,0.07815318741481309,0.08322241038792186,0.0481739070512186,0.020577382433702024,0.05955715086357441,0.022151916411045587,0.0980893031239933,0.1060059255843973
3,rc12,comedy,1.4053790899341525,-0.27367442936991243,-0.17296455191701127,-0.24392039142586355,1.8387096774193548,-0.4425403225806452,-0.03903547096871697,-0.037718711598553466,-0.09093371663421497,0.02841033307945413,-0.02662006397072455,0.0970734508114541,0.015332659924095422,-0.03757384179155906,0.11265601884614602,0.0015691740116108572,-0.033970872453612355,0.03959858434112839,0.3993754641702683,0.30498476308926104,0.823447210650248,0.05365512246613024,0.09137493586678341,0.12878193366686325,0.1702258585166086,0.1765531752115203,0.4654829049073631,0.09048960525239691,0.09137493586678341,0.1242519065089295,0.05365512246613023,0.050497985431500365,0.05320313911730104,-0.041558307384258246,-0.037718711598553466,-0.025154383905856687,-0.02056104045371065,-0.022427182010587726,0.08364367514258944,0.12727192461421866,0.12692305341614918,0.016820639679863567,0.09137493586678341,0.2145284235574771,0.09048960525239691,0.09137493586678341,0.2145284235574771,0.06131860017470311,0.006999020259165468,0.1242519065089295,0.06733665830731875,0.014028459981443387,0.1702024316897089,0.029924034238529428,-0.014245576324780898,0.08364367514258944,0.09048960525239691,0.09137493586678341,0.11970143926728188,0.032130182031461,0.09137493586678341,0.2145284235574771,-0.02566153438290559,-0.05144162118423165,0.0292313906675669,0.0653306389297802,-0.009613003972155532,-0.0387343886868221,-0.011574379124891268,-0.04579005800668096,-0.027598959211405805,-0.046156577238261644,0.0013838313354502289,-0.15832334541003096,0.09566292985082024,0.16291322354129245,0.09635628238811005,0.048591170289337196,-0.054189482143202704,-0.07138629129485129,-0.03398201560247834,-0.08421073609238963,-0.03613211185782695,0.032130182031461,0.038743350291376134,0.016820639679863567,0.09048960525239691,0.04418371136224059,0.06131860017470311,-0.0014705316976442605,-0.035241545743060626,0.007873065524238318,0.09137493586678341,-0.06331801590389664,-0.1442600860233531,-0.050030063476566654,-0.022360328455734355,0.03766725455762719,0.006999020259165468,-0.03549017290872723,-0.10887902137048114,-0.03339740039120702,-0.026175945368796978,-0.02322353187421341,-0.03634481504512982,-0.03384309332037531,-0.06828182334927983,0.1276070944946316,0.07492290447665445,-0.1983785049649353,-0.26844440472623604,-0.19037567245118953,-0.016149959052667386,0.11970143926728188,0.1242519065089295,0.04303544377624939,0.2145284235574771,0.1258764398219407,0.1483348072444595,0.13788816591686534,0.12196975594724135,0.029210925300223477
4,rc2,comedy,1.510030655329531,-0.3298408937251207,-0.06318392153794324,-0.30101666946682326,1.9375,-0.3271484375,0.033513825804269884,-0.018549452427751488,0.11400293052940308,-0.04437959347277014,-0.08817263307938543,-0.10740328032833368,-0.02095051273296107,-0.04938085131774639,-0.0431001102823965,-0.010605426800487105,-0.05203431227496109,-0.012166820027109037,0.3537756237099487,0.2832943847042423,0.6891255483348795,0.05416300286241133,0.032762529207685874,0.22451741332060907,0.07047464434803148,0.08994910507327995,0.36535705881462277,0.07783535109782876,0.02784463224162488,0.22451741332060907,0.08286619916395618,0.053529788569725185,0.03678504263165259,-0.030147973595095585,-0.03404978604780357,-0.039117697142933866,-0.046888044033736954,-0.061999866889832195,0.17505552449023032,0.1395928743613159,0.1317700850435975,0.07783535109782876,0.02796593089048532,0.22451741332060907,0.08789704723008364,0.03755912752488643,0.22451741332060907,0.02636778979478953,0.02796593089048532,0.22451741332060907,0.08286619916395618,-0.013043078418756114,0.17505552449023032,0.004684503795011468,0.03276252920768588,0.17505552449023032,0.07783535109782876,0.03755912752488643,-0.09342866820785428,0.07783535109782876,0.03755912752488643,0.22451741332060907,0.06205378560755046,-0.04583919847737111,-0.02883773588515981,-0.04362881478836237,0.0032248295409072784,0.03112323021899889,-0.07859132955146321,-0.1085833349598799,-0.07587018976415885,-0.0282499373183024,0.1395928743613159,0.006670160458626034,-0.13974138873484046,-0.05624510165215737,-0.011110644568489314,0.020428958494739028,0.08789704723008364,0.07783535109782876,-0.0051430326187368175,-0.013449195182565208,-0.11892536763081132,-0.04151990866524614,-0.021487912042817983,-0.023505386947415288,-0.016459392077559993,-0.07094716035292818,-0.043479891934598974,0.02636778979478953,-0.01699878220476661,0.0003054810326989293,0.02784463224162488,0.02796593089048532,0.03755912752488643,-0.06364528436239868,-0.12247166843335543,-0.0496570358586355,-0.0644572526185854,-0.09351012537855556,-0.16778262688249881,-0.06545612465865185,-0.08522110052979466,-0.07693334410403005,0.014684709389157434,-0.026505084181720772,-0.07292943716234385,0.22451741332060907,0.12559363565985157,0.0686675741034871,0.10830171709044226,0.0429343124726254,-0.13122554818718957,-0.12684988687727658,-0.10545437643012,-0.18691990289712482,0.013433312750042456,-0.08873994949866026,-0.09342866820785428,-0.07829962374588868,0.054874330281911486,-0.009906640241490811
5,rc3,comedy,1.6557920434753075,-0.3630434187786788,0.07744840162414383,-0.3332893808346296,2.5483870967741935,0.3215725806451613,0.02249017126163427,-0.012586243902842142,-0.018400926740568802,-0.015596645244764461,-0.08075671683991432,-0.14995394750315838,-0.032272018369315425,-0.08741749124585381,-0.2582406689400139,-0.008459497450815204,-0.06025348399620342,-0.14219851439458037,0.37083879755785654,0.2932038800873876,0.5458722149332326,0.05566157328012027,0.039324714684541275,0.03688430146716258,0.045766330933234664,-0.02573477010425004,0.05948738262940017,0.10369822925772036,0.039324714684541275,0.08949519286804826,0.05566157328012028,0.04499023416143476,0.04282873936065759,-0.08432011902805171,-0.08075671683991432,-0.07670980728792853,-0.07729261730423082,-0.08797134243585761,0.043291757287282275,0.03072725367254794,-0.019069510942280193,0.10369822925772036,-0.0397508073570468,0.08949519286804826,0.10369822925772036,0.039324714684541275,0.08949519286804826,0.10369822925772036,-0.0397508073570468,-0.035772102164789744,0.06367289259089205,0.01879340778908299,0.043291757287282275,0.06367289259089205,-0.08568052736038409,-0.06402064143233963,-0.011926967193744042,-0.0397508073570468,-0.035772102164789744,-0.024879160886217125,-0.0397508073570468,0.08949519286804826,0.04499023416143476,-0.011482271123292332,-0.018372626043156714,-0.0288239396379237,-0.02860888461113802,-0.00012663391664408376,-0.034100708373775074,-0.09917655625172,-0.06792261500580295,-0.099940906433075,0.02361897488028052,-0.06621122016949171,-0.16571252632588757,-0.2653472390411974,-0.23734056131660558,0.007624917302520184,0.10369822925772036,0.023647555924063722,0.03634425495832612,-0.058864101134459106,-0.011926967193744042,-0.024879160886217125,-0.01604676296999714,-0.014191954273255888,-0.010938380900608098,-0.0330241494767788,-0.04250928853638423,-0.04246420671214134,-0.01977187126822767,-0.02359057585304509,0.039324714684541275,-0.0017378991063752805,-0.037966717328098254,-0.030019436516443485,-0.032531881247834925,-0.0397508073570468,-0.13161024736372137,-0.10512564933778731,-0.06079377205365139,-0.06650310808736476,-0.056475259527999616,-0.08078947740204448,-0.16272241835724519,-0.06710274429441386,-0.06999755664756593,-0.015726589933723105,0.08949519286804826,-0.0029116782934836853,0.005598246443079194,-0.16845980478676456,-0.035772102164789744,-0.09226918069988951,-0.21703035084091288,-0.18783804743686028,-0.21686005637333933,-0.2812403890937351,-0.29794127165651774,-0.2802986929730949,-0.2976260876951759,-0.13409690328154594
6,rc4,comedy,2.0541760621427114,-0.41364304243088357,0.48096148527523713,-0.38481881817258606,3.21875,0.9951171875,0.029096434378470426,0.002489108062051876,0.1457859899746906,-0.036749286124915924,-0.04194027374087005,-0.05352331469459019,-0.01973745190413837,-0.11631343746019428,-0.16856855933102127,-0.0091301012168613,-0.051921534379670814,-0.02543529468364029,0.35850168980626923,0.31313598016891664,0.7286656562009489,0.07835979613643876,0.06203971663035629,0.24624998076051802,0.08492618527695844,0.018612673575390384,0.3429343185077772,0.09248448241739793,0.06203971663035629,0.24775386139628247,0.07835979613643876,0.066759209095291,0.038840056034805656,0.003169345742907263,0.002489108062051876,0.00589907990564916,-0.0021837328544914766,-0.01067480199661711,0.18536221863245433,0.15284344293679297,0.12104596243717486,0.09248448241739793,0.06203971663035629,0.24775386139628247,0.09248448241739793,0.06203971663035629,0.24775386139628247,0.09248448241739793,0.022948939123635607,0.24775386139628247,0.06802125871519671,0.038838203079828854,0.18536221863245433,0.06802125871519671,-0.013865835145849912,0.18536221863245433,-0.035192689994626956,0.06203971663035629,0.2447461001247536,0.028762107597032276,0.06203971663035629,0.2447461001247536,0.066759209095291,-0.02437751774075103,-0.046019063273331225,-0.032645048160836194,-0.009368086004678991,0.013920022671414211,-0.002121862860115867,-0.05731317351446398,-0.07350508555760056,-0.14058757263758792,0.20515684579655408,0.01054827004729566,-0.05386133939029717,-0.13294773228618034,-0.1560725175855736,0.06423510985547957,0.09248448241739793,0.043558035012995475,-0.04491740314665034,-0.009878052246870474,-0.018337097828732277,-0.02427414461540686,-0.035192689994626956,-0.07859035520995984,-0.02735214297585371,-0.04296707531405274,-0.02761592619260215,-0.028142844501482325,-0.02872352110958697,0.028762107597032276,0.06203971663035629,0.015636689529301417,-0.03591633814541506,-0.029082685042613583,-0.0002318426613696304,0.022948939123635607,-0.05068060941533542,-0.0701122859914965,-0.05114662513655998,-0.06071078728459407,-0.06616291821762588,-0.09364155117058175,-0.18714187281580213,-0.1661275208159185,-0.06849332428104316,0.2447461001247536,0.24775386139628247,0.12297057586862624,0.08780589154547025,0.02565352093832053,-0.08181460234190385,-0.09751857198696509,-0.057361950015184515,-0.00670349616874193,-0.024217952960155633,-0.2000528795042853,-0.17457236439410018,-0.1834679228522227,-0.18468714305189432,-0.10006248685260394
7,rc5,comedy,1.5811525090681373,-0.17674735886635667,0.06358160468692756,-0.1503734164229068,2.4516129032258065,0.18649193548387097,0.035233016121533005,0.05756522439308969,0.19440456972559303,-0.05768473650149996,-0.07152363527171998,-0.1108021590974321,-0.00436774637680663,-0.05907403934519406,-0.012344375422522206,-0.008939822252257857,-0.024344150074608113,0.023752678401879564,0.3337899962645509,0.3507469000332156,0.7595375007987084,0.07037649156963666,0.09012241618020335,0.2507783637853787,0.09843606300040514,0.07816693373633217,0.23146829011330713,0.060224683813647775,0.08862351165234243,0.3194102255850357,0.060224683813647775,0.07037649156963666,0.0628311176321929,0.049800652578276504,0.030516429859250575,0.011505034757571052,-0.004310219029502616,-0.01391231791577169,0.317175065626056,0.25573225898438867,0.1974690866605608,0.060224683813647775,0.09162132070806427,0.18214650198572174,0.08052829932562554,0.09162132070806427,0.3194102255850357,0.047740369757305404,0.09162132070806427,0.3149399056670764,0.06413433454146548,0.08381338070129978,0.317175065626056,0.028072230905179508,0.08381338070129978,0.2238932756840652,0.060224683813647775,0.0760054406945353,0.006332472930555786,0.060224683813647775,0.09162132070806427,0.3194102255850357,0.0628311176321929,-0.024313892333815153,-0.049560228095592386,-0.035660373656556214,0.002004265192481566,0.08541675768498067,-0.005014870702115537,-0.08796023087414218,-0.034877518872758174,-0.07928488760900537,0.27216554441261126,0.009709495906344172,-0.1323979677917723,-0.008130159840343622,-0.022583520677441675,0.060224683813647775,0.08052829932562554,0.047740369757305404,0.008404092053053584,-0.020732364341967287,-0.06061340471253179,-0.04503232115588918,-0.07063630136603835,-0.033012061764849616,-0.07912959350819085,-0.0332719417735381,0.005420414312060271,0.020067950397662977,0.01588382180661207,-0.029938976626830358,0.08862351165234243,0.09162132070806427,0.0760054406945353,0.03521809031666728,-0.003642241406160765,-0.04662046101685312,-0.08355194075082661,-0.0992017417519447,-0.08112701011965522,-0.047117022719320306,-0.02414152352687788,-0.03337401037207635,-0.09122727757742582,-0.0951580267895543,-0.051469358460036016,0.18214650198572174,0.3194102255850357,0.3149399056670764,0.132846645701054,0.02267956968907718,-0.12639772767109864,-0.19330579538321255,-0.21022058092266013,0.006332472930555786,-0.03041916444074493,0.00855925620749137,-0.0025305712877773463,-0.08909307815741009,-0.002630283493520483,0.023972799618605538
8,rc6,comedy,1.542624207049731,-0.30360716861056386,-0.030590369817743372,-0.27478294435226625,2.1875,-0.0771484375,0.006690868472815657,0.047161241841350246,0.052859130166147655,-0.008344842981897525,-0.051054166870147855,-0.011877752249645372,-0.028580274726622994,-0.04848889400329334,-0.10640079654929122,-0.0100780830785683,-0.017460606344030315,-0.021806472877596295,0.33929414197001506,0.30325250403740783,0.7200580493927299,-0.00866468237024532,0.09871286762521612,0.14462704271976995,0.03686524130325679,0.08923144709739861,0.20393598242515698,0.034197125591494924,0.09871286762521612,0.17444895498106663,0.015407561000222387,0.009823305273615985,0.012580687595850418,0.034273335395383776,0.03229538880493429,0.017695408787832847,0.008978918057032268,-0.0005161711078833153,0.13544440331252286,0.0873234761995191,0.06284630322350242,0.034197125591494924,0.07328727799070898,0.09643985164397906,0.04049529429175862,0.09871286762521612,0.17444895498106663,-0.001345206179596816,0.07328727799070898,0.09643985164397906,0.030231939697941374,0.08600007280796255,0.13544440331252286,0.00975381419147847,0.04712866872496791,0.04376073680874536,-0.02197999461374558,0.07328727799070898,0.09643985164397906,0.019968585104124126,0.011251148391489012,0.17444895498106663,0.0008797401212111656,0.009823305273615985,-0.00613300470538176,-0.018006627103620342,-0.036953828978666545,0.06432340169171731,0.022406535524911907,-0.05520210429591272,-0.08020896029863517,-0.03862190434223294,0.058924725737749206,0.02564541930431434,0.04444033009274269,-0.1544945209100981,-0.08354831861268971,-0.05782465903224926,0.04049529429175862,0.019968585104124126,-0.0033820035910501617,0.034197125591494924,-0.001345206179596816,0.020852834562553758,-0.05769029109338372,0.018438442414684664,-0.02197999461374558,-0.01071418483676307,-0.021325701860352396,-0.030420665080212572,-0.042575956816949805,-0.03786486503883724,0.09871286762521612,0.07328727799070898,0.020970059459226826,0.011251148391489012,0.03158485574011029,0.02438360244313642,-0.05530449129767452,-0.04332002632777125,-0.06698179526229239,-0.11404812390613756,-0.10688891657256377,-0.0196898404172042,-0.048064469752705695,-0.054660314260678314,-0.013140929013314817,-0.11247990822629227,0.11480513045847325,0.17444895498106663,0.09643985164397906,-0.00891837802648835,-0.010585215704547709,0.015701756105300103,0.14302112742802814,-0.025401893255100148,-0.18212453582190727,-0.15837661626000654,-0.12298241064838047,-0.1484708539583426,-0.0613910057406458,-0.04078309613908071
9,rc7,comedy,1.576731327558421,-0.5416586646420372,0.0035167506909466947,-0.5128344403837393,1.9375,-0.2861328125,0.032478828839623955,0.030666785959106418,0.1038928227606976,-0.024932474698271898,-0.129044535241457,0.04424091460120339,0.009731660571950306,-0.0814153743348104,0.14164896854745707,0.005759338237767441,-0.05993104120572032,0.09659423530311935,0.3717712039908098,0.3349577998613896,0.9277862424635999,0.08781858579015445,0.11320792282785924,0.19604511347652517,0.07685804905574821,0.15529444266272743,0.37378099584839786,0.08781858579015445,0.11054892744487378,0.17031945330631956,0.08781858579015445,0.07687674426710597,0.0617962046851894,0.01069625058766459,-0.013814657075167647,-0.020781209283835794,-0.03735065210055048,-0.056385129841281675,0.1783821744331159,0.12898854379982536,0.0894693161689066,0.0659349027440575,0.1158669182108447,0.18644489555991217,0.08781858579015445,0.1158669182108447,0.2387204357955257,0.0659349027440575,0.1158669182108447,0.2387204357955257,0.07687674426710597,0.03913742666611355,0.18424404054424479,0.04878501413270689,0.03913742666611355,0.18424404054424479,0.0659349027440575,0.1158669182108447,0.17031945330631956,0.026761134745635837,0.11054892744487378,0.18644489555991217,0.0617962046851894,-0.04236871517318207,0.010334247439678835,-0.014707058712130497,0.013742012949281596,0.06294126025903361,-0.049116046236021775,-0.12733591778480507,-0.10404163780364124,-0.08210286446316714,0.12898854379982536,0.09078810112875091,0.009577943058434988,0.07966396444658079,0.17395262408200474,0.08781858579015445,0.0659349027440575,0.031635125521356264,-0.04462732856079053,0.021632858703342226,-0.10411167566209786,0.017958509440774942,0.023937211468570287,-0.010892978590308711,-0.05155344014829815,0.0028935285214589544,0.004538735490447761,-0.025501576066832163,0.026761134745635837,0.03996648016904113,0.11054892744487378,0.1158669182108447,-0.03759206487861764,-0.019623566341572713,-0.015866284639996016,-0.11185828772649661,-0.05561397032717651,-0.1367673090008386,-0.18962647402640018,-0.1513566351263732,-0.12938293674286339,-0.031385341541687165,-0.06496512973866338,-0.10364464644183008,-0.07769881720900798,0.17031945330631956,0.18644489555991217,0.030201282533244257,-0.029088366723849644,0.1615868491278616,0.13986582098224074,0.023396382849327255,0.003653688635882335,0.0016837576900954158,0.052604922848471236,0.07473241249806033,0.11165455799321075,0.15336979115752464,0.2387204357955257,0.1297676452929639
