Participant,Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset
sub-01,rh6,Horror,12.0,42.0,30,2,2,3,0.003627044536217794,0.008211552622147561,-0.15381084315082472,-0.05269729849471912,-0.13597775633621556,0.1927329265325996,-0.03626933267603295,0.07854995601396002,-0.008769355273841397
sub-01,uh1,Horror,60.0,90.0,30,4,2,2,0.15719122293811844,-0.10994479074418687,0.09378026733597175,-0.020060906891415875,-0.24952498146289687,0.004605972091581733,0.20030964266600332,-0.0005145041904234414,0.32810717502460307
sub-01,rc2,Comedy,108.0,138.0,30,4,4,2,-0.06452161020863881,-0.02301432562100012,0.12093928463876549,0.18210488526446483,0.16595322228759304,0.5204710364537106,0.17564226641777483,-0.044001654341273636,0.05182737985205053
sub-01,rh2,Horror,152.0,182.0,30,2,3,3,-0.12773038017338073,-0.12817526345749983,-0.1662085488382897,-0.14817685278214188,-0.07174945484046782,-0.395632514554275,0.20953599301354647,0.24722791312820647,0.3425282517971193
sub-01,rh1,Horror,196.0,226.0,30,1,2,3,0.16556338607988944,0.4240032366887231,0.4188477194781033,-0.0674193693865376,-0.09162167926714902,-0.0732720519387496,-0.06250763700066296,-0.14998192993317772,0.4229080712914778
sub-01,rc9,Comedy,244.0,274.0,30,1,1,1,-0.06797116096203902,0.08144853382780376,-0.4441077027832244,-0.042862257401735604,-0.1912891960352247,-0.31255351159493405,0.060838146970806736,0.24912159806940717,0.588879359523818
sub-01,uc4,Comedy,288.0,318.0,30,2,3,1,-0.08244537558575293,-0.17719373829506466,-0.1491437153847401,-0.23401450073916202,-0.20492294689035617,-0.31362904804504266,-0.05244157772966725,-0.13657717203956402,-0.20407008695605522
sub-01,rh9,Horror,332.0,362.0,30,3,3,3,0.13902812704812623,-0.0451283968015527,0.2264128597223199,0.30540966829670074,0.08173120457126844,0.03817699829627413,0.07567623822423812,0.11644108444553683,-0.027183434428926935
sub-01,uh2,Horror,376.0,406.0,30,1,2,4,-0.0560267245529948,-0.2717616804761379,0.32494079370005274,0.1696452398436986,0.10695375592109294,0.30569016338894134,-0.17215614553537156,-0.2770724821238776,0.07629595114169202
sub-01,rc6,Comedy,420.0,450.0,30,4,4,2,0.1705635660125442,0.054819920061601114,0.6993703963776526,-0.14888039891311627,-0.36931367659270053,-0.21935810464050548,0.07066134684520246,0.04974217493752238,-0.13346675860680196
sub-01,rh3,Horror,468.0,498.0,30,3,3,3,0.10396332259234894,0.3007061704791173,0.2636184861800356,0.06259498993267473,-0.13314994030490135,-0.0037696887465768158,-0.20879964741892088,-0.18598716564800083,-0.27284685885354454
sub-01,rc11,Comedy,512.0,542.0,30,4,4,2,0.24991149122642145,0.371177792408072,0.22326717083891606,-0.17357800528417175,-0.30777675966707435,-0.3836390108523303,0.00736822571250777,-0.01682028984240754,-0.28570176129658503
sub-01,uc1,Comedy,560.0,590.0,30,3,3,2,-0.1315991475675529,-0.19139124888700804,0.16901210211118978,-0.02238084117763424,-0.14146819235719837,-0.4817936292721015,0.026592589300910425,0.144711584468676,-0.3484830551573784
sub-01,rh11,Horror,608.0,638.0,30,4,2,4,-0.10200552794085352,0.0904000756049763,-0.05349249703938406,-0.17045742181106913,0.039401359623447235,-0.1891536402074355,-0.12014427780312742,0.1275294728191304,-0.10632222469067762
sub-01,rc12,Comedy,656.0,686.0,30,2,3,1,-0.20348011704524938,0.11748744400320599,-0.2418138798449899,0.08962370018489138,-0.24051104724517486,0.3294182175948146,0.1172936955557814,0.08243020852822973,0.36785997791106556
sub-01,rc5,Comedy,700.0,730.0,30,3,2,1,0.3445749126001076,-0.04032100026907724,0.686714822865478,0.00048587430700769706,0.04162434434513422,-0.12969309053794045,-0.027612918853692315,-0.00559963649030974,-0.5866591736215636
sub-01,rc3,Comedy,12.0,42.0,30,2,3,1,0.0282037118724082,0.03743310905452065,0.0314636402164999,-0.11928872812655118,-0.11439016002222793,-0.20155350010852743,0.08889990841583266,-0.06217977267203319,0.024548482714168308
sub-01,rh12,Horror,60.0,90.0,30,2,1,4,0.01582536279221905,0.0411735436794999,0.15086451707501267,0.04289546685368962,-0.4429449385850939,-0.3980510199448176,0.06503620622546921,0.3527913254087587,0.058288544400440304
sub-01,rc1,Comedy,108.0,138.0,30,3,3,2,-0.0039465224050116154,-0.03187562266112148,-0.021532678327660815,0.11884376837030688,-0.1574486413914248,-0.27347168285930196,0.16443454489075165,0.2754824432315982,0.43822268632955164
sub-01,rh7,Horror,152.0,182.0,30,4,3,4,-0.44228871836652794,-0.8214297316104491,-0.5593357719591016,-0.22934295519595005,0.04965529104642952,-0.059816039897899874,0.1454898393996187,-0.1166651537423283,0.2678069833010902
sub-01,rc8,Comedy,200.0,230.0,30,3,3,1,0.07703228947754816,-0.11871318429600128,-0.26320963318336327,-0.03749910274335502,0.03720487306050475,0.2559632454803853,-0.2952791938238124,-0.22528403162591584,-0.7169189749739887
sub-01,uc3,Comedy,244.0,274.0,30,1,2,2,0.05476521872718175,-0.16154870415781647,-0.11365986575300369,-0.07008705003786767,0.03836414826281841,-0.16870814397900932,0.02819702891606176,-0.2753336671927606,-0.06221960632484318
sub-01,rh10,Horror,288.0,318.0,30,4,1,4,-0.09588325790013716,-0.17866674543961908,-0.16786398032155495,-0.31611085856039434,-0.1655020163773579,0.10308631341734906,-0.02567965126449674,0.10033817695918223,0.026947661017380598
