Participant,Trailer,Type,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled,Frontal_Pole_ISC,Insular_Cortex_ISC,Superior_Frontal_Gyrus_ISC,Middle_Frontal_Gyrus_ISC,IFG_pars_triangularis_ISC,IFG_pars_opercularis_ISC,Precentral_Gyrus_ISC,Temporal_Pole_ISC,STG_anterior_ISC,STG_posterior_ISC,MTG_anterior_ISC,MTG_posterior_ISC,MTG_temporooccipital_ISC,ITG_anterior_ISC,ITG_posterior_ISC,ITG_temporooccipital_ISC,Postcentral_Gyrus_ISC,Superior_Parietal_Lobule_ISC,SG_anterior_ISC,SG_posterior_ISC,Angular_Gyrus_ISC,LOC_superior_ISC,LOC_inferior_ISC,Intracalcarine_Cortex_ISC,Frontal_Medial_Cortex_ISC,Juxtapositional_Lobule_Cortex_ISC,Subcallosal_Cortex_ISC,Paracingulate_Gyrus_ISC,Cingulate_Gyrus_anterior_ISC,Cingulate_Gyrus_posterior_ISC,Precuneous_Cortex_ISC,Cuneal_Cortex_ISC,Frontal_Orbital_Cortex_ISC,Parahippocampal_Gyrus_anterior_ISC,Parahippocampal_Gyrus_posterior_ISC,Lingual_Gyrus_ISC,TFC_anterior_ISC,TFC_posterior_ISC,TOFC_ISC,Occipital_Fusiform_Gyrus_ISC,Frontal_Opercular_Cortex_ISC,Central_Opercular_Cortex_ISC,Parietal_Opercular_Cortex_ISC,Planum_Polare_ISC,Heschls_Gyrus_ISC,Planum_Temporale_ISC,Supracalcarine_Cortex_ISC,Occipital_Pole_ISC,Left_Thalamus_ISC,Left_Caudate_ISC,Left_Putamen_ISC,Left_Pallidum_ISC,Brain_Stem_ISC,Left_Hippocampus_ISC,Left_Amygdala_ISC,Left_Accumbens_ISC,Right_Thalamus_ISC,Right_Caudate_ISC,Right_Putamen_ISC,Right_Pallidum_ISC,Right_Hippocampus_ISC,Right_Amygdala_ISC,Right_Accumbens_ISC
sub-13,rh6,Horror,-0.2530697953720275,0.0297729171025914,1.0,-0.4956932424210397,-0.3367664746285432,-0.7117804717595834,-0.37119036461655,0.02247507191853258,-0.21435525742565037,-0.14068306267797828,-0.35152823107742714,-0.0016486081554029407,0.3893911684589587,-0.15040798334230593,-0.5413982080579088,-0.02768059149542772,0.057087077819560524,-0.33460823702992454,0.10104922213852417,-0.05396331709798784,0.15294438353432105,-0.008926173657486219,-0.3111945929407356,-0.7512154933680052,0.16867780480688926,-0.4305750070068007,0.3845462194693008,-0.6628575051667052,-0.07222578081973298,-1.0364658404749587,-0.4792056203864196,-0.20883184397056453,0.13468283318999558,-0.2729199395696218,0.2835699876648505,-0.5467358821990546,-0.6361794008136805,-0.2424412118673258,0.3175640883018804,0.44221516843433667,-0.07981216217290837,0.06557771900018325,0.6640657994382173,0.10711379342367215,-0.340194699458998,-0.826322648786916,-0.5628131607986078,-0.4052382036583364,-0.2779267159379721,0.28497755528778695,0.27623899952268277,-0.43402761738359663,-0.7063547796295914,-0.5477345353666583,-0.46756802237617956,-0.9197052597233177,-0.8227247773973524,0.15846358796464585,-0.22617976883023083,-0.6001148250471706,-0.7677134506848116,-0.5151202573565717,-0.5125700126483651,-0.42684816637274314,-0.4479051441804468,-0.04514575154228603
sub-13,uh1,Horror,0.327502088128506,0.0446593756538872,1.0,0.5436485699066218,0.12837595953065858,0.24327573383295936,0.5549175334713133,0.12787505640432215,0.5590815523824832,0.1730616059853778,0.18302571708997115,-0.07552939101909018,-0.0717040004266623,0.2809448134943774,0.5065810702179161,0.27232499057460213,0.07241185540003828,0.5441059471019515,0.4843607888462017,0.35597268354719663,-0.3655862040778533,-0.018865357917018696,0.04288983529124759,0.21161889968526806,0.002169556436704147,0.6146986062703753,0.991716714829142,0.21153018123038056,0.36200705353063045,0.07130997869029447,0.3383951845454714,0.13479467074371235,0.645220038255226,0.30949961440295515,0.4126918551539106,0.12233006374214277,0.2536507866683228,0.06237398789849751,0.6390373028998408,-0.06917283434424602,0.39649772392855476,1.0181791972530758,1.1208164352270529,0.133516969473737,0.269793959919641,0.14361322650268557,0.1513826515011812,0.056405231100139175,0.08741645025525903,0.7197848284304964,1.145312239003839,0.2867928313905947,0.43017218770994187,0.07407273006846544,-0.14492019703886058,0.4639813240546199,0.08063778314328907,-0.24804381973942516,-0.33172084823372355,0.19346221031655075,0.19592384091403717,0.1119226724031877,-0.15000031567813152,0.3647284546902609,0.1259454657212372,-0.018522582291340687
sub-13,rc2,Comedy,-0.5507989663979422,-0.2679562539233232,-1.0,-0.8096927103655455,-0.38000889195049165,-0.42739450159537823,-0.6841115717371815,-0.036430113309316094,-0.05159147810466114,-0.2227367847207413,-0.0119655471479049,0.10245255111148353,0.09436262877662972,-0.25473816513655895,-0.6824699551578313,0.22680934470870295,0.21879021631563034,0.14024970705242631,-0.2310098817149412,-0.18483293183637878,-0.7481718770126284,-0.06680634215641781,-0.6189304096111374,-0.2310192426833943,-0.3033881648565399,0.3404465442736196,0.289699960969547,-0.678519578964044,-0.206275982572826,-0.32193182039618984,-0.22371257225087487,-0.4617732891502258,-0.4857101877581191,-0.6244562202887344,-0.01511818689134394,-0.16060992801000365,-0.6286995439731117,0.01905160948730531,0.21547363492781793,-0.15105334755462965,0.18497837257782823,0.2935799839081049,1.1832078391949272,-0.3660075400780259,-0.3817731710344043,-0.29491078639708473,0.15955721806191708,0.06179881004635198,0.10738532707937298,0.3189906668724014,0.4698912148593112,-0.5689291344624389,-0.4870902281662718,-0.3989508712900961,-0.018305494693903388,-0.037251493544514055,-0.06877444621847235,-0.459527869130037,-0.20567133000325388,-0.6647844536209867,-0.6551316475953961,-0.43150585010018944,-0.33988935979598967,-0.252756116006052,-0.03243452688624406,-0.28404839654638836
sub-13,rh2,Horror,0.0446593756538873,0.3275020881285062,0.0,0.07384092160863327,0.006398969605043733,0.0354834758331326,-0.08261888452848891,0.07757750836285268,0.04898611367528524,-0.4710100002097541,-0.30131993471653806,0.12281246718473264,0.21639702587801843,-0.4012299404603497,-0.3147364331059772,0.29208138892358854,-0.10544086555046611,0.27463443840197216,0.5226868855394595,-0.6706822617333174,-0.5187400276242718,0.14798003609206573,0.3049407104300507,-0.025944360345586632,-0.28174512835316357,0.15434693735564523,-0.011539635173648555,-0.12843661592714853,-0.3200741730200162,-0.2318221527915942,0.44344594901328577,0.23370699471730697,0.2684165658189826,-0.024457327255259988,0.5649670422663969,-0.057704986127689754,-0.4138506170540803,-0.3844265930664925,-0.3775353698630823,-0.3757109685652454,0.098022267405983,0.05935743277917138,0.3414366686742133,0.050365863201431924,-0.3384990240126616,-0.26732906035245835,0.25496516450123197,0.18141507506853585,0.16390740585150965,0.07269753918228379,0.19877852780232258,-0.25253075609680287,-0.34070494145452385,-0.17258102381550572,-0.1689916729171311,0.26036103541507094,-0.1266191055243294,-0.4072381259390372,-0.11640365149853196,-0.21622549076440264,-0.20436674597795382,-0.12516846550600413,-0.04351501050922041,0.495172026242997,0.13233603222245144,-0.07809175567910462
sub-13,rh1,Horror,0.327502088128506,0.0446593756538872,2.0,0.32112963415839413,0.32417450356206157,0.27254519466195687,0.4635459008634487,0.15157371540863213,0.24379081844734835,0.21097777747782384,0.3644783548358386,0.5460833710862463,0.5726173184331478,0.4791208152913755,-0.23935548137254442,0.8695787198770042,0.22762586114513142,-0.07917209173163121,0.1280312737393424,0.3035185114621455,0.47950913887761426,0.7070451317802334,0.6793736361984034,0.6228085507163353,0.5366596046295428,0.7046106688331901,0.943864686240609,0.1702578940293939,0.2164810508531427,-0.06885448376765521,0.16471041749528523,0.28364903719052453,0.44669764189353284,0.30240421130194806,0.6863693856370475,0.11979030177741691,-0.1158493353796337,0.20446089658474556,0.33963561239509243,0.19122359952475088,0.2766221007471072,0.27271361171523884,0.35346789028883935,-0.04874000644374263,-0.08475538075000177,0.056543047111632334,-0.12746796373244207,-0.02009067422801153,-0.00972415208705509,0.594276365631438,0.09472498795045463,0.1945664682389708,0.2132902273285821,0.2990880381739864,0.06213040715452841,0.42324318775884784,0.5602224731688684,-0.2492605673266069,-0.08077416859258957,0.24486616658733124,0.2656288721288434,0.24040424166799812,0.2760826910679956,0.4425243943582072,0.16442025038266922,0.07712281971894984
sub-13,rc9,Comedy,0.0297729171025915,-0.2530697953720274,0.0,0.600949515348754,0.44707211300013683,0.6963392830954958,0.5389891650461694,0.5591130292833998,0.1579644191028527,0.3401087775075055,0.7932129859403643,0.8346323508001191,1.0344519122376876,0.5503264577202263,0.4151076563149328,0.26189451840469974,1.0156066081258903,0.22096233305877347,0.14935797716568217,0.5041967964342832,-0.1491480312812221,0.028953117450531238,-0.19768654974405955,0.16791555705317,-0.03816020692434277,0.9115356183910083,0.4710502675207756,0.4777112464297136,0.6017588377559049,0.22432796500624047,0.45894429964247657,0.15125853569981157,0.6179801321819693,0.2533108508873988,0.8917805940113808,0.2980010762066849,0.08515988847696575,0.14260735354464465,0.02647262277513266,-0.002887880285029738,0.06998372979221866,0.36462283293508974,0.726415239921013,0.08128845487425568,0.5260898572205458,0.3986778285785766,0.22249855852493583,0.13526355715067617,0.3773651457406307,0.7902593133128942,0.6326629561039593,0.5131883981787394,0.24124808939070658,0.6448885271723572,1.044376421700007,0.5465355907254843,0.3948112208761035,0.338250196368149,0.5084417417062403,0.5658133751224823,0.3127260193467855,0.5457937993330678,0.7394385242501462,0.1160037746188393,0.24435104419423248,0.15557826503387262
sub-13,uc4,Comedy,0.327502088128506,0.0446593756538872,0.0,0.30165026158334957,0.1157216334768446,0.010518204166983494,0.2436837807224491,0.5731811778261192,0.7928061019019272,0.13637816820773574,-0.0714975517928028,0.09762450172103884,0.0004627249568128563,-0.10709797923829138,-0.03274289295111754,0.8468127539042184,0.38714642645051167,0.05534115190125091,0.6879927345653454,0.10486498585818266,-0.07858840505500841,0.5482803050550636,0.4073230165969821,0.6135934405864604,0.4706779379320724,0.9092214078037893,0.42976062146410915,-0.5110487716042872,-0.032043630585333195,-0.3263157458441148,-0.17781389132215789,-0.04447606171933937,0.2609259705724314,0.3063814832635567,0.18630424765607176,0.1845018553519477,-0.09931213749623348,0.1336080737554027,0.31724094621484716,0.21680846711111082,-0.07493891391262772,0.5956720338436585,0.6725903206015938,0.4254221780013861,0.04149335207586295,0.36166842811374145,0.14093930435944257,-0.09596974128770336,0.04940972806596289,0.4466195631417742,0.5999567793197622,0.26445336061127567,0.28666372505187854,0.14192339572236917,0.16462564182130154,-0.06105311430915999,0.49759504514835246,0.08222392447001711,0.31677400133995465,0.2528206964609452,0.36174985251517267,0.03970689046301424,0.06017264077011053,-0.009055069929413176,0.06341439662631293,0.14762888226851878
sub-13,rh9,Horror,0.327502088128506,0.0446593756538872,1.0,0.21261527080292486,0.3543072411099557,0.690278484067152,0.29030008740854446,0.6193677114688447,0.25071862737686373,0.2222745349506099,0.7571883118742763,0.6430770061741159,0.5958852588484922,0.629437415217541,0.38021560846940305,0.7273752058765656,0.6493452120786192,0.2910323443378211,0.5064701432448736,0.023213830635622913,0.3224899121625027,-0.08267045206968243,0.21399456349967963,0.567063655784681,0.23608940607654408,0.8400792515986566,0.22822219054032464,0.605567103168295,0.005284861908576065,0.5882685491535541,0.7540001136911376,0.6145012762402949,0.2253577778585059,0.3497628348861472,-0.0026497922362556134,0.7582340509083615,0.6613972144282362,0.5006443139818416,0.5363808409099263,0.3836481361658647,0.7543931780101836,0.7166539090132928,0.6355504475879997,0.08917231746291945,0.27261230668658404,0.6375264601143524,0.5969545852745469,0.9860769816182184,0.6806418213831591,0.2091301073955662,0.6559389688347188,0.38755815830330137,0.5274147919995611,0.38886851508082215,0.546735304264038,0.1746325661144299,-0.0029395717889360087,0.19223675524073114,0.5120651473356904,0.29262393423197913,0.42175724267807624,0.3767971981088182,0.39732218315856166,-0.13974330729742473,-0.038837439737253614,0.3647669986036333
sub-13,uh2,Horror,0.0297729171025915,-0.2530697953720274,0.0,0.5746828544382125,1.0257372604687893,0.595173935327992,0.4678039576625679,0.08538646553846391,0.5665307028015377,0.813942004635581,-0.10829561314863827,0.39845093782088287,0.19275136310649454,-0.03242028943604628,-0.0056889837390596875,0.8742998078546892,0.2360357921766738,0.567574662729655,1.0142824798434722,0.652737011299864,0.6668374330256954,1.1886268446989634,0.5436841736322883,0.19446649010780076,0.805136400752599,0.7454140550994073,0.899814213247497,0.5148800286865595,0.9965398593977879,0.6285733495485774,1.0003741903127406,0.560261726359745,0.6688625075053456,0.18397927778982778,1.3335954943457904,1.1329438343790859,0.7044080427410112,0.6095618856359747,0.8410611166194231,0.31386664585610585,0.6330022587186324,1.0810079224073297,0.747462216759212,1.1193558512482003,0.7936144458007316,0.5261968107917084,0.7654480427451776,0.5716688414653455,0.1268443949493289,0.5842253714276929,1.059850835295176,1.2448065075574015,0.9968097671246645,0.8814786446462712,0.9622390942892675,0.29558012985903787,0.7152582750487139,0.36761429679840496,0.6933554753864428,1.085316996211553,1.0590323607184782,0.9698080354469057,0.9992188094592613,0.834850168730744,0.7693361928697471,0.45719501910452087
sub-13,rc6,Comedy,-0.2530697953720275,0.0297729171025914,-1.0,0.7431487627192208,1.0181237303357735,0.3681203202598939,0.4408471933774017,0.6434071890339144,0.6664604731357996,0.817565052757758,0.46512357803957005,0.5576160725020732,0.4685024800649982,-0.17816448766067872,0.23183162330345755,0.3980629126892174,0.3597493400250798,0.45050867304591463,0.7660162746655604,1.061704625679281,1.2328350144489075,0.8640025613119175,0.3376006080830255,-0.24796365954659322,0.6201472064387191,1.2464465143310188,0.8279628942729682,0.5549952027469889,0.9727188250377886,0.8329655386381323,0.8418021566285692,0.5760525716243117,0.9331524250075708,0.3019936534720688,0.7177115233376666,1.0237135838933422,0.8061477051613123,0.22962424206510526,0.7501839685275243,0.4747671681953369,0.4199514836091601,0.8615349013016398,1.1179989374026509,0.6196936121910213,1.0183492211165115,0.45343561237897734,0.743827428877878,0.5823465637255844,0.6332245974747646,0.7301826482543726,0.8044720445046036,0.8063933427577211,0.9387628126516997,0.6639203419879816,0.9687102440449471,0.2929391013819113,0.88721283125472,0.6666612041051777,0.7649945995774218,0.7757205589890614,0.8103805451521039,0.6508104967607201,0.7783181909393395,0.23871018261823881,0.6912703676083094,0.9353097475451205
