Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,Pos_arousal,Neg_arousal,Pos_arousal_scaled1,Neg_arousal_scaled1
rh6,Horror,12,42,30,3,3,2,1.6649606479002392,0.22065743526388715,0.41982639122224125,1.2978320041166598
uh1,Horror,60.0,90.0,30,4,3,3,1.905677850006298,-0.02005976684217159,0.8228597267955934,-0.11798472764696917
rc2,Comedy,108.0,138.0,30,1,1,2,0.5549868826334131,0.07355247842129571,-1.4386051005882146,0.43261066803888665
rh2,Horror,152.0,182.0,30,4,3,4,1.905677850006298,-0.02005976684217159,0.8228597267955934,-0.11798472764696917
rh1,Horror,196.0,226.0,30,4,3,2,1.905677850006298,-0.02005976684217159,0.8228597267955934,-0.11798472764696917
rc9,Comedy,244.0,274.0,30,3,2,3,1.3506909673728849,-0.09361224526346726,-0.10635601910963476,-0.5505953956858555
uc4,Comedy,288.0,318.0,30,2,1,3,0.7957040847394717,-0.167164723684763,-1.0355717650148628,-0.9832060637247423
rh9,Horror,332.0,362.0,30,3,2,2,1.3506909673728849,-0.09361224526346726,-0.10635601910963476,-0.5505953956858555
uh2,Horror,376.0,406.0,30,4,3,3,1.905677850006298,-0.02005976684217159,0.8228597267955934,-0.11798472764696917
rc6,Comedy,420.0,450.0,30,2,1,2,0.7957040847394717,-0.167164723684763,-1.0355717650148628,-0.9832060637247423
rh3,Horror,468.0,498.0,30,4,4,4,2.2199475305336525,0.29420991368518284,1.3490421371274695,1.7304426721555464
rc11,Comedy,512.0,542.0,30,3,2,4,1.3506909673728849,-0.09361224526346726,-0.10635601910963476,-0.5505953956858555
uc1,Comedy,560.0,590.0,30,1,1,2,0.5549868826334131,0.07355247842129571,-1.4386051005882146,0.43261066803888665
rh11,Horror,608.0,638.0,30,4,4,1,2.2199475305336525,0.29420991368518284,1.3490421371274695,1.7304426721555464
rc12,Comedy,656.0,686.0,30,1,1,2,0.5549868826334131,0.07355247842129571,-1.4386051005882146,0.43261066803888665
rc5,Comedy,700.0,730.0,30,4,2,3,1.5914081694789435,-0.334329447369526,0.29667731646371703,-1.9664121274494848
rc3,Comedy,12,42,30,4,3,3,1.7329290091127876,-0.07726435072477404,0.6872824988554064,-0.4191792123290098
rh12,Horror,60.0,90.0,30,2,2,1,1.0044365594220614,0.09933987950328083,-0.8836489270998071,0.5389447015658695
rc1,Comedy,108.0,138.0,30,4,3,3,1.7329290091127876,-0.07726435072477404,0.6872824988554064,-0.4191792123290098
rh7,Horror,152.0,182.0,30,4,3,2,1.7329290091127876,-0.07726435072477404,0.6872824988554064,-0.4191792123290098
rc8,Comedy,200.0,230.0,30,2,1,3,0.728492449690726,-0.17660423022805477,-1.4786987096585997,-0.9581239138948786
uc3,Comedy,244.0,274.0,30,4,3,4,1.7329290091127876,-0.07726435072477404,0.6872824988554064,-0.4191792123290098
rh10,Horror,288.0,318.0,30,2,2,2,1.0044365594220614,0.09933987950328083,-0.8836489270998071,0.5389447015658695
rc4,Comedy,332.0,362.0,30,4,2,4,1.456984899381452,-0.35320846045610954,0.09223271629661357,-1.9162478277897574
rh4,Horror,380.0,410.0,30,4,3,2,1.7329290091127876,-0.07726435072477404,0.6872824988554064,-0.4191792123290098
uc2,Comedy,428.0,458.0,30,2,1,3,0.728492449690726,-0.17660423022805477,-1.4786987096585997,-0.9581239138948786
rh5,Horror,476.0,506.0,30,3,3,2,1.5066548391330925,0.1490098192549212,0.19934167715719642,0.8084170523488041
rh8,Horror,520.0,550.0,30,3,4,1,1.782598948864428,0.4249539289862569,0.7943914597159891,2.3054856678095526
rc10,Comedy,568.0,598.0,30,4,3,4,1.7329290091127876,-0.07726435072477404,0.6872824988554064,-0.4191792123290098
uh3,Horror,616.0,646.0,30,4,4,1,2.008873118844123,0.19867975900656165,1.2823322814141986,1.077889403131739
rc7,Comedy,660.0,690.0,30,1,1,1,0.5022182797110307,0.04966993975164041,-1.9666395313568101,0.26947235078293474
uh4,Horror,704.0,734.0,30,3,3,2,1.5066548391330925,0.1490098192549212,0.19934167715719642,0.8084170523488041
