Trailer,NAcc_GLM_long,AIns_GLM_long,vmPFC_GLM_long,NAcc_GLM_seg1,AIns_GLM_seg1,vmPFC_GLM_seg1,NAcc_GLM_seg2,AIns_GLM_seg2,vmPFC_GLM_seg2,NAcc_GLM_seg3,AIns_GLM_seg3,vmPFC_GLM_seg3,NAcc_GLM_seg4,AIns_GLM_seg4,vmPFC_GLM_seg4,NAcc_GLM_seg5,AIns_GLM_seg5,vmPFC_GLM_seg5,Sim_Speer_AVG,Sim_Kragel_AVG,Sim_Zhou_AVG,Sim_Ceko_GNAS1_AVG,Sim_Ceko_GNAS2_AVG,Sim_Speer_seg1,Sim_Kragel_seg1,Sim_Zhou_seg1,Sim_Ceko_GNAS1_seg1,Sim_Ceko_GNAS2_seg1,Sim_Speer_seg5,Sim_Kragel_seg5,Sim_Zhou_seg5,Sim_Ceko_GNAS1_seg5,Sim_Ceko_GNAS2_seg5,Sim_Ceko_GNAS2,Participant
rh6,0.007387832965631871,0.10458271782469447,0.04412890905764989,0.5475737246342708,0.14448765488490056,0.04738081759300653,-0.1261930438651964,0.039468795686211006,0.2704050517180999,-0.1954869258726804,0.24073834031941121,0.2245019544223058,0.03568142155665468,0.06214844524189212,-0.014157057786721607,-0.008084457168115611,-0.06369915959014247,-0.21326696400818146,-0.09347393653029266,0.029708492510743707,0.05013993298715578,-0.02206521326566296,-0.018082037741242948,0.00022726284360201007,0.034504571847570886,0.032347436608159946,0.012890257199506915,0.011536131355211,0.02993096504027784,-0.0037242214778051798,-0.038998703732503075,0.006133669001622604,-0.004883144725630145,,sub-28
rc3,0.15599755813094704,0.09836774585347453,-0.10707285075386817,0.27646687120122443,0.1828866099917163,0.24483896362446314,-0.2959091002873469,0.2999340965497931,0.07979286935835841,-0.17121350493736556,0.14313539462664,-0.007579676080570338,0.06958718511247836,0.06565508196404017,-0.57080902183432,-0.08315237916827423,-0.09833136206689927,-0.6769455724731546,-0.024024277944294046,0.05510751136474921,0.05825764565480357,-0.03429348201632264,,0.05146810468908116,0.04676186795786966,0.04828833213150749,0.008584843637758667,0.01349804745776112,-0.04339722692734238,-0.005099982256597267,-0.050738553304534056,-0.025013316242589782,-0.030916788501334856,-0.02013644626094744,sub-28
uh1,-0.05938241558583161,0.13424411839716854,-0.1160307784036135,-0.15633923842664993,-0.17511878259637384,-0.34595061826419105,-0.5117387816507549,-0.28502430862795175,-0.12496758404527371,-0.15122234537338494,0.20046128615299136,0.23080981423914892,0.35398647602843797,0.34593506441235966,0.12301834428715075,0.193522473884324,0.5643122569277292,-0.19522790489142897,-0.13636923737529227,0.009995305439483475,0.07503411106922184,-0.026903994601630916,-0.017489216175880975,-0.08154304330251348,-0.021924190774205914,0.03540278519197463,-0.018909424055766934,-0.009228314792693308,-0.027368877061531148,-0.018439665147294417,0.03380507824310331,-0.008436274607567379,-0.005179723187384584,,sub-28
rh12,0.23609950406467436,0.03563182419810355,-0.063023165557058,0.43435774615107353,0.12171406939590129,0.19004865234124863,-0.2143817526022585,0.05636140789907664,0.014525315329322124,0.12059064882097316,-0.028328255656875096,0.47224611764427804,0.34149653057559354,0.11837003461234637,0.07178206466296187,-0.30913454493034054,0.11003680439327897,-0.8268056714483892,-0.05141353026202645,0.0057770734279597455,0.06413069954746778,-0.009237764962970811,,0.022631907460826096,-0.016520338600472823,0.05987766691801902,0.0046950684065812185,0.002689687576890152,-0.07573287252325145,-0.03614995192128224,-0.011251908216090211,-0.01819904928490861,-0.01723666360866971,-0.0028934749069262303,sub-28
rc2,0.011475967680783771,-0.1661064043680506,-0.26781606455390544,0.20150902234356668,-0.1734134452454037,-0.1729742012050051,-0.1752994266827363,-0.6320149607455321,-0.43113029317817286,-0.4779255907243211,-0.4659032863737231,-0.3955475593461146,0.1010012191028324,0.1242463923639943,0.4470105675500695,0.1260828817093695,0.37461851124794626,0.07011399431022584,-0.06773264560421463,0.03981671873610666,0.05815209566719483,-0.03615036164169709,-0.02032081498796035,-0.06764196756478702,0.034340024140772446,0.017337799023354986,-0.012333996341942126,-0.00694314881833709,0.04420334947763354,0.02568835747250653,0.016388002041664764,-0.011846547415310799,-0.016159153623059398,,sub-28
rc1,0.19241555986912354,-0.1855552286393297,-0.14981524984352532,0.4021167643102874,-0.19310283696673072,0.07389873886334819,0.03332047071394984,-0.12386069720601872,-0.2290613957512679,-0.07979670257047586,-0.20832952580537661,-0.021476403971727634,-0.020044917764054846,-0.2383537797513528,-0.15960006675565608,-0.01268116185092813,-0.001842160838845383,-0.5564086391644089,-0.0021009997029736785,0.06315642095794416,0.0643185424185374,-0.018673801041141323,,0.020787103932087294,0.048359301638303195,0.036182715278075615,0.020866993002218587,0.013597091913707556,0.0367737329487268,0.0073933107019176015,-0.03099370218758257,0.0075182310439945,-0.00461701079828479,-0.003950299388157425,sub-28
rh2,-0.2844674720656429,-0.3575888954824234,-0.574296749443441,-0.06481618706945692,-0.42231355998872105,-0.9497811321238095,-1.0011504523605395,-1.0716813314830915,-1.3962294979846883,-0.06218128126294498,-0.05330939721576598,0.06521367347039904,-0.02134972046082523,-0.024391733044974554,0.0789424144133362,-0.2991132709892479,0.14614893909590262,-0.45072424054589055,-0.041401105412426024,0.015360819146308092,0.03805805975812217,0.00017814315656266666,0.016068392301407938,-0.08291770624128161,-0.005500944089447021,0.018969696035098176,0.005096505571137015,0.02808678177651903,0.10431535000970267,0.002106124648066133,-0.032246512950561204,0.017515995582739922,0.021895499444285975,,sub-28
rh7,0.0002232610093768527,-0.17196127539613057,-0.2974375291624002,-0.30669823118247835,-0.6337818002637315,-0.9292999227039304,-0.8290896714264757,-0.39878752939672923,-1.3158719863894384,0.15878921190643122,-0.08266709765455393,0.5702503592606544,0.3558422002044627,0.03567040698642209,0.24785691403306748,-0.09459304685438066,0.5269784124283415,-0.2757661447694207,0.08256855555666764,0.030544481366899533,0.022436378192077534,0.026158631252216128,,0.025359145805644648,-0.003302573474877356,0.00014182731815263853,0.015907885663350822,0.03302450913778236,0.06238902365903426,-0.021428236758025177,-0.06794866387262698,0.005700811393245969,-0.006675739881548022,0.04180871451207027,sub-28
rh1,-0.3742402789344867,-0.3745336414106837,-0.3855994236829981,-0.1013559776584989,-0.23861238376954683,-0.28560294274660314,-0.461206922378145,-0.5934432417420951,-0.383636121357442,-0.5564049764294412,-0.16383418279218454,-0.23768756019922163,-0.5517860093869891,-0.6342960731050566,-0.49357053388451183,-0.03541117252817347,0.2479435865762443,-0.045133818920322505,-0.0903653418158878,0.02228554488750297,0.02624997004542335,-0.04233459141328703,-0.02820733576015661,-0.12236979243544276,0.0012924193704706537,0.012035153543039388,-0.034783364832658245,-0.01681733781564665,-0.05135412203422755,0.009988360437809655,0.0035646496989421633,-0.04409246337928583,-0.034965791981891196,,sub-28
rc8,-0.07805218934727634,-0.032846007039679534,-0.1318307812005866,-0.12322914297915775,-0.3038124987075292,-0.16512137684720668,-0.37172218433256554,0.029718189203635174,-0.16863274149522095,-0.08791691754072944,-0.029060737209088985,0.013967207662931944,0.020187427323870827,-0.0007846289014362997,-0.12173028042630969,-0.2794630296164011,0.4246103339461343,-0.5363906971239077,0.01775220104630534,0.03365799697970141,0.03708875520590666,-0.03861192955915767,,-0.011818695869297381,0.025508104168887304,0.02298587913844327,-0.02501890841902006,-0.006421618409873041,-0.03512083456691594,0.007704649945368068,0.0011023603764269531,-0.01506356515178979,-0.02323458801970043,-0.025917953302762503,sub-28
