Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled
rh6,Horror,12,42,30,2,1,2,0.6745668532808039,-0.21278283291407912,-0.739646709092291,-0.2127828329140791,-1.1875
uh1,Horror,60.0,90.0,30,2,3,2,1.136350873647529,0.24900118745264577,-0.27786268872556596,0.2490011874526458,-1.1875
rc2,Comedy,108.0,138.0,30,3,3,3,1.3581882951962496,0.027163765903924986,-0.056025267176845306,0.02716376590392502,-0.1875
rh2,Horror,152.0,182.0,30,3,3,2,1.3581882951962496,0.027163765903924986,-0.056025267176845306,0.02716376590392502,-0.1875
rh1,Horror,196.0,226.0,30,4,4,2,1.8109177269283325,0.036218354538566595,0.3967041645552376,0.03621835453856663,0.8125
rc9,Comedy,244.0,274.0,30,4,3,4,1.5800257167449705,-0.1946736556447958,0.16581215437187558,-0.19467365564479577,0.8125
uc4,Comedy,288.0,318.0,30,3,4,4,1.589080305379612,0.25805577608728736,0.17486674300651717,0.2580557760872874,-0.1875
rh9,Horror,332.0,362.0,30,2,1,2,0.6745668532808039,-0.21278283291407912,-0.739646709092291,-0.2127828329140791,-1.1875
uh2,Horror,376.0,406.0,30,4,3,2,1.5800257167449705,-0.1946736556447958,0.16581215437187558,-0.19467365564479577,0.8125
rc6,Comedy,420.0,450.0,30,3,3,4,1.3581882951962496,0.027163765903924986,-0.056025267176845306,0.02716376590392502,-0.1875
rh3,Horror,468.0,498.0,30,4,3,1,1.5800257167449705,-0.1946736556447958,0.16581215437187558,-0.19467365564479577,0.8125
rc11,Comedy,512.0,542.0,30,3,4,4,1.589080305379612,0.25805577608728736,0.17486674300651717,0.2580557760872874,-0.1875
uc1,Comedy,560.0,590.0,30,4,4,4,1.8109177269283325,0.036218354538566595,0.3967041645552376,0.03621835453856663,0.8125
rh11,Horror,608.0,638.0,30,4,4,1,1.8109177269283325,0.036218354538566595,0.3967041645552376,0.03621835453856663,0.8125
rc12,Comedy,656.0,686.0,30,2,2,4,0.9054588634641663,0.018109177269283298,-0.5087546989089287,0.018109177269283332,-1.1875
rc5,Comedy,700.0,730.0,30,4,4,4,1.8109177269283325,0.036218354538566595,0.3967041645552376,0.03621835453856663,0.8125
rc3,Comedy,12,42,30,4,4,4,1.7083377505589523,0.032232787746395423,0.29412418818585695,0.03223278774639535,0.625
rh12,Horror,60.0,90.0,30,4,4,1,1.7083377505589523,0.032232787746395423,0.29412418818585695,0.03223278774639535,0.625
rc1,Comedy,108.0,138.0,30,4,4,4,1.7083377505589523,0.032232787746395423,0.29412418818585695,0.03223278774639535,0.625
rh7,Horror,152.0,182.0,30,4,4,1,1.7083377505589523,0.032232787746395423,0.29412418818585695,0.03223278774639535,0.625
rc8,Comedy,200.0,230.0,30,3,3,3,1.2812533129192143,0.024174590809796566,-0.13296024945388107,0.024174590809796486,-0.375
uc3,Comedy,244.0,274.0,30,4,3,4,1.490766433270784,-0.18533852954177304,0.07655287089768859,-0.18533852954177313,0.625
rh10,Horror,288.0,318.0,30,4,4,1,1.7083377505589523,0.032232787746395423,0.29412418818585695,0.03223278774639535,0.625
rc4,Comedy,332.0,362.0,30,4,4,4,1.7083377505589523,0.032232787746395423,0.29412418818585695,0.03223278774639535,0.625
rh4,Horror,380.0,410.0,30,4,4,1,1.7083377505589523,0.032232787746395423,0.29412418818585695,0.03223278774639535,0.625
uc2,Comedy,428.0,458.0,30,1,1,3,0.4270844376397381,0.008058196936598856,-0.9871291247333573,0.008058196936598776,-2.375
rh5,Horror,476.0,506.0,30,3,3,1,1.2812533129192143,0.024174590809796566,-0.13296024945388107,0.024174590809796486,-0.375
rh8,Horror,520.0,550.0,30,4,4,1,1.7083377505589523,0.032232787746395423,0.29412418818585695,0.03223278774639535,0.625
rc10,Comedy,568.0,598.0,30,1,1,3,0.4270844376397381,0.008058196936598856,-0.9871291247333573,0.008058196936598776,-2.375
uh3,Horror,616.0,646.0,30,4,3,2,1.490766433270784,-0.18533852954177304,0.07655287089768859,-0.18533852954177313,0.625
rc7,Comedy,660.0,690.0,30,2,2,4,0.8541688752794762,0.016116393873197712,-0.5600446870936192,0.016116393873197632,-1.375
uh4,Horror,704.0,734.0,30,4,4,1,1.7083377505589523,0.032232787746395423,0.29412418818585695,0.03223278774639535,0.625
