Participant,Trailer,Type,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled,Putamen_ISC,Caudate_ISC,NAcc_ISC,Ext_Amygdala_ISC,GB_externa_ISC,GB_interna_ISC,SN_compacta_ISC,Red_nucleus_ISC,SN_reticulata_ISC,PBP_ISC,VTA_ISC,VeP_ISC,Habenular_Nuclei_ISC,Hypothalamus_ISC,Mammillary_Nucleus_ISC,Subthalamic_Nucleus_ISC
sub-27,rh9,Horror,0.2274609226194486,-0.0988960533128039,0.4375,0.1752572196390459,0.17960685433333912,0.4177466769812583,0.02134874446415535,0.13426796096646013,0.2609903714082887,-0.059745367076700265,0.0175313900733152,0.23250207791848676,-0.0849815111728479,0.1937201442590587,-0.016007530972502692,0.12258972507474517,0.18442131353220143,-0.14135841513095984,0.2597353334248571
sub-27,uh2,Horror,0.1944955715151808,0.4483287750180441,-0.5625,-0.20520196381821465,-0.6665386131706008,-0.2312997213832033,-0.33029535245869424,-0.05645090777866073,0.2599645082812425,0.16225993968001096,0.36062606164942457,0.55402966781279,0.343396958418467,-0.09361671638113817,-0.067580823829642,0.7457793423634369,-0.4461720325982547,-0.13984322171606403,-0.04573721594844539
sub-27,rc6,Comedy,-0.2867985546071312,-0.6131555305393839,-1.5625,0.2591116580718422,0.5009027931889457,-0.25004276018818955,-0.02768707350303256,0.2740796155995668,0.1114455924913235,-0.1836605578809968,0.39152686038538986,0.06154803369006828,-0.11832032637130536,0.2401897925477716,-0.0527864658792693,-0.3898622025086154,0.15664482791267978,-0.5167222089156078,0.12379326003513881
sub-27,rh3,Horror,-0.3527292568156674,0.481294126122312,0.4375,0.41849769051623087,0.6310900923561409,-0.19788951679177197,0.1409032807090077,0.21689102061104917,-0.2846226711755406,0.32582731261663284,0.0418521455810716,0.18755061863632505,-0.5519326263700628,-0.02289050215324152,-0.5905476967927639,0.14962383362124623,-0.15686193143874338,-0.014686974899444231,0.2759366706828308
sub-27,rc11,Comedy,0.2604262737237164,-0.6461208816436517,1.4375,0.28366534234632534,0.2583985504595874,-0.2050385191711771,-0.24569735471445886,0.4044777713408106,0.3025511768985805,-0.40551682933086447,-0.3590921937025406,-0.1358535392518763,-0.20541581472165613,0.24639939073709596,-0.2026805770837624,0.2561708572185119,-0.2986452123472294,0.36895342706972994,-0.3809956319753776
sub-27,uc1,Comedy,0.2274609226194486,-0.0988960533128039,0.4375,-0.032055261635531664,0.10674534548096559,0.37347056350569197,-0.13113266412412822,0.09425111486305048,0.4025969551577134,-0.10275891870534652,0.0207590563025464,-0.2131980805771248,-0.20972890312616077,0.006228237787280834,0.2784638639053561,-0.38378228519787333,0.04162888385981622,0.07011633574716879,-0.5203092718022808
sub-27,rh11,Horror,-0.0955995182023772,0.7384238647356022,0.4375,0.11495377780063498,-0.1430544622440008,-0.1804974494585751,0.06760044552375064,-0.2158748039332972,0.05828144584690752,-0.2545878773193397,0.0720769569633643,-0.2608314954104309,-0.09637959551259699,-0.2363524480320623,-0.45055207254484514,-0.06805576621508169,-0.3891419325190666,-0.1038931188646316,-0.027534029993608728
sub-27,rc12,Comedy,-0.2867985546071312,-0.6131555305393839,-1.5625,0.4710515688970046,-0.04016623168821573,-0.418851813976797,-0.41887334304335444,-0.23414105890103107,-0.2907584610793382,-0.13254927273614528,-0.1095036250001062,-0.3987197892930188,-0.25690354529013354,0.1294503679063476,-0.21252488857386595,-0.590260659887604,-0.28478220393759984,-0.140203225155267,0.05352312271288052
sub-27,rc5,Comedy,0.5175560123370064,-0.3889911430303618,0.4375,0.5577310575513191,0.3664935034077215,0.7348278049405995,0.08372984553709581,0.10442666132740491,0.0928255325312156,0.444271938407855,-0.2947975549060455,0.23689935112372976,-0.19328671706417763,0.5622778428622496,0.08500673664456354,0.2750802645723392,0.17863885098067397,-0.008008712037132746,0.2532581259676351
sub-27,rc3,Comedy,0.0418621775219838,-0.3785796923727204,0.0,0.28338868256513183,-0.21592987247502976,-0.0317723640881773,0.005829001199260268,-0.3665127308588033,0.38280036008270496,0.21715370911770188,0.357354034916605,0.09934523484050117,0.37079863977153454,0.17808094951686182,0.007862533881400433,0.07826675555455892,0.07733030638589701,0.3589168873592007,0.06813585113433009
sub-27,rh12,Horror,-0.0309416094727701,0.7717201421443917,0.0,0.20738921008042968,0.07993921613599653,0.029321189707693655,-0.09237576371262819,0.054349027158368826,0.473528083968834,0.20817490393246169,0.49270484166139833,0.25300810726319684,-0.1298552884823715,0.12713714822487585,0.38449173698628364,-0.3319431980073096,0.28784394608593306,-0.008016877066082936,0.05926585038935598
sub-27,rc1,Comedy,0.61701209478054,-0.4149815858700974,2.0,0.18670681010908882,0.3768780515408178,0.5658664988115548,0.41354870211843936,0.12956980973986887,-0.037322075614085584,0.26894726701985316,0.5080292391211682,0.5801246308388895,0.4861330893598617,0.5360319526558942,0.3798201696111944,0.20606911261860705,0.1733142959046249,-0.2309562999956552,0.16860115161622324
sub-27,rh7,Horror,-0.2639137278559826,-0.0728037869947539,0.0,0.4729229227316178,0.4027908609207759,0.3209223918054999,0.4708974922123464,0.8923743121181967,0.5322352275460531,0.11202825624717556,0.04169960069285177,0.2216758945487885,0.06474829362136852,-0.3929000173164605,0.317079789678014,0.15473962199506414,0.07931830969324655,-0.16970792731549886,-0.2534800741454322
sub-27,rc8,Comedy,0.3112361894025732,-0.1092056804921309,1.0,0.47519968503942933,0.3593554121936753,0.30129207464131497,0.3142460340793842,-0.1850585781187874,-0.049744951773210346,-0.20842403092246972,-0.010984394410170552,-0.17407860957074903,0.11609676747238043,-0.049688008940971744,-0.4688241619623451,-0.5964830599976634,-0.03073084071233461,-0.13129177339483036,0.16588066865890916
sub-27,uc3,Comedy,0.61701209478054,-0.4149815858700974,1.0,0.007166824063060981,0.4547042051611148,-0.41897496106246424,0.6907318283637964,0.3105559383422509,0.3396441740610069,0.38882733989415047,-0.24939617618856857,0.2755959213831892,-0.08028171772672976,-0.036863139806984975,0.15601289220276204,0.17655715672864328,0.2892397483900453,-0.062442447153960745,-0.10895328528608421
