Trailer,NAcc_GLM,AIns_GLM,vmPFC_GLM,Participant
rh6,-1.3170551875687908,0.05071463596713544,0.36025925482865906,sub-05
rc3,-0.6596933774008119,-0.0543787906191311,0.24265724978480327,sub-05
uh1,-1.0226326803099366,-0.12300460778207575,0.023283749529835106,sub-05
rh12,-0.38858441914737774,-0.20386164530834486,-0.05834634743796177,sub-05
rc2,0.4442598374546419,-0.22462805146825737,-0.27486253701739655,sub-05
rc1,0.4590346524085774,-0.04650666334177396,-0.2483193010226721,sub-05
rh2,-1.4621389466708734,-0.07338777935279153,-0.2912792770302977,sub-05
rh7,-0.8075793067679345,-0.1398568179751006,-0.22628950282602084,sub-05
rh1,-0.7695779748361405,-0.17718270415458093,-0.5924539544923404,sub-05
rc8,0.37159119018571124,0.015586012952582917,-0.9588941016837333,sub-05
rc9,-1.0093538448330317,-0.2899622759066208,-0.06245758061534505,sub-05
uc3,-0.2100263167405099,-0.2685687841950894,-0.17981460755248732,sub-05
uc4,-1.486564364988781,0.2164446737885236,1.7022652429840481,sub-05
rh10,-0.8205174947786482,0.14370307644279096,1.552236087436553,sub-05
rh9,0.2480830793425102,-0.002385729056270232,-0.4788160945187544,sub-05
rc4,0.11861967120576802,0.031014271270751036,-0.5102211470036128,sub-05
uh2,-1.4187034168030257,0.011874737723986005,-0.2221521178970585,sub-05
rh4,-0.4739522783935307,0.00815414440812322,-0.42193398499073864,sub-05
rc6,0.1983142441269756,0.3698695593111513,0.5640319795985735,sub-05
uc2,-0.27254785747760574,-0.2354898725744943,0.27230713031322384,sub-05
rh3,-0.4809179169892446,-0.3988143068963254,0.06543570685808503,sub-05
rh5,0.22770614712122705,-0.09799268247141699,1.0143627215379762,sub-05
rc11,-0.877271386033054,0.49457690967542295,-0.436830394612362,sub-05
rh8,-1.265169232879967,-0.06288000154212725,-0.17961277074729665,sub-05
uc1,-1.6790864132268701,-0.2783966829086581,0.1250105296703491,sub-05
rc10,-0.6010487264525544,-0.05427742911238749,0.15381843165801448,sub-05
rh11,1.257242428766113,0.2073920399122763,0.4990914722345351,sub-05
uh3,0.9445988512825962,-0.16137957728423674,-0.09756263143034656,sub-05
rc12,-0.6653449622921683,-0.194099722263468,0.08201568111625168,sub-05
rc7,-0.46822561143821007,-0.25417585173110063,-0.3301777553121273,sub-05
rc5,-1.0800198965470773,0.2429080048067393,-0.3166181983883391,sub-05
uh4,-1.0757936058280568,-0.13846938530559566,-0.3435579064695327,sub-05
